Frame,Time,Quat_X,Quat_Y,Quat_Z,Quat_W,Marker1_X,Marker1_Y,Marker1_Z,Marker2_X,Marker2_Y,Marker2_Z,Marker3_X,Marker3_Y,Marker3_Z,Roll_deg,Pitch_deg,Yaw_deg
0,0.0,-0.015257,0.823681,-0.012852,-0.566703,-0.124994,0.147689,-0.434487,0.91719,-0.084476,0.148177,-0.566258,-0.114433,0.149077,-179.37802911581974,-69.06031371716543,-178.305625376353
1,0.01,-0.012827,0.823533,-0.011323,-0.567011,-0.125057,0.147625,-0.43437,0.910073,-0.084765,0.147885,-0.566021,-0.114415,0.148873,-179.34095221209216,-69.09848158667833,-178.66910599739248
2,0.02,-0.015896,0.82356,-0.013345,-0.566849,-0.124978,0.147549,-0.434528,0.916701,-0.084519,0.148087,-0.566314,-0.114463,0.14895,-179.36456134522714,-69.08203746304348,-178.22587330752123
3,0.03,-0.017317,0.823572,-0.014661,-0.566758,-0.124959,0.147491,-0.434472,0.906214,-0.084495,0.148151,-0.566251,-0.114398,0.148821,-179.27495151088448,-69.0735689013074,-178.08987561731976
4,0.04,-0.016873,0.823502,-0.014287,-0.566882,-0.124944,0.147554,-0.434455,0.906887,-0.084517,0.148201,-0.566216,-0.114385,0.148848,-179.29351305335953,-69.08949480653891,-178.13879360575473
5,0.05,-0.016804,0.823688,-0.014206,-0.566616,-0.125017,0.147602,-0.434475,0.911326,-0.084454,0.148198,-0.566243,-0.114485,0.148988,-179.30127741984944,-69.0522802086789,-178.14324035608058
6,0.06,-0.015388,0.823728,-0.012674,-0.566635,-0.125032,0.147589,-0.434456,0.901566,-0.08448,0.148155,-0.566252,-0.114476,0.148981,-179.44856440046084,-69.0505575884627,-178.23892610780953
7,0.07,-0.014842,0.823505,-0.012652,-0.566973,-0.124966,0.147665,-0.434451,0.909719,-0.084558,0.148088,-0.566207,-0.114442,0.149041,-179.35635266333327,-69.09699492790392,-178.3781122783134
8,0.08,-0.010228,0.823182,-0.011526,-0.567569,-0.124721,0.148331,-0.434525,0.904847,-0.084508,0.148153,-0.566308,-0.114369,0.149008,-178.81291502116545,-69.17343713136952,-179.3948036548691
9,0.09,-0.010099,0.823248,-0.011615,-0.567473,-0.124752,0.148359,-0.434564,0.90024,-0.084512,0.148149,-0.566316,-0.114388,0.148993,-178.76589222242094,-69.15985299236317,-179.4450785382876
10,0.1,-0.016053,0.823681,-0.013364,-0.566668,-0.125001,0.147582,-0.434507,0.908088,-0.08449,0.148173,-0.566281,-0.114424,0.148965,-179.38735127945017,-69.05698589523061,-178.18847785022396
11,0.11,-0.016042,0.823659,-0.013093,-0.566707,-0.12499,0.147577,-0.434492,0.899163,-0.08446,0.148212,-0.566247,-0.114477,0.148987,-179.45709346267338,-69.06184710227906,-178.14199993139383
12,0.12,-0.017318,0.823667,-0.014305,-0.56663,-0.125032,0.147557,-0.43447,0.907262,-0.0845,0.148229,-0.566229,-0.114454,0.149015,-179.36859917070092,-69.05505250027153,-178.02541832838358
13,0.13,-0.016825,0.823631,-0.014017,-0.566704,-0.124999,0.147587,-0.434459,0.908412,-0.084499,0.148216,-0.566214,-0.114443,0.149001,-179.3553804068196,-69.06423918406753,-178.1030426508996
14,0.14,-0.013346,0.823945,-0.010513,-0.566416,-0.125122,0.147598,-0.43447,0.941086,-0.084543,0.148113,-0.566279,-0.114438,0.149002,-179.64715370922877,-69.01462566496106,-178.386620692862
15,0.15,-0.009142,0.823223,-0.010321,-0.567551,-0.124819,0.148181,-0.434486,0.904696,-0.08464,0.148006,-0.56629,-0.114456,0.148841,-178.93402470522895,-69.16857701816747,-179.4624453362611
16,0.16,-0.010719,0.823048,-0.012565,-0.567732,-0.124728,0.148303,-0.434499,0.889568,-0.084545,0.148087,-0.566278,-0.114476,0.148843,-178.6266073992863,-69.1975906189373,-179.45511829400547
17,0.17,-0.01656,0.823664,-0.013774,-0.566669,-0.125,0.147686,-0.434509,0.908513,-0.084482,0.148328,-0.566272,-0.114457,0.149052,-179.3712316658086,-69.05851050136891,-178.12903048915953
18,0.18,-0.01727,0.823611,-0.014362,-0.56671,-0.125003,0.147593,-0.434477,0.913173,-0.084499,0.148265,-0.566223,-0.114482,0.149003,-179.34518891117793,-69.06610036079032,-178.04812044172257
19,0.19,-0.017216,0.823682,-0.014018,-0.566618,-0.125041,0.14753,-0.434469,0.91167,-0.084495,0.148268,-0.566259,-0.114481,0.14895,-179.42578103572743,-69.05255711923728,-178.00028392144165
20,0.2,-0.016322,0.823732,-0.013392,-0.566586,-0.125021,0.147595,-0.434468,0.910357,-0.084463,0.148276,-0.566252,-0.114443,0.148945,-179.42847300992764,-69.04589818925045,-178.1228377933681
21,0.21,-0.010192,0.823025,-0.011672,-0.567794,-0.124725,0.148319,-0.434482,0.892559,-0.084581,0.148065,-0.566232,-0.114427,0.149041,-178.76713661704864,-69.20476986345038,-179.4316071095124
