,HT,ST,R,G,B,K
1,0.020833,0.979167,956,288,310,1496
2,0.062499,0.979167,934,357,313,1563
3,0.104165,0.979167,1078,662,436,2166
4,0.145831,0.979167,1127,937,472,2562
5,0.187497,0.979167,1110,1116,442,2717
6,0.229163,0.979167,855,1016,412,2327
7,0.270829,0.979167,591,857,413,1891
8,0.312495,0.979167,441,715,386,1563
9,0.354161,0.979167,420,744,456,1640
10,0.395827,0.979167,443,765,558,1786
11,0.437493,0.979167,588,1064,940,2625
12,0.479159,0.979167,540,941,962,2465
13,0.520825,0.979167,561,935,1043,2558
14,0.562491,0.979167,461,754,883,2110
15,0.604157,0.979167,388,654,831,1881
16,0.645823,0.979167,263,489,677,1434
17,0.687489,0.979167,258,429,642,1330
18,0.729155,0.979167,396,477,645,1517
19,0.770821,0.979167,623,568,699,1888
20,0.812487,0.979167,811,628,733,2164
21,0.854153,0.979167,942,595,696,2212
22,0.895819,0.979167,963,489,594,2011
23,0.937485,0.979167,822,296,362,1435
24,0.979151,0.979167,874,272,321,1413
1,0.020833,0.937507,623,190,202,1978
2,0.062499,0.937507,1057,685,463,2200
3,0.104165,0.937507,1063,687,464,2210
4,0.145831,0.937507,1172,1000,519,2722
5,0.187497,0.937507,1140,1151,469,2812
6,0.229163,0.937507,823,955,407,2224
7,0.270829,0.937507,628,883,430,1974
8,0.312495,0.937507,499,783,420,1727
9,0.354161,0.937507,458,781,481,1744
10,0.395827,0.937507,499,820,610,1950
11,0.437493,0.937507,559,933,827,2344
12,0.479159,0.937507,584,995,1014,2618
13,0.520825,0.937507,539,889,965,2411
14,0.562491,0.937507,529,854,970,2372
15,0.604157,0.937507,404,660,823,1895
16,0.645823,0.937507,274,497,696,1468
17,0.687489,0.937507,252,433,640,1325
18,0.729155,0.937507,414,487,639,1540
19,0.770821,0.937507,635,576,699,1908
20,0.812487,0.937507,775,605,697,2069
21,0.854153,0.937507,934,604,700,2219
22,0.895819,0.937507,960,497,594,2018
23,0.937485,0.937507,842,320,390,1508
24,0.979151,0.937507,892,295,346,1483
1,0.020833,0.895847,1022,337,344,1649
2,0.062499,0.895847,1028,447,367,1806
3,0.104165,0.895847,1071,718,465,2253
4,0.145831,0.895847,1162,1006,517,2717
5,0.187497,0.895847,1171,1191,485,2904
6,0.229163,0.895847,827,953,421,2239
7,0.270829,0.895847,622,855,423,1932
8,0.312495,0.895847,473,738,400,1634
9,0.354161,0.895847,438,751,467,1678
10,0.395827,0.895847,495,931,616,1966
11,0.437493,0.895847,538,916,820,2299
12,0.479159,0.895847,551,943,961,2476
13,0.520825,0.895847,533,860,940,2352
14,0.562491,0.895847,475,738,846,2070
15,0.604157,0.895847,376,585,720,1687
16,0.645823,0.895847,300,525,726,1555
17,0.687489,0.895847,254,417,603,1274
18,0.729155,0.895847,433,502,645,1579
19,0.770821,0.895847,630,563,667,1855
20,0.812487,0.895847,811,634,723,2159
21,0.854153,0.895847,1056,686,791,2513
22,0.895819,0.895847,979,502,605,2049
23,0.937485,0.895847,960,392,467,1174
24,0.979151,0.895847,924,317,360,1550
1,0.020833,0.854187,1018,365,366,1698
2,0.062499,0.854187,1095,527,437,2026
3,0.104165,0.854187,1080,754,501,2337
4,0.145831,0.854187,1333,1203,628,3208
5,0.187497,0.854187,1205,1230,515,3006
