timestep,x_c,y_c,radius,p_current,q_current,beta_current,p_error,q_error,beta_error,vp,vq,vbeta,vx_c,vy_c,jacobian_cond
0,0.4914941935905813,0.5001060694383302,0.7011937129084315,0.33000000000000007,0.33,60.00000001518812,-5.551115123125783e-17,0.0,-1.5188128214830185e-08,-2.7755575615628914e-17,0.0,-2.6508284456383536e-12,-0.28352688031376727,0.0035356479443361677,10.674428169842715
1,0.47744879273250646,0.5004487029011075,0.691669179533922,0.33000000000000007,0.3299999999999958,60.00000001519395,-5.551115123125783e-17,4.218847493575595e-15,-1.5193954991006624e-08,-2.7755575615628914e-17,2.1094237467877974e-15,-2.6518454099289102e-12,-0.26971121238254403,0.008946161864863328,10.674428169088914
2,0.4605185084229715,0.5023115205489371,0.6814647168242123,0.33000000000000007,0.3299999999999887,60.00000001520381,-5.551115123125783e-17,1.1324274851176597e-14,-1.520381471051916e-08,-2.7755575615628914e-17,5.662137425588298e-15,-2.6535662556170792e-12,-0.23661679029593147,0.054099140796128445,10.674428169637805
3,0.4412050612529006,0.5049085442470699,0.6705181161824572,0.33000000000000007,0.32999999999998003,60.000000015216344,-5.551115123125783e-17,1.9984014443252818e-14,-1.5216346095964128e-08,-2.7755575615628914e-17,9.992007221626409e-15,-2.655753394975591e-12,-0.24874160511304513,0.043101711488359534,10.674428168649165
4,0.4210295708026354,0.5095287353586061,0.6609730944950724,0.3300000000000001,0.32999999999996993,60.000000015230796,-1.1102230246251565e-16,3.008704396734174e-14,-1.5230798536436697e-08,-5.551115123125783e-17,1.504352198367087e-14,-2.658275821687539e-12,-0.22186924770704053,0.09340915076134819,10.674428169120864
5,0.4011984966612756,0.515804671000724,0.6534636121081515,0.3300000000000002,0.3299999999999591,60.00000001524649,-1.6653345369377348e-16,4.091171845743702e-14,-1.52464977543444e-08,-8.326672684688674e-17,2.045585922871851e-14,-2.661015852112314e-12,-0.19027436087234315,0.10139339546798261,10.674428170249918
6,0.38177151195392667,0.523265491741791,0.647731628212924,0.3300000000000002,0.32999999999994806,60.00000001526289,-1.6653345369377348e-16,5.1958437552457326e-14,-1.526289669428203e-08,-8.326672684688674e-17,2.5979218776228663e-14,-2.663878007069798e-12,-0.18484109361311268,0.1022555263860506,10.6744281695736
7,0.36238599167254915,0.5310022282856974,0.642873994967033,0.3300000000000002,0.3299999999999367,60.0000000152798,-1.6653345369377348e-16,6.333822355486518e-14,-1.527980452296869e-08,-8.326672684688674e-17,3.166911177743259e-14,-2.6668289798692513e-12,-0.19288769954097873,0.08380540083856412,10.674428169910012
8,0.34288663272059017,0.5383936403895482,0.6383094507449933,0.3300000000000002,0.3299999999999249,60.00000001529709,-1.6653345369377348e-16,7.510658761589184e-14,-1.5297094018217122e-08,-8.326672684688674e-17,3.755329380794592e-14,-2.6698465660501825e-12,-0.19764982516636292,0.0658565507704767,10.674428169056808
9,0.32342475849781854,0.5455729087052953,0.6342344780304274,0.3300000000000001,0.3299999999999126,60.00000001531468,-1.1102230246251565e-16,8.743006318923108e-14,-1.531468884671498e-08,-5.551115123125783e-17,4.371503159461554e-14,-2.6729174429362956e-12,-0.1937440985465455,0.06684266143498307,10.674428169327825
10,0.3042910470906035,0.5531946398777218,0.6313615057389372,0.3300000000000002,0.32999999999989976,60.00000001533246,-1.6653345369377348e-16,1.0025313912365164e-13,-1.5332461786275e-08,-8.326672684688674e-17,5.012656956182582e-14,-2.676019406067098e-12,-0.1836799817090412,0.0865414450466995,10.674428170587744
11,0.2855633375481717,0.5613980777741178,0.6298525394726335,0.3300000000000002,0.32999999999988655,60.00000001535033,-1.6653345369377348e-16,1.13464793116691e-13,-1.5350336503584824e-08,-8.326672684688674e-17,5.67323965583455e-14,-2.679139132766295e-12,-0.17780371857925714,0.09560753585648729,10.674428169846037
12,0.2673137651374517,0.570329233164057,0.6298667186266171,0.3300000000000002,0.3299999999998729,60.00000001536826,-1.6653345369377348e-16,1.2712053631958042e-13,-1.536826210976955e-08,-8.326672684688674e-17,6.356026815979021e-14,-2.682267741249689e-12,-0.17133919103381254,0.10629162874862658,10.674428169394329
13,0.2496043942331764,0.5800718420087673,0.6314948103602714,0.3300000000000002,0.32999999999985885,60.000000015386185,-1.6653345369377348e-16,1.4116485758108865e-13,-1.538618771595428e-08,-8.326672684688674e-17,7.058242879054433e-14,-2.6853963497330825e-12,-0.16448900722559792,0.11636000239164207,10.674428169329246
14,0.23176805527681787,0.5895200718098923,0.6334432464819075,0.3300000000000002,0.3299999999998445,60.00000001540408,-1.6653345369377348e-16,1.5554224574998443e-13,-1.5404087877701557e-08,-8.326672684688674e-17,7.777112287499222e-14,-2.6885205173243777e-12,-0.18132597744540768,0.0876134536608443,10.674428170318498
15,0.21377640835599487,0.5986428078203146,0.6356678095708318,0.33000000000000024,0.3299999999998294,60.000000015422046,-2.220446049250313e-16,1.7064127888488656e-13,-1.5422051650542463e-08,-1.1102230246251565e-16,8.532063944244328e-14,-2.691655787145919e-12,-0.1835403217122783,0.08363250498774481,10.674428169124704
16,0.1959492904630841,0.6080205559136052,0.6388154043590962,0.33000000000000024,0.32999999999981344,60.0000000154401,-2.220446049250313e-16,1.8657297928825756e-13,-1.5440104478914448e-08,-1.1102230246251565e-16,9.328648964412878e-14,-2.694806600089805e-12,-0.17443216827770539,0.09972776286639046,10.67442816871906
17,0.1781271641869974,0.6173644334165928,0.6425481540469105,0.3300000000000003,0.3299999999997969,60.00000001545813,-2.7755575615628914e-16,2.031153023551724e-13,-1.5458131862848985e-08,-1.3877787807814457e-16,1.015576511775862e-13,-2.697952972141593e-12,-0.1781047917015207,0.0926484612560535,10.674428169125385
18,0.16029425572024533,0.6268611526719539,0.6470310295079503,0.3300000000000003,0.32999999999977964,60.0000000154762,-2.7755575615628914e-16,2.2037927038809357e-13,-1.5476210135658424e-08,-1.3877787807814457e-16,1.1018963519404679e-13,-2.701108225977578e-12,-0.17858066911626044,0.09853350010888973,10.674428170254433
19,0.1410407264949559,0.6314268652819579,0.6469871503592824,0.3300000000000003,0.32999999999976154,60.000000015494294,-2.7755575615628914e-16,2.384759056894836e-13,-1.549430113068659e-08,-1.3877787807814457e-16,1.192379528447418e-13,-2.7042657002596116e-12,-0.22568310995194935,-0.06939969562488577,10.674428169060624
20,0.12161965400042955,0.6267201769573633,0.6384117170327099,0.3300000000000003,0.32999999999974194,60.00000001551264,-2.7755575615628914e-16,2.5807134207411764e-13,-1.551264657008927e-08,-1.3877787807814457e-16,1.2903567103705882e-13,-2.7074675834626306e-12,-0.1981200678939918,-0.2634229050529857,10.67442816964385
21,0.10308802427545993,0.6138011912099205,0.6223978173802791,0.33000000000000035,0.32999999999972135,60.00000001553103,-3.3306690738754696e-16,2.786659791809143e-13,-1.553103017614813e-08,-1.6653345369377348e-16,1.3933298959045715e-13,-2.7106761280037974e-12,-0.16456263262659637,-0.32081013067389863,10.674428170255396
22,0.08442341748464739,0.5955603019875281,0.6015142448215692,0.33000000000000035,0.32999999999970037,60.0000000155493,-3.3306690738754696e-16,2.9964919434632975e-13,-1.5549299282238454e-08,-1.6653345369377348e-16,1.4982459717316488e-13,-2.7138646885305206e-12,-0.18974886611100028,-0.3065866399724386,10.674428169397634
23,0.06643326132049186,0.5731612563531332,0.5769984436668602,0.3300000000000004,0.3299999999996783,60.000000015567586,-3.885780586188048e-16,3.2174263253637037e-13,-1.5567593832766232e-08,-1.942890293094024e-16,1.6087131626818518e-13,-2.7170576899493428e-12,-0.1641643803527827,-0.3210141059570232,10.674428170256009
24,0.048299350382147034,0.55150474853822,0.5536156743694516,0.3300000000000004,0.32999999999965557,60.00000001558583,-3.885780586188048e-16,3.444466933899548e-13,-1.5585837494419106e-08,-1.942890293094024e-16,1.722233466949774e-13,-2.7202418095839678e-12,-0.18469338744774172,-0.19923919569436002,10.674428169915728
25,0.029150972453372375,0.5326286484815645,0.5334257740101009,0.3300000000000004,0.3299999999996317,60.000000015604115,-3.885780586188048e-16,3.683164884193957e-13,-1.560411932272816e-08,-1.942890293094024e-16,1.8415824420969784e-13,-2.7234325905567403e-12,-0.21515467573096636,-0.12388481954041358,10.674428170527252
26,0.009697519881558191,0.5193609868194405,0.5194515150828961,0.3300000000000004,0.3299999999996062,60.00000001562254,-3.885780586188048e-16,3.93796106834543e-13,-1.5622541095443196e-08,-1.942890293094024e-16,1.968980534172715e-13,-2.7266477964360546e-12,-0.20165293405559606,-0.0018130540821702894,10.674428169850865
27,-0.010168375541668754,0.5091415351008092,0.5092430643867081,0.3300000000000004,0.3299999999995795,60.000000015641064,-3.885780586188048e-16,4.2049697057677804e-13,-1.564106464590804e-08,-1.942890293094024e-16,2.1024848528838902e-13,-2.7298807658837634e-12,-0.20828262076509482,-0.031069618504789412,10.67442816906299
28,-0.02994352377225062,0.5033355069637017,0.5042253932382877,0.33000000000000046,0.3299999999995513,60.00000001565964,-4.440892098500626e-16,4.48696635402257e-13,-1.5659639085247788e-08,-2.220446049250313e-16,2.243483177011285e-13,-2.7331226171156685e-12,-0.19563404781063673,0.04491960219777143,10.674428169399334
29,-0.04980230068034486,0.49728378825189384,0.49977138294545226,0.3300000000000005,0.329999999999522,60.000000015678225,-4.996003610813204e-16,4.780065232523611e-13,-1.567822624680626e-08,-2.498001805406602e-16,2.3900326162618057e-13,-2.7363666887936233e-12,-0.20053910488943036,-0.06624996719435627,10.674428169399592
30,-0.06949078713369203,0.49018987767784933,0.4950909872682848,0.3300000000000005,0.32999999999949126,60.00000001569685,-4.996003610813204e-16,5.08759701034478e-13,-1.569685157502091e-08,-2.498001805406602e-16,2.54379850517239e-13,-2.7396174218097257e-12,-0.19291142058924515,-0.09525691585920211,10.674428169399826
31,-0.08905008011599318,0.48296524379407924,0.49110624459656305,0.3300000000000005,0.3299999999994592,60.00000001571546,-4.996003610813204e-16,5.407896352949138e-13,-1.5715464181016835e-08,-2.498001805406602e-16,2.703948176474569e-13,-2.742865934379779e-12,-0.19257841549847565,-0.07529654939789138,10.674428169129405
32,-0.10868470369141182,0.47434082644770537,0.4866329052289643,0.33000000000000057,0.3299999999994257,60.000000015734074,-5.551115123125783e-16,5.743183706385935e-13,-1.573407678701276e-08,-2.7755575615628914e-16,2.8715918531929674e-13,-2.746114446949832e-12,-0.1981039495934633,-0.1189057875910406,10.674428169400285
33,-0.12820796445171553,0.4655731791512841,0.482903372626332,0.33000000000000057,0.3299999999993907,60.0000000157527,-5.551115123125783e-16,6.092903959142859e-13,-1.575270211522741e-08,-2.7755575615628914e-16,3.0464519795714295e-13,-2.749365179965935e-12,-0.19263414191689332,-0.09101850513189236,10.67442816958188
34,-0.1473792819154205,0.4558014592386473,0.47903613953645,0.3300000000000006,0.3299999999993542,60.00000001577136,-6.106226635438361e-16,6.458167334244536e-13,-1.5771365610098238e-08,-3.0531133177191805e-16,3.229083667122268e-13,-2.752622574320185e-12,-0.18350116438295627,-0.12114556017127813,10.674428169852751
35,-0.16513400544033738,0.4390511847810344,0.46907907927171444,0.3300000000000006,0.3299999999993162,60.00000001578996,-6.106226635438361e-16,6.838418720178652e-13,-1.5789965493875437e-08,-3.0531133177191805e-16,3.419209360089326e-13,-2.755868866444189e-12,-0.14449337667735046,-0.3303356839585716,10.674428168809756
36,-0.18318062576227945,0.4251508366359092,0.4629345261987637,0.3300000000000006,0.32999999999927715,60.00000001580838,-6.106226635438361e-16,7.228662113334394e-13,-1.5808387266590474e-08,-3.0531133177191805e-16,3.614331056667197e-13,-2.759084072323503e-12,-0.18727712848321704,-0.07250520082647004,10.674428169807037
37,-0.20127971425226646,0.4119193908161121,0.458466037891348,0.3300000000000006,0.3299999999992362,60.00000001582687,-6.106226635438361e-16,7.638334409421077e-13,-1.5826872650399138e-08,-3.0531133177191805e-16,3.8191672047105385e-13,-2.762310380433064e-12,-0.18221514215413112,-0.11670673727352873,10.67442816913053
38,-0.21970722954076138,0.40096458408658137,0.45721314985923356,0.3300000000000006,0.32999999999919327,60.000000015845366,-6.106226635438361e-16,8.0674356084387e-13,-1.584537075642653e-08,-3.0531133177191805e-16,4.03371780421935e-13,-2.765538908988674e-12,-0.19193844485000483,-0.05642648852237287,10.674428169176755
39,-0.23802004505813498,0.390648294550671,0.45744904840301553,0.3300000000000007,0.3299999999991483,60.000000015863925,-6.661338147750939e-16,8.517075933411888e-13,-1.586393247354755e-08,-3.3306690738754696e-16,4.258537966705944e-13,-2.7687785397745304e-12,-0.1804518271807861,-0.0882641608412046,10.674428169401464
40,-0.2556668946078049,0.3798025118440977,0.45783786322396314,0.33000000000000074,0.3299999999991014,60.00000001588251,-7.216449660063518e-16,8.986145161316017e-13,-1.5882519635106025e-08,-3.608224830031759e-16,4.4930725806580085e-13,-2.772022611452485e-12,-0.16092928958350478,-0.12081266771441607,10.674428170259638
41,-0.2730041242385323,0.36886378124106955,0.4589027576324941,0.33000000000000074,0.3299999999990526,60.000000015901016,-7.216449660063518e-16,9.474088180638773e-13,-1.5901017741133417e-08,-3.608224830031759e-16,4.737044090319387e-13,-2.775251140008095e-12,-0.1661478315318406,-0.11155609028078056,10.67442816940168
42,-0.2905462931198883,0.3585567280261632,0.46149764426109047,0.3300000000000008,0.3299999999990017,60.00000001591948,-7.771561172376096e-16,9.983125437429408e-13,-1.5919490402723356e-08,-3.885780586188048e-16,4.991562718714704e-13,-2.778475227671606e-12,-0.18020360466143676,-0.08833139309280219,10.674428170259825
43,-0.3080408631945441,0.3482603103982629,0.4649456067072085,0.33000000000000085,0.32999999999894847,60.000000015938,-8.326672684688674e-16,1.051547737773717e-12,-1.5938001230969474e-08,-4.163336342344337e-16,5.257738688868585e-13,-2.7817059766732656e-12,-0.17383506192343756,-0.1027160125820908,10.674428169401834
44,-0.3252677955391339,0.337615539475,0.46881061347828196,0.33000000000000085,0.3299999999988928,60.00000001595652,-8.326672684688674e-16,1.1072254224586686e-12,-1.5956524781434318e-08,-4.163336342344337e-16,5.536127112293343e-13,-2.784938946120974e-12,-0.16602444307758052,-0.11457595279097255,10.674428169807866
45,-0.3420274672053663,0.3263882819746107,0.4727706620902527,0.3300000000000009,0.3299999999988347,60.00000001597503,-8.881784197001252e-16,1.1652900866465643e-12,-1.5975035609680436e-08,-4.440892098500626e-16,5.826450433232822e-13,-2.7881696951226334e-12,-0.156693967500551,-0.125863928470053,10.674428170294172
46,-0.3584724034881481,0.3147746799038769,0.47705928685139104,0.33000000000000096,0.3299999999987743,60.00000001599348,-9.43689570931383e-16,1.225741730337404e-12,-1.5993482826832923e-08,-4.718447854656915e-16,6.12870865168702e-13,-2.7913893418940463e-12,-0.15710553721386183,-0.12515072734858196,10.67442816964875
47,-0.3720727114887861,0.3005230928487728,0.47828049507585985,0.33000000000000107,0.3299999999987112,60.0000000160119,-1.0547118733938987e-15,1.288802398136113e-12,-1.601190459954796e-08,-5.273559366969494e-16,6.444011990680565e-13,-2.7946045477733607e-12,-0.06962842008964898,-0.20406885351947945,10.674428168725234
48,-0.38456293472332465,0.28489720646400146,0.4785969797376577,0.33000000000000107,0.3299999999986466,60.000000016029915,-1.0547118733938987e-15,1.353417378169297e-12,-1.6029919261263768e-08,-5.273559366969494e-16,6.767086890846485e-13,-2.797748699379099e-12,-0.0990002544696611,-0.18832584820642612,10.674428170325335
49,-0.395082861400351,0.2675254337101443,0.47713763743189425,0.3300000000000011,0.32999999999857965,60.00000001604778,-1.1102230246251565e-15,1.420363826554194e-12,-1.6047781256354868e-08,-5.551115123125783e-16,7.10181913277097e-13,-2.8008662056322463e-12,-0.05922568042827547,-0.2144550761503594,10.674428169401804
50,-0.4013977241510555,0.24724883190112387,0.4714362288052511,0.3300000000000012,0.3299999999985106,60.00000001606536,-1.1657341758564144e-15,1.4894196986858788e-12,-1.6065363362634e-08,-5.828670879282072e-16,7.447098493429394e-13,-2.8039348620723106e-12,0.034969530773775556,-0.2705453627104102,10.674428169401725
51,-0.40605493935247144,0.22656135744694017,0.4649845830355448,0.3300000000000012,0.3299999999984404,60.00000001608233,-1.1657341758564144e-15,1.55964130499342e-12,-1.6082334802414288e-08,-5.828670879282072e-16,7.7982065249671e-13,-2.80689693710201e-12,-0.007893709197420579,-0.21646177292876354,10.674428170078269
52,-0.4075253984698258,0.20443170119763387,0.45592682620410585,0.3300000000000013,0.32999999999836777,60.00000001609906,-1.27675647831893e-15,1.6322498908039051e-12,-1.6099064520038788e-08,-6.38378239159465e-16,8.161249454019526e-13,-2.8098168236567746e-12,0.059653050787853185,-0.25494747104566823,10.674428169401477
53,-0.4083260834701981,0.18172442863836333,0.44693842798091415,0.3300000000000013,0.3299999999982934,60.000000016115344,-1.27675647831893e-15,1.7066348334537906e-12,-1.611534896000788e-08,-6.38378239159465e-16,8.533174167268953e-13,-2.812658994599815e-12,0.0076212127258524776,-0.24055043949163116,10.674428169853384
54,-0.40564080265087216,0.15871299848797019,0.4355849821381429,0.3300000000000013,0.3299999999982158,60.00000001613155,-1.27675647831893e-15,1.784239422875089e-12,-1.6131557066664616e-08,-6.38378239159465e-16,8.921197114375445e-13,-2.8154878428665597e-12,0.10819201065281422,-0.2372113119632222,10.674428169130474
55,-0.40180224535945874,0.1358738634592852,0.42415415964865316,0.3300000000000013,0.32999999999813634,60.00000001614724,-1.27675647831893e-15,1.863675880287019e-12,-1.6147243562353595e-08,-6.38378239159465e-16,9.318379401435095e-13,-2.8182256528452853e-12,0.06529535726279709,-0.22437113078010093,10.674428169400931
56,-0.39299177467030627,0.11208732980580964,0.4086638037085168,0.3300000000000014,0.32999999999805374,60.00000001616276,-1.3877787807814457e-15,1.9462764733191307e-12,-1.616276466919914e-08,-6.938893903907228e-16,9.731382366595653e-13,-2.820934597025371e-12,0.2041160195052995,-0.2599713044462756,10.674428170324177
