environment,primitive,radius,avg_dist_origin,std_dist_origin,avg_dist_to_est_center,std_dist_to_est_center,est_center_x_mean,est_center_x_std,est_center_y_mean,est_center_y_std
sink1,3R_orbiter_plane,0.1,0.20241497009542647,0.020354765328223827,0.20241497009542647,0.020354765328223827,6.874323563889502e-19,2.658339070595782e-17,2.0008461204265855e-19,2.1641565018026597e-17
sink1,3R_orbiter_plane,0.2,0.2746281300301979,0.015926527147830646,0.2746281300301979,0.015926527147830646,-6.877910388612923e-19,2.2508118180136815e-17,-2.527372988626193e-18,2.970700912163273e-17
sink1,3R_orbiter_plane,0.3,0.35925182100173925,0.015006446263305922,0.35925182100173925,0.015006446263305934,-1.2148272754931133e-18,3.8345085600190387e-17,-6.060588381654374e-19,7.975746334561924e-17
sink1,3R_orbiter_plane,0.4,0.44334954536515947,0.01811526384734442,0.44334954536515936,0.018115263847344427,6.198892651688439e-18,9.84144011717521e-17,1.6398505113386078e-18,8.333492879814236e-17
sink1,3R_orbiter_plane,0.5,0.544879144508254,0.030252958674123007,0.5448791445082539,0.030252958674123,1.118382564658155e-18,1.3427139571409903e-16,1.7733665610560017e-18,8.502972278085524e-17
sink1,3R_orbiter_plane,0.6,0.6329265618426998,0.007475072711426412,0.6329265618426998,0.007475072711426402,-1.7348681500039605e-18,2.1527657013923353e-16,1.1737011923334415e-17,1.447057785719123e-16
sink1,4R_orbiter_planar,0.1,0.20227045245058495,0.020185016532042965,0.20227045245058495,0.020185016532042965,-1.9916173996436524e-19,1.1882694632800234e-17,-1.4173669284479435e-18,1.2297117222903015e-17
sink1,4R_orbiter_planar,0.2,0.2753167715566354,0.015943775055397378,0.2753167715566354,0.015943775055397378,1.9787730381898622e-18,2.2977470565407865e-17,2.2656650295750366e-19,2.1960032813894417e-17
sink1,4R_orbiter_planar,0.3,0.35802064960002505,0.01269310456633964,0.3580206496000251,0.01269310456633964,-1.815944987208787e-18,3.621801680920015e-17,5.655003452793817e-19,3.461153223811862e-17
sink1,4R_orbiter_planar,0.4,0.44656739256330014,0.010362453182863616,0.44656739256330014,0.010362453182863614,4.866627120300901e-18,4.473704002690817e-17,-9.239089847442956e-19,3.832511393902525e-17
sink1,4R_orbiter_planar,0.5,0.5386341307342271,0.00868017822029255,0.5386341307342271,0.00868017822029255,2.5380370638634637e-18,5.774695165690971e-17,1.723699892080517e-18,6.261630025119146e-17
sink1,4R_orbiter_planar,0.6,0.6328944916947017,0.007433977971266734,0.6328944916947017,0.00743397797126672,-2.8715368232942252e-18,1.2371205215209547e-16,5.658412998036814e-18,1.0124977602620976e-16
sink1,4R_orbiter_advanced,0.1,0.1955395385400164,0.02666976564650204,0.1955395385400164,0.02666976564650204,-6.552470222503617e-20,5.599160717366682e-18,-6.694144995013309e-20,6.481025617463274e-18
sink1,4R_orbiter_advanced,0.2,0.2731927799276123,0.01907440416308737,0.2731927799276123,0.01907440416308737,-9.385465666675298e-19,1.2650203974680862e-17,-5.094551750071858e-19,1.4502191416571636e-17
sink1,4R_orbiter_advanced,0.3,0.3571373475294712,0.014411614127837353,0.3571373475294712,0.014411614127837353,1.5645179422829956e-18,2.43683874748447e-17,6.402121344699436e-19,2.8861940216795325e-17
sink1,4R_orbiter_advanced,0.4,0.4460209711107757,0.011452841006439004,0.4460209711107757,0.011452841006439009,-1.3535698713025097e-18,4.113712729582226e-17,4.359111557772489e-18,4.338030466780613e-17
sink1,4R_orbiter_advanced,0.5,0.5382270243701117,0.009493041781434144,0.5382270243701117,0.009493041781434149,-2.8701766320339226e-18,8.09354681976121e-17,-9.803337410414812e-19,7.775192859345651e-17
sink1,4R_orbiter_advanced,0.6,0.6325900534964999,0.008050929590037564,0.6325900534964999,0.008050929590037564,-1.4933146784789848e-18,9.060174161421391e-17,-1.7479026786241965e-18,9.282795187308661e-17
source1,3R_orbiter_plane,0.1,0.20241497009542647,0.020354765328223827,0.20241497009542647,0.020354765328223827,6.874323563889502e-19,2.658339070595782e-17,2.0008461204265855e-19,2.1641565018026597e-17
source1,3R_orbiter_plane,0.2,0.2746281300301979,0.015926527147830646,0.2746281300301979,0.015926527147830646,-6.877910388612923e-19,2.2508118180136815e-17,-2.527372988626193e-18,2.970700912163273e-17
source1,3R_orbiter_plane,0.3,0.35925182100173925,0.015006446263305922,0.35925182100173925,0.015006446263305934,-1.2148272754931133e-18,3.8345085600190387e-17,-6.060588381654374e-19,7.975746334561924e-17
source1,3R_orbiter_plane,0.4,0.44334954536515947,0.01811526384734442,0.44334954536515936,0.018115263847344427,6.198892651688439e-18,9.84144011717521e-17,1.6398505113386078e-18,8.333492879814236e-17
source1,3R_orbiter_plane,0.5,0.544879144508254,0.030252958674123007,0.5448791445082539,0.030252958674123,1.118382564658155e-18,1.3427139571409903e-16,1.7733665610560017e-18,8.502972278085524e-17
source1,3R_orbiter_plane,0.6,0.6329265618426998,0.007475072711426412,0.6329265618426998,0.007475072711426402,-1.7348681500039605e-18,2.1527657013923353e-16,1.1737011923334415e-17,1.447057785719123e-16
source1,4R_orbiter_planar,0.1,0.20227045245058495,0.020185016532042965,0.20227045245058495,0.020185016532042965,-1.9916173996436524e-19,1.1882694632800234e-17,-1.4173669284479435e-18,1.2297117222903015e-17
source1,4R_orbiter_planar,0.2,0.2753167715566354,0.015943775055397378,0.2753167715566354,0.015943775055397378,1.9787730381898622e-18,2.2977470565407865e-17,2.2656650295750366e-19,2.1960032813894417e-17
source1,4R_orbiter_planar,0.3,0.35802064960002505,0.01269310456633964,0.3580206496000251,0.01269310456633964,-1.815944987208787e-18,3.621801680920015e-17,5.655003452793817e-19,3.461153223811862e-17
source1,4R_orbiter_planar,0.4,0.44656739256330014,0.010362453182863616,0.44656739256330014,0.010362453182863614,4.866627120300901e-18,4.473704002690817e-17,-9.239089847442956e-19,3.832511393902525e-17
source1,4R_orbiter_planar,0.5,0.5386341307342271,0.00868017822029255,0.5386341307342271,0.00868017822029255,2.5380370638634637e-18,5.774695165690971e-17,1.723699892080517e-18,6.261630025119146e-17
source1,4R_orbiter_planar,0.6,0.6328944916947017,0.007433977971266734,0.6328944916947017,0.00743397797126672,-2.8715368232942252e-18,1.2371205215209547e-16,5.658412998036814e-18,1.0124977602620976e-16
source1,4R_orbiter_advanced,0.1,0.1955395385400164,0.02666976564650204,0.1955395385400164,0.02666976564650204,-6.552470222503617e-20,5.599160717366682e-18,-6.694144995013309e-20,6.481025617463274e-18
source1,4R_orbiter_advanced,0.2,0.2731927799276123,0.01907440416308737,0.2731927799276123,0.01907440416308737,-9.385465666675298e-19,1.2650203974680862e-17,-5.094551750071858e-19,1.4502191416571636e-17
source1,4R_orbiter_advanced,0.3,0.3571373475294712,0.014411614127837353,0.3571373475294712,0.014411614127837353,1.5645179422829956e-18,2.43683874748447e-17,6.402121344699436e-19,2.8861940216795325e-17
source1,4R_orbiter_advanced,0.4,0.4460209711107757,0.011452841006439004,0.4460209711107757,0.011452841006439009,-1.3535698713025097e-18,4.113712729582226e-17,4.359111557772489e-18,4.338030466780613e-17
source1,4R_orbiter_advanced,0.5,0.5382270243701117,0.009493041781434144,0.5382270243701117,0.009493041781434149,-2.8701766320339226e-18,8.09354681976121e-17,-9.803337410414812e-19,7.775192859345651e-17
source1,4R_orbiter_advanced,0.6,0.6325900534964999,0.008050929590037564,0.6325900534964999,0.008050929590037564,-1.4933146784789848e-18,9.060174161421391e-17,-1.7479026786241965e-18,9.282795187308661e-17
vortex1,3R_orbiter_plane,0.1,0.2024149695176695,0.020354764642859995,0.20241496953356047,0.020354764641835825,1.2069405987465853e-11,7.446247862955594e-11,1.4576397600415013e-11,6.337968464866678e-11
vortex1,3R_orbiter_plane,0.2,0.27462813021583077,0.01592652687567211,0.27462813024808536,0.015926526888928476,4.3359609112610876e-12,5.623693718455335e-11,1.252164883170824e-11,6.060436122701025e-11
vortex1,3R_orbiter_plane,0.3,0.3592518194974928,0.015006440396375555,0.3592518195661733,0.015006440391905159,1.4096546969627012e-11,6.311520354700441e-11,9.493740036748502e-12,8.26615851369703e-11
vortex1,3R_orbiter_plane,0.4,0.44334954354412975,0.018115272084831702,0.44334954362691403,0.01811527209146883,2.9302155553117474e-12,6.619094450598499e-11,3.1339255338304168e-12,9.788358591888004e-11
vortex1,3R_orbiter_plane,0.5,0.5448791477379621,0.030252972512409364,0.5448791478279718,0.030252972508136192,1.350469867940689e-11,1.2048627637902774e-10,1.8141496631479188e-11,1.0004143361775909e-10
vortex1,3R_orbiter_plane,0.6,0.6329265657449465,0.007475075009190297,0.6329265658335332,0.007475075010726875,1.8602602450253854e-11,7.495812177907883e-11,-2.176893991776097e-12,6.569167838170759e-11
vortex1,4R_orbiter_planar,0.1,0.20227045240991334,0.02018501652035258,0.2022704524747607,0.020185016538640216,6.0082579835341804e-12,5.137782270785643e-11,9.846933163633658e-12,5.326269364405799e-11
vortex1,4R_orbiter_planar,0.2,0.27531677149474204,0.01594377504489103,0.2753167715784198,0.01594377504666903,1.0759885192241322e-11,6.144964918638243e-11,2.3743266174196515e-12,6.03755995895413e-11
vortex1,4R_orbiter_planar,0.3,0.3580206495270286,0.012693104553129822,0.35802064961728264,0.012693104552351658,1.2147270163085882e-11,6.287847111930596e-11,6.604818830938267e-12,6.544790510713313e-11
vortex1,4R_orbiter_planar,0.4,0.4465673924837171,0.010362453168088632,0.4465673925783878,0.010362453167116372,4.432584012458645e-12,6.629666525744659e-11,-3.106447964949981e-12,6.876604634618235e-11
