time_s,x_m,y_m
0.000000,-0.238425,-0.348677
0.100000,-0.238250,-0.348792
0.200000,-0.243771,-0.345510
0.300000,-0.259053,-0.336483
0.400000,-0.272801,-0.327591
0.500000,-0.285439,-0.320513
0.600000,-0.296402,-0.313807
0.700000,-0.309843,-0.304961
0.800000,-0.317250,-0.290223
0.900000,-0.319348,-0.268941
1.000000,-0.332315,-0.262160
1.100000,-0.341126,-0.254883
1.200000,-0.353565,-0.246074
1.300000,-0.365631,-0.236769
1.400000,-0.375226,-0.228378
1.500000,-0.386381,-0.218746
1.600000,-0.397408,-0.207866
1.700000,-0.406730,-0.198943
1.800000,-0.416303,-0.188212
1.900000,-0.426068,-0.176978
2.000000,-0.432568,-0.165775
2.100000,-0.440950,-0.154551
2.200000,-0.448891,-0.141041
2.300000,-0.456878,-0.131309
2.400000,-0.461319,-0.118012
2.500000,-0.467467,-0.103410
2.600000,-0.471073,-0.090894
2.700000,-0.472372,-0.076519
2.800000,-0.477261,-0.062988
2.900000,-0.479515,-0.049554
3.000000,-0.482307,-0.035166
3.100000,-0.481025,-0.019870
3.200000,-0.479726,-0.007314
3.300000,-0.476680,0.006736
3.400000,-0.475018,0.022252
3.500000,-0.471459,0.034653
3.600000,-0.467769,0.048368
3.700000,-0.464731,0.062040
3.800000,-0.462303,0.076007
3.900000,-0.458201,0.089104
4.000000,-0.452788,0.103831
4.100000,-0.447971,0.115098
4.200000,-0.442631,0.127869
4.300000,-0.432779,0.139780
4.400000,-0.422677,0.148166
4.500000,-0.410980,0.156774
4.600000,-0.401634,0.169524
4.700000,-0.393246,0.178978
4.800000,-0.384831,0.190308
4.900000,-0.375834,0.202394
5.000000,-0.369244,0.213245
5.100000,-0.359882,0.223553
5.200000,-0.348107,0.234685
5.300000,-0.338000,0.242908
5.400000,-0.328555,0.252211
5.500000,-0.315963,0.262155
5.600000,-0.308218,0.271258
5.700000,-0.299177,0.282737
5.800000,-0.290193,0.294165
5.900000,-0.279392,0.300373
6.000000,-0.259531,0.288300
6.100000,-0.242385,0.291949
6.200000,-0.233891,0.302648
6.300000,-0.223139,0.312554
6.400000,-0.210570,0.322487
6.500000,-0.199888,0.329872
6.600000,-0.187789,0.334448
6.700000,-0.182108,0.338936
6.800000,-0.175933,0.343185
6.900000,-0.164556,0.351654
7.000000,-0.152451,0.361204
7.100000,-0.140021,0.369926
7.200000,-0.127581,0.377493
7.300000,-0.114521,0.384409
7.400000,-0.101370,0.390868
7.500000,-0.087757,0.398196
7.600000,-0.074677,0.405029
7.700000,-0.061240,0.411443
7.800000,-0.047099,0.415746
7.900000,-0.032526,0.419661
8.000000,-0.018786,0.422049
8.100000,-0.003720,0.422468
8.200000,0.011604,0.416090
8.300000,0.024362,0.407712
8.400000,0.038533,0.405722
8.500000,0.052664,0.405126
8.600000,0.067240,0.404832
8.700000,0.081542,0.401251
8.800000,0.095579,0.394809
8.900000,0.110248,0.393223
9.000000,0.123124,0.389380
9.100000,0.137016,0.386638
9.200000,0.151622,0.384949
9.300000,0.166596,0.384513
9.400000,0.180717,0.382576
9.500000,0.195860,0.381895
9.600000,0.211001,0.380811
9.700000,0.224988,0.378723
9.800000,0.239591,0.375127
9.900000,0.253766,0.372463
10.000000,0.268564,0.369433
10.100000,0.283063,0.365913
10.200000,0.297149,0.362162
10.300000,0.311527,0.358589
10.400000,0.324587,0.353078
10.500000,0.337762,0.347846
10.600000,0.350939,0.343118
10.700000,0.363597,0.336538
10.800000,0.375405,0.329197
10.900000,0.387949,0.322334
11.000000,0.399800,0.314776
11.100000,0.411452,0.306391
11.200000,0.423534,0.298230
11.300000,0.435286,0.290167
11.400000,0.445787,0.280647
11.500000,0.456018,0.270750
11.600000,0.466164,0.262661
11.700000,0.476885,0.253501
11.800000,0.487304,0.243872
11.900000,0.495996,0.233057
12.000000,0.504116,0.221349
12.100000,0.512052,0.209828
12.200000,0.519999,0.197773
12.300000,0.526903,0.185555
12.400000,0.533736,0.173633
12.500000,0.540384,0.161723
12.600000,0.547223,0.149574
12.700000,0.551974,0.136689
12.800000,0.556766,0.123312
12.900000,0.559296,0.109051
13.000000,0.561859,0.095537
13.100000,0.563131,0.081450
13.200000,0.564087,0.067427
13.300000,0.562095,0.053002
13.400000,0.563228,0.038807
13.500000,0.561817,0.024627
13.600000,0.564582,0.010128
13.700000,0.565785,-0.005556
13.800000,0.552785,-0.021997
13.900000,0.537133,-0.038307
14.000000,0.537762,-0.052268
14.100000,0.534884,-0.066307
14.200000,0.531174,-0.081283
14.300000,0.527698,-0.095538
14.400000,0.525256,-0.109722
14.500000,0.517273,-0.123835
14.600000,0.515028,-0.138079
14.700000,0.514241,-0.152152
14.800000,0.513449,-0.166131
14.900000,0.509826,-0.179729
15.000000,0.505448,-0.193633
15.100000,0.500116,-0.206613
15.200000,0.496078,-0.220100
15.300000,0.486569,-0.232370
15.400000,0.477469,-0.244320
15.500000,0.471846,-0.256594
15.600000,0.468145,-0.269930
