time_s,x_m,y_m
0.000000,-0.134315,-0.238683
0.100000,-0.134775,-0.238616
0.200000,-0.138429,-0.235402
0.300000,-0.154313,-0.224831
0.400000,-0.165257,-0.217630
0.500000,-0.177430,-0.208930
0.600000,-0.185994,-0.200832
0.700000,-0.197730,-0.189427
0.800000,-0.205507,-0.181264
0.900000,-0.214733,-0.172274
1.000000,-0.225850,-0.161691
1.100000,-0.233736,-0.153759
1.200000,-0.241544,-0.143138
1.300000,-0.250103,-0.131406
1.400000,-0.256762,-0.119255
1.500000,-0.263835,-0.107417
1.600000,-0.271631,-0.094093
1.700000,-0.276146,-0.082367
1.800000,-0.280165,-0.068887
1.900000,-0.282765,-0.054859
2.000000,-0.284746,-0.041081
2.100000,-0.285884,-0.026972
2.200000,-0.286132,-0.013002
2.300000,-0.285825,0.001782
2.400000,-0.284436,0.015291
2.500000,-0.281961,0.029014
2.600000,-0.278574,0.043283
2.700000,-0.273749,0.056013
2.800000,-0.269926,0.069205
2.900000,-0.265062,0.082770
3.000000,-0.261273,0.096352
3.100000,-0.257521,0.109894
3.200000,-0.253991,0.122378
3.300000,-0.248665,0.137303
3.400000,-0.244070,0.150807
3.500000,-0.239407,0.164072
3.600000,-0.235215,0.177544
3.700000,-0.230296,0.190746
3.800000,-0.224695,0.202270
3.900000,-0.216569,0.216312
4.000000,-0.209427,0.228347
4.100000,-0.201477,0.239973
4.200000,-0.191299,0.250691
4.300000,-0.179795,0.258517
4.400000,-0.167213,0.265519
4.500000,-0.154163,0.273064
4.600000,-0.142066,0.279863
4.700000,-0.130279,0.284317
4.800000,-0.116744,0.289508
4.900000,-0.101827,0.294574
5.000000,-0.089707,0.297879
5.100000,-0.075455,0.301857
5.200000,-0.060196,0.303431
5.300000,-0.045366,0.303354
5.400000,-0.031228,0.299863
5.500000,-0.017709,0.295079
5.600000,-0.019690,0.313192
5.700000,-0.024722,0.346554
5.800000,-0.012906,0.356859
5.900000,-0.000603,0.353010
6.000000,0.014196,0.350816
6.100000,0.030043,0.348082
6.200000,0.042821,0.342900
6.300000,0.056547,0.337598
6.400000,0.071476,0.331157
6.500000,0.083903,0.327480
6.600000,0.097102,0.322496
6.700000,0.111792,0.316983
6.800000,0.123312,0.311259
6.900000,0.136425,0.305150
7.000000,0.151056,0.298651
7.100000,0.163143,0.293363
7.200000,0.176075,0.286494
7.300000,0.189830,0.279869
7.400000,0.201095,0.273816
7.500000,0.212855,0.266504
7.600000,0.227120,0.259727
7.700000,0.238222,0.253285
7.800000,0.249751,0.245436
7.900000,0.261305,0.234988
8.000000,0.271567,0.226875
8.100000,0.283745,0.218866
8.200000,0.295860,0.208975
8.300000,0.305800,0.200537
8.400000,0.316918,0.192033
8.500000,0.328683,0.181318
8.600000,0.338784,0.173535
8.700000,0.349375,0.163251
8.800000,0.355402,0.147747
8.900000,0.358297,0.134978
9.000000,0.361686,0.121277
9.100000,0.367075,0.106707
9.200000,0.370959,0.093903
9.300000,0.370669,0.079158
9.400000,0.373801,0.064241
9.500000,0.373277,0.050412
9.600000,0.374608,0.035400
9.700000,0.373935,0.018994
9.800000,0.368679,0.006298
9.900000,0.366370,-0.008604
10.000000,0.364301,-0.024867
10.100000,0.361593,-0.038277
10.200000,0.356712,-0.052130
10.300000,0.351257,-0.067433
10.400000,0.347529,-0.080097
10.500000,0.343264,-0.094464
10.600000,0.338612,-0.109460
10.700000,0.335237,-0.122209
10.800000,0.330398,-0.135860
10.900000,0.325125,-0.150856
11.000000,0.320034,-0.163142
11.100000,0.314490,-0.176785
11.200000,0.307596,-0.190927
11.300000,0.300182,-0.201942
11.400000,0.291473,-0.213831
11.500000,0.281327,-0.226175
11.600000,0.271524,-0.235642
