MONTE CARLO SADDLE FINDING RESULTS
================================================================================

Number of trials: 100
Starting radius: 1.0 m
Max simulation time: 500 steps

STATISTICAL SUMMARY
--------------------------------------------------------------------------------
Final Distance (mm):     Mean=210.99, Std=130.17, Min=9.25, Max=531.21
Steps to Converge:       Mean=87.0, Std=106.3, Min=40, Max=500
Path Length (m):         Mean=9.570, Std=5.918, Min=0.860, Max=14.379
Path Efficiency:         Mean=0.380, Std=0.448, Min=0.070, Max=1.163
Success Rate:            4.0%

INDIVIDUAL TRIAL RESULTS
--------------------------------------------------------------------------------
Trial    Start (x,y)          Final Dist (mm)    Steps    Converged    Efficiency  
--------------------------------------------------------------------------------
0        ( 1.000,  0.000)   42.47              500      40           1.044       
1        ( 0.998,  0.063)   41.25              500      40           1.043       
2        ( 0.992,  0.125)   36.56              500      41           1.036       
3        ( 0.982,  0.187)   30.69              500      41           1.025       
4        ( 0.969,  0.249)   23.59              500      42           1.002       
5        ( 0.951,  0.309)   241.63             500      43           0.077       
6        ( 0.930,  0.368)   380.70             500      44           0.074       
7        ( 0.905,  0.426)   374.72             500      45           0.072       
8        ( 0.876,  0.482)   266.04             500      45           0.070       
9        ( 0.844,  0.536)   210.60             500      46           0.070       
10       ( 0.809,  0.588)   240.00             500      46           0.070       
11       ( 0.771,  0.637)   182.07             500      47           0.070       
12       ( 0.729,  0.685)   229.29             500      49           0.071       
13       ( 0.685,  0.729)   9.25               100      57           0.990       
14       ( 0.637,  0.771)   354.45             500      80           0.076       
15       ( 0.588,  0.809)   308.15             500      78           0.077       
16       ( 0.536,  0.844)   232.25             500      77           0.075       
17       ( 0.482,  0.876)   259.25             500      72           0.073       
18       ( 0.426,  0.905)   274.24             500      72           0.073       
19       ( 0.368,  0.930)   347.92             500      66           0.071       
20       ( 0.309,  0.951)   288.18             500      67           0.072       
21       ( 0.249,  0.969)   73.89              500      89           0.936       
22       ( 0.187,  0.982)   226.66             500      104          0.079       
23       ( 0.125,  0.992)   526.19             500      114          0.082       
24       ( 0.063,  0.998)   113.61             500      500          1.111       
25       (-0.000,  1.000)   139.84             500      500          1.163       
26       (-0.063,  0.998)   113.61             500      500          1.111       
27       (-0.125,  0.992)   531.21             500      114          0.082       
28       (-0.187,  0.982)   227.86             500      104          0.079       
29       (-0.249,  0.969)   73.89              500      89           0.936       
30       (-0.309,  0.951)   259.32             500      67           0.072       
31       (-0.368,  0.930)   346.36             500      66           0.071       
32       (-0.426,  0.905)   262.99             500      72           0.073       
33       (-0.482,  0.876)   246.28             500      72           0.074       
34       (-0.536,  0.844)   232.28             500      77           0.075       
35       (-0.588,  0.809)   319.85             500      78           0.077       
36       (-0.637,  0.771)   311.16             500      80           0.076       
37       (-0.685,  0.729)   9.25               100      57           0.990       
38       (-0.729,  0.685)   183.96             500      49           0.071       
39       (-0.771,  0.637)   187.94             500      47           0.070       
40       (-0.809,  0.588)   214.01             500      46           0.070       
41       (-0.844,  0.536)   210.58             500      46           0.070       
42       (-0.876,  0.482)   264.41             500      45           0.070       
43       (-0.905,  0.426)   372.92             500      45           0.072       
44       (-0.930,  0.368)   342.86             500      44           0.074       
45       (-0.951,  0.309)   253.25             500      43           0.077       
46       (-0.969,  0.249)   23.59              500      42           1.002       
47       (-0.982,  0.187)   30.69              500      41           1.025       
48       (-0.992,  0.125)   36.56              500      41           1.036       
49       (-0.998,  0.063)   41.25              500      40           1.043       
50       (-1.000, -0.000)   42.47              500      40           1.044       
51       (-0.998, -0.063)   41.25              500      40           1.043       
52       (-0.992, -0.125)   36.56              500      41           1.036       
53       (-0.982, -0.187)   30.69              500      41           1.025       
54       (-0.969, -0.249)   23.59              500      42           1.002       
55       (-0.951, -0.309)   241.64             500      43           0.077       
56       (-0.930, -0.368)   380.70             500      44           0.074       
57       (-0.905, -0.426)   374.72             500      45           0.072       
58       (-0.876, -0.482)   266.04             500      45           0.070       
59       (-0.844, -0.536)   210.60             500      46           0.070       
60       (-0.809, -0.588)   240.04             500      46           0.070       
61       (-0.771, -0.637)   182.04             500      47           0.070       
62       (-0.729, -0.685)   229.29             500      49           0.071       
63       (-0.685, -0.729)   9.25               100      57           0.990       
64       (-0.637, -0.771)   354.45             500      80           0.076       
65       (-0.588, -0.809)   308.15             500      78           0.077       
66       (-0.536, -0.844)   232.25             500      77           0.075       
67       (-0.482, -0.876)   259.25             500      72           0.073       
68       (-0.426, -0.905)   274.24             500      72           0.073       
69       (-0.368, -0.930)   347.92             500      66           0.071       
70       (-0.309, -0.951)   288.18             500      67           0.072       
71       (-0.249, -0.969)   73.89              500      89           0.936       
72       (-0.187, -0.982)   226.66             500      104          0.079       
73       (-0.125, -0.992)   526.19             500      114          0.082       
74       (-0.063, -0.998)   113.61             500      500          1.111       
75       (-0.000, -1.000)   139.84             500      500          1.163       
76       ( 0.063, -0.998)   113.61             500      500          1.111       
77       ( 0.125, -0.992)   531.21             500      114          0.082       
78       ( 0.187, -0.982)   227.86             500      104          0.079       
79       ( 0.249, -0.969)   73.89              500      89           0.936       
80       ( 0.309, -0.951)   259.32             500      67           0.072       
81       ( 0.368, -0.930)   346.37             500      66           0.071       
82       ( 0.426, -0.905)   262.99             500      72           0.073       
83       ( 0.482, -0.876)   246.28             500      72           0.074       
84       ( 0.536, -0.844)   232.28             500      77           0.075       
85       ( 0.588, -0.809)   319.86             500      78           0.077       
86       ( 0.637, -0.771)   311.16             500      80           0.076       
87       ( 0.685, -0.729)   9.25               100      57           0.990       
88       ( 0.729, -0.685)   183.97             500      49           0.071       
89       ( 0.771, -0.637)   187.95             500      47           0.070       
90       ( 0.809, -0.588)   214.01             500      46           0.070       
91       ( 0.844, -0.536)   210.58             500      46           0.070       
92       ( 0.876, -0.482)   264.41             500      45           0.070       
93       ( 0.905, -0.426)   372.92             500      45           0.072       
94       ( 0.930, -0.368)   342.86             500      44           0.074       
95       ( 0.951, -0.309)   253.27             500      43           0.077       
96       ( 0.969, -0.249)   23.59              500      42           1.002       
97       ( 0.982, -0.187)   30.69              500      41           1.025       
98       ( 0.992, -0.125)   36.56              500      41           1.036       
99       ( 0.998, -0.063)   41.25              500      40           1.043       
