x1,y1,theta1,hue1,sat1,x2,y2,theta2,hue2,sat2,x3,y3,theta3,hue3,sat3
-0.752207,-0.580234,0.084992,0.090393,0.795855,-0.556756,-0.407605,0.303019,0.097862,0.710418,-0.344261,-0.618971,0.068976,0.171530,0.677737
-0.752078,-0.580091,0.086541,0.090393,0.795855,-0.557012,-0.407836,0.303076,0.097862,0.710418,-0.343966,-0.618384,0.076000,0.171530,0.677737
-0.747088,-0.575620,0.128484,0.090364,0.792926,-0.551419,-0.402067,0.327582,0.097987,0.709394,-0.341740,-0.614152,0.092796,0.169449,0.684386
-0.722809,-0.554702,0.214359,0.100150,0.786077,-0.526764,-0.376975,0.391957,0.094404,0.688881,-0.320432,-0.590136,0.152482,0.175707,0.668301
-0.698042,-0.530770,0.263228,0.075788,0.664281,-0.500131,-0.352045,0.398703,0.094404,0.688881,-0.298602,-0.560506,0.184798,0.176400,0.662356
-0.671331,-0.506341,0.297487,0.091574,0.755725,-0.471690,-0.324264,0.424578,0.091822,0.610366,-0.273175,-0.531994,0.219636,0.173886,0.653000
-0.642883,-0.481932,0.335037,0.089413,0.734324,-0.445524,-0.296966,0.431195,0.091822,0.610366,-0.247677,-0.504786,0.243092,0.181166,0.605808
-0.610716,-0.455760,0.378792,0.089596,0.718576,-0.417037,-0.268025,0.423271,0.091512,0.563698,-0.218538,-0.474612,0.271917,0.181611,0.587726
-0.585137,-0.433118,0.414605,0.091907,0.707187,-0.393028,-0.244222,0.434122,0.091512,0.563698,-0.195504,-0.448742,0.289351,0.181611,0.587726
-0.559363,-0.410782,0.446695,0.092845,0.695054,-0.369552,-0.219387,0.464792,0.091411,0.543635,-0.173041,-0.423575,0.312015,0.182405,0.558455
-0.527619,-0.382505,0.491981,0.088931,0.668813,-0.339410,-0.189847,0.459346,0.089344,0.528998,-0.144059,-0.393447,0.342931,0.182315,0.541147
-0.502297,-0.360050,0.521709,0.086643,0.611247,-0.314914,-0.164667,0.467681,0.077631,0.498779,-0.120108,-0.368326,0.363141,0.191969,0.507278
-0.473284,-0.334362,0.562666,0.086444,0.609617,-0.286571,-0.137192,0.479192,0.068285,0.470769,-0.094097,-0.340448,0.390933,0.206119,0.483347
-0.441127,-0.303759,0.606500,0.093115,0.563846,-0.256623,-0.106568,0.489827,0.066753,0.459351,-0.064271,-0.310334,0.421732,0.211639,0.455610
-0.416455,-0.281372,0.635943,0.086095,0.590188,-0.231642,-0.080322,0.503704,0.059783,0.435516,-0.041419,-0.285853,0.441715,0.213903,0.443297
-0.389461,-0.256863,0.659952,0.087018,0.521612,-0.203459,-0.052635,0.509861,0.053437,0.427628,-0.014540,-0.258962,0.462280,0.232723,0.424734
-0.360836,-0.226947,0.677219,0.083525,0.505786,-0.173370,-0.021726,0.513278,0.025489,0.398618,0.013575,-0.230407,0.495503,0.245105,0.405042
-0.331006,-0.201405,0.723384,0.081399,0.491131,-0.145799,0.006714,0.517834,0.025489,0.398618,0.039864,-0.203703,0.517427,0.257752,0.403150
-0.305443,-0.177734,0.720539,0.076416,0.469994,-0.122747,0.029504,0.510216,0.002160,0.388702,0.063666,-0.180809,0.520339,0.287506,0.393395
-0.276097,-0.149826,0.720575,0.062262,0.448197,-0.096911,0.054208,0.510117,0.977015,0.338208,0.091227,-0.152777,0.519572,0.311055,0.419463
-0.257712,-0.128888,0.716745,0.060440,0.414148,-0.078142,0.071329,0.507145,0.900892,0.325630,0.108495,-0.135261,0.516867,0.337530,0.409612
