config_name,robot_type,commanded_radius,actual_radius,radius_error,std_radius
orbit001,3-robot,0.010000,0.155948,0.145948,0.000003
orbit010,3-robot,0.100000,0.208803,0.108803,0.000007
orbit020,3-robot,0.200000,0.280816,0.080816,0.000012
orbit030,3-robot,0.300000,0.362561,0.062561,0.000014
orbit040,3-robot,0.400000,0.450352,0.050352,0.000015
orbit050,3-robot,0.500000,0.541843,0.041843,0.000015
orbit060,3-robot,0.600000,0.635663,0.035663,0.000014
orbit070,3-robot,0.700000,0.731010,0.031010,0.000013
orbit101,4-robot-square,0.010000,0.155948,0.145948,0.000003
orbit110,4-robot-square,0.100000,0.208803,0.108803,0.000007
orbit120,4-robot-square,0.200000,0.280816,0.080816,0.000012
orbit130,4-robot-square,0.300000,0.362561,0.062561,0.000014
orbit140,4-robot-square,0.400000,0.450352,0.050352,0.000015
orbit150,4-robot-square,0.500000,0.541843,0.041843,0.000015
orbit160,4-robot-square,0.600000,0.635663,0.035663,0.000014
orbit201,4-robot-dual,0.010000,0.060392,0.050392,0.000854
orbit210,4-robot-dual,0.100000,0.111168,0.011168,0.002629
orbit220,4-robot-dual,0.200000,0.202693,0.002693,0.002256
orbit230,4-robot-dual,0.300000,0.347326,0.047326,0.000373
orbit240,4-robot-dual,0.400000,0.449845,0.049845,0.000216
orbit250,4-robot-dual,0.500000,0.541836,0.041836,0.000042
