field_type,robot_type,commanded_radius,actual_radius,radius_error,std_radius
sink,3-robot,0.010000,0.155948,0.145948,0.000003
sink,3-robot,0.100000,0.208803,0.108803,0.000007
sink,3-robot,0.200000,0.280816,0.080816,0.000012
sink,3-robot,0.300000,0.362561,0.062561,0.000014
sink,3-robot,0.400000,0.450352,0.050352,0.000015
sink,3-robot,0.500000,0.541843,0.041843,0.000015
sink,3-robot,0.600000,0.635663,0.035663,0.000014
sink,3-robot,0.700000,0.731010,0.031010,0.000013
sink,4-robot-square,0.010000,0.155948,0.145948,0.000003
sink,4-robot-square,0.100000,0.208803,0.108803,0.000007
sink,4-robot-square,0.200000,0.280816,0.080816,0.000012
sink,4-robot-square,0.300000,0.362561,0.062561,0.000014
sink,4-robot-square,0.400000,0.450352,0.050352,0.000015
sink,4-robot-square,0.500000,0.541843,0.041843,0.000015
sink,4-robot-square,0.600000,0.635663,0.035663,0.000014
sink,4-robot-square,0.700000,0.731010,0.031010,0.000013
source,3-robot,0.010000,0.155948,0.145948,0.000003
source,3-robot,0.100000,0.208803,0.108803,0.000007
source,3-robot,0.200000,0.280816,0.080816,0.000012
source,3-robot,0.300000,0.362561,0.062561,0.000014
source,3-robot,0.400000,0.450352,0.050352,0.000015
source,3-robot,0.500000,0.541843,0.041843,0.000015
source,3-robot,0.600000,0.635663,0.035663,0.000014
source,3-robot,0.700000,0.731010,0.031010,0.000013
source,4-robot-square,0.010000,0.155948,0.145948,0.000003
source,4-robot-square,0.100000,0.208803,0.108803,0.000007
source,4-robot-square,0.200000,0.280816,0.080816,0.000012
source,4-robot-square,0.300000,0.362561,0.062561,0.000014
source,4-robot-square,0.400000,0.450352,0.050352,0.000015
source,4-robot-square,0.500000,0.541843,0.041843,0.000015
source,4-robot-square,0.600000,0.635663,0.035663,0.000014
source,4-robot-square,0.700000,0.731010,0.031010,0.000013
vortex,3-robot,0.010000,0.155948,0.145948,0.000003
vortex,3-robot,0.100000,0.208803,0.108803,0.000007
vortex,3-robot,0.200000,0.280816,0.080816,0.000012
vortex,3-robot,0.300000,0.362561,0.062561,0.000014
vortex,3-robot,0.400000,0.450352,0.050352,0.000015
vortex,3-robot,0.500000,0.541843,0.041843,0.000015
vortex,3-robot,0.600000,0.635663,0.035663,0.000014
vortex,3-robot,0.700000,0.731010,0.031010,0.000013
vortex,4-robot-square,0.010000,0.155948,0.145948,0.000003
vortex,4-robot-square,0.100000,0.208803,0.108803,0.000007
vortex,4-robot-square,0.200000,0.280816,0.080816,0.000012
vortex,4-robot-square,0.300000,0.362561,0.062561,0.000014
vortex,4-robot-square,0.400000,0.450352,0.050352,0.000015
vortex,4-robot-square,0.500000,0.541843,0.041843,0.000015
vortex,4-robot-square,0.600000,0.635663,0.035663,0.000014
vortex,4-robot-square,0.700000,0.731010,0.031010,0.000013
saddle,3-robot,0.010000,0.155948,0.145948,0.000003
saddle,3-robot,0.100000,0.208803,0.108803,0.000007
saddle,3-robot,0.200000,0.280816,0.080816,0.000012
saddle,3-robot,0.300000,0.362561,0.062561,0.000014
saddle,3-robot,0.400000,0.450352,0.050352,0.000015
saddle,3-robot,0.500000,0.541843,0.041843,0.000015
saddle,3-robot,0.600000,0.635663,0.035663,0.000014
saddle,3-robot,0.700000,0.731010,0.031010,0.000013
saddle,4-robot-square,0.010000,0.155948,0.145948,0.000003
saddle,4-robot-square,0.100000,0.208803,0.108803,0.000007
saddle,4-robot-square,0.200000,0.280816,0.080816,0.000012
saddle,4-robot-square,0.300000,0.362561,0.062561,0.000014
saddle,4-robot-square,0.400000,0.450352,0.050352,0.000015
saddle,4-robot-square,0.500000,0.541843,0.041843,0.000015
saddle,4-robot-square,0.600000,0.635663,0.035663,0.000014
saddle,4-robot-square,0.700000,0.731010,0.031010,0.000013
sinking_vortex,3-robot,0.010000,0.155948,0.145948,0.000003
sinking_vortex,3-robot,0.100000,0.208803,0.108803,0.000007
sinking_vortex,3-robot,0.200000,0.280816,0.080816,0.000012
sinking_vortex,3-robot,0.300000,0.362561,0.062561,0.000014
sinking_vortex,3-robot,0.400000,0.450352,0.050352,0.000015
sinking_vortex,3-robot,0.500000,0.541843,0.041843,0.000015
