time_s,x_m,y_m
0.000000,-0.133803,0.004598
0.100000,-0.133917,0.004606
0.200000,-0.132662,0.004222
0.300000,-0.129966,0.006554
0.400000,-0.127919,0.015676
0.500000,-0.125833,0.028911
0.600000,-0.121148,0.042193
0.700000,-0.114231,0.052470
0.800000,-0.108012,0.060897
0.900000,-0.098586,0.071021
1.000000,-0.087182,0.084128
1.100000,-0.079819,0.094749
1.200000,-0.069944,0.105153
1.300000,-0.058910,0.114628
1.400000,-0.048935,0.121657
1.500000,-0.036534,0.126232
1.600000,-0.021885,0.132222
1.700000,-0.009390,0.135810
1.800000,0.005061,0.138184
1.900000,0.019972,0.138365
2.000000,0.034068,0.137292
2.100000,0.048857,0.133704
2.200000,0.062766,0.128861
2.300000,0.075468,0.122438
2.400000,0.087451,0.114844
2.500000,0.098702,0.106691
2.600000,0.107752,0.096967
2.700000,0.115429,0.086586
2.800000,0.121363,0.075449
2.900000,0.126073,0.061872
3.000000,0.128965,0.048464
3.100000,0.130222,0.037109
3.200000,0.132340,0.024839
3.300000,0.137995,0.013979
3.400000,0.143721,0.003586
3.500000,0.148700,-0.006625
3.600000,0.150668,-0.016503
3.700000,0.152422,-0.028577
3.800000,0.153357,-0.042124
3.900000,0.151374,-0.056234
4.000000,0.148481,-0.068849
4.100000,0.144235,-0.081835
4.200000,0.138813,-0.094747
4.300000,0.131799,-0.106279
4.400000,0.123656,-0.117005
4.500000,0.113718,-0.126380
4.600000,0.102930,-0.135385
4.700000,0.090598,-0.143033
4.800000,0.078494,-0.149214
4.900000,0.065984,-0.155766
5.000000,0.054034,-0.161963
5.100000,0.040915,-0.166847
5.200000,0.028887,-0.171692
5.300000,0.015708,-0.174962
5.400000,0.002552,-0.176812
5.500000,-0.011516,-0.175285
5.600000,-0.026020,-0.174592
5.700000,-0.039552,-0.172568
5.800000,-0.053920,-0.169996
5.900000,-0.066475,-0.166867
6.000000,-0.079038,-0.163129
6.100000,-0.092205,-0.157399
6.200000,-0.104917,-0.150775
6.300000,-0.116477,-0.143456
6.400000,-0.128213,-0.135146
6.500000,-0.138256,-0.125955
6.600000,-0.147978,-0.116203
6.700000,-0.157907,-0.106280
6.800000,-0.166120,-0.095931
6.900000,-0.172573,-0.084812
7.000000,-0.176071,-0.073466
7.100000,-0.176391,-0.067238
7.200000,-0.178510,-0.057199
7.300000,-0.179660,-0.050516
7.400000,-0.183209,-0.038327
7.500000,-0.189024,-0.025011
7.600000,-0.192436,-0.011299
7.700000,-0.193312,0.002921
7.800000,-0.193649,0.016235
7.900000,-0.192816,0.030489
8.000000,-0.190636,0.044459
8.100000,-0.187870,0.058361
8.200000,-0.184326,0.071847
8.300000,-0.178009,0.083672
8.400000,-0.170429,0.096151
8.500000,-0.162752,0.108111
8.600000,-0.155444,0.120222
8.700000,-0.147705,0.131686
8.800000,-0.138117,0.142923
8.900000,-0.127859,0.151831
9.000000,-0.116110,0.159743
9.100000,-0.103555,0.167196
9.200000,-0.090802,0.173268
9.300000,-0.079879,0.181576
9.400000,-0.067471,0.188734
9.500000,-0.055129,0.193959
9.600000,-0.041399,0.199149
9.700000,-0.028110,0.202395
9.800000,-0.014061,0.204492
9.900000,0.000376,0.205091
10.000000,0.014665,0.204314
10.100000,0.028612,0.202399
10.200000,0.042700,0.199650
10.300000,0.056229,0.195495
10.400000,0.069604,0.191016
10.500000,0.082366,0.185764
10.600000,0.095475,0.180648
10.700000,0.107860,0.174583
10.800000,0.119621,0.167110
10.900000,0.130725,0.157656
11.000000,0.141270,0.147268
11.100000,0.151735,0.137268
11.200000,0.161046,0.127168
11.300000,0.170980,0.117980
11.400000,0.180415,0.108132
11.500000,0.188829,0.097696
11.600000,0.195691,0.086262
11.700000,0.202412,0.073830
11.800000,0.208562,0.062167
11.900000,0.213563,0.050231
12.000000,0.218703,0.037393
12.100000,0.222840,0.024377
12.200000,0.227005,0.011133
12.300000,0.230082,-0.001903
12.400000,0.231851,-0.015288
12.500000,0.231856,-0.028671
12.600000,0.231309,-0.041876
12.700000,0.230001,-0.055768
12.800000,0.228688,-0.068124
12.900000,0.226587,-0.082478
13.000000,0.222596,-0.095189
13.100000,0.217763,-0.107637
13.200000,0.212504,-0.120125
13.300000,0.206753,-0.132538
13.400000,0.200298,-0.143002
13.500000,0.192867,-0.155406
13.600000,0.185676,-0.168393
13.700000,0.178730,-0.175968
13.800000,0.169401,-0.186455
13.900000,0.157576,-0.196066
14.000000,0.147875,-0.203124
14.100000,0.136286,-0.209739
14.200000,0.123720,-0.216988
14.300000,0.111763,-0.223510
14.400000,0.100560,-0.229049
14.500000,0.087473,-0.235225
14.600000,0.075173,-0.241022
14.700000,0.063250,-0.245039
14.800000,0.049306,-0.250071
14.900000,0.037153,-0.254059
15.000000,0.024592,-0.258203
15.100000,0.011239,-0.262148
15.200000,-0.000885,-0.265577
15.300000,-0.012779,-0.268598
15.400000,-0.023918,-0.270861
15.500000,-0.036537,-0.270698
15.600000,-0.049670,-0.269579
15.700000,-0.063690,-0.267241
15.800000,-0.075274,-0.264779
15.900000,-0.086806,-0.261691
16.000000,-0.098855,-0.257578
16.100000,-0.110698,-0.251027
16.200000,-0.122482,-0.245473
16.300000,-0.134754,-0.238831
16.400000,-0.144558,-0.232511
16.500000,-0.155081,-0.224319
16.600000,-0.166965,-0.216592
16.700000,-0.177068,-0.208547
16.800000,-0.189019,-0.201342
16.900000,-0.198902,-0.193040
17.000000,-0.209066,-0.183860
17.100000,-0.219111,-0.174934
17.200000,-0.229542,-0.165103
17.300000,-0.237977,-0.156494
17.400000,-0.247177,-0.146620
17.500000,-0.255452,-0.135454
17.600000,-0.263535,-0.123913
17.700000,-0.269445,-0.110177
17.800000,-0.273069,-0.098597
17.900000,-0.276567,-0.085149
18.000000,-0.280237,-0.070767
18.100000,-0.283168,-0.057545
18.200000,-0.283796,-0.043917
18.300000,-0.283543,-0.029327
18.400000,-0.281793,-0.015996
18.500000,-0.280608,-0.001635
18.600000,-0.279787,0.011981
18.700000,-0.279172,0.025766
18.800000,-0.278120,0.038688
18.900000,-0.276023,0.051850
19.000000,-0.273276,0.063963
19.100000,-0.270577,0.076648
19.200000,-0.268367,0.089744
19.300000,-0.266900,0.103848
19.400000,-0.264002,0.116883
19.500000,-0.262003,0.130848
19.600000,-0.259311,0.142347
19.700000,-0.256340,0.149068
19.800000,-0.252746,0.162446
19.900000,-0.246802,0.175218
20.000000,-0.239358,0.188257
20.100000,-0.231035,0.199636
20.200000,-0.220972,0.210124
20.300000,-0.210340,0.220441
20.400000,-0.200611,0.228885
20.500000,-0.195635,0.234419
20.600000,-0.185713,0.243916
20.700000,-0.173993,0.253248
20.800000,-0.161647,0.260211
20.900000,-0.148005,0.265077
21.000000,-0.134166,0.269425
21.100000,-0.120620,0.277235
21.200000,-0.107890,0.283340
21.300000,-0.095324,0.288910
21.400000,-0.082191,0.294641
21.500000,-0.068975,0.298673
21.600000,-0.054724,0.302038
21.700000,-0.042543,0.304749
21.800000,-0.036352,0.306070
21.900000,-0.024458,0.307814
22.000000,-0.010039,0.310059
22.100000,0.004896,0.310544
22.200000,0.019735,0.311195
22.300000,0.033685,0.309993
22.400000,0.048473,0.309030
22.500000,0.062310,0.307531
22.600000,0.076374,0.304642
22.700000,0.090299,0.301261
22.800000,0.103873,0.296868
22.900000,0.116709,0.291428
23.000000,0.130125,0.285649
23.100000,0.144193,0.282334
23.200000,0.157575,0.279195
23.300000,0.171906,0.277238
23.400000,0.184858,0.273213
23.500000,0.197283,0.267004
23.600000,0.209794,0.259524
23.700000,0.224022,0.254558
23.800000,0.235809,0.247288
23.900000,0.246750,0.238963
24.000000,0.257668,0.230395
24.100000,0.268294,0.220541
24.200000,0.278460,0.211036
24.300000,0.288069,0.201016
24.400000,0.296964,0.190869
24.500000,0.305310,0.179778
24.600000,0.313609,0.168767
24.700000,0.321011,0.157988
24.800000,0.328724,0.147623
24.900000,0.335514,0.136322
25.000000,0.342825,0.125090
25.100000,0.349061,0.113585
25.200000,0.355684,0.101582
25.300000,0.361369,0.089632
25.400000,0.366669,0.077217
25.500000,0.371179,0.064544
25.600000,0.375544,0.051800
25.700000,0.379274,0.038694
25.800000,0.380074,0.025425
25.900000,0.381268,0.012124
26.000000,0.380605,-0.001235
26.100000,0.378238,-0.014625
26.200000,0.374149,-0.027998
26.300000,0.372525,-0.041598
26.400000,0.370770,-0.055141
26.500000,0.368772,-0.068884
26.600000,0.365642,-0.081801
26.700000,0.362037,-0.094175
26.800000,0.357500,-0.106723
26.900000,0.353115,-0.119083
27.000000,0.348472,-0.131997
27.100000,0.343759,-0.144795
27.200000,0.338678,-0.157654
27.300000,0.333732,-0.169731
27.400000,0.328511,-0.182213
27.500000,0.323111,-0.195083
27.600000,0.316067,-0.206211
27.700000,0.308998,-0.218012
27.800000,0.300534,-0.229535
27.900000,0.292390,-0.241589
28.000000,0.283140,-0.251318
28.100000,0.273725,-0.260521
28.200000,0.263425,-0.268682
28.300000,0.252457,-0.276495
28.400000,0.241443,-0.285186
28.500000,0.230840,-0.294087
28.600000,0.218809,-0.301114
28.700000,0.206679,-0.307633
28.800000,0.194076,-0.311906
28.900000,0.181755,-0.315870
29.000000,0.167375,-0.318817
29.100000,0.153575,-0.322597
29.200000,0.140272,-0.324198
29.300000,0.126831,-0.325703
29.400000,0.112988,-0.329100
29.500000,0.099136,-0.332884
29.600000,0.085868,-0.334989
29.700000,0.072381,-0.336941
29.800000,0.058984,-0.339124
29.900000,0.045972,-0.339727
30.000000,0.032172,-0.340150
30.100000,0.019146,-0.340189
30.200000,0.005886,-0.340085
30.300000,-0.007966,-0.339263
30.400000,-0.021145,-0.338930
30.500000,-0.034048,-0.338692
30.600000,-0.047772,-0.337569
