time_s,x_m,y_m
0.000000,0.169934,-0.555089
0.100000,0.169786,-0.555100
0.200000,0.165966,-0.555773
0.300000,0.149696,-0.557728
0.400000,0.134070,-0.560709
0.500000,0.122735,-0.562693
0.600000,0.110145,-0.561963
0.700000,0.100102,-0.561237
0.800000,0.087693,-0.558683
0.900000,0.077287,-0.556269
1.000000,0.062524,-0.554996
1.100000,0.048632,-0.552828
1.200000,0.035551,-0.551316
1.300000,0.020943,-0.549276
1.400000,0.011985,-0.549247
1.500000,-0.001330,-0.547648
1.600000,-0.018121,-0.547074
1.700000,-0.031224,-0.546109
1.800000,-0.045698,-0.545016
1.900000,-0.059740,-0.543136
2.000000,-0.073062,-0.540999
2.100000,-0.087926,-0.538951
2.200000,-0.101924,-0.536148
2.300000,-0.116097,-0.533645
2.400000,-0.130511,-0.531264
2.500000,-0.144703,-0.527784
2.600000,-0.157624,-0.520806
2.700000,-0.170172,-0.514051
2.800000,-0.182607,-0.506125
2.900000,-0.194404,-0.497807
3.000000,-0.205854,-0.489975
3.100000,-0.217438,-0.481908
3.200000,-0.229656,-0.475555
3.300000,-0.241286,-0.467779
3.400000,-0.252585,-0.458918
3.500000,-0.263816,-0.450421
3.600000,-0.275779,-0.443222
3.700000,-0.287217,-0.436243
3.800000,-0.299147,-0.429413
3.900000,-0.311624,-0.422485
4.000000,-0.322547,-0.415032
4.100000,-0.334536,-0.407305
4.200000,-0.341333,-0.395050
4.300000,-0.349342,-0.381706
4.400000,-0.358670,-0.371142
4.500000,-0.367282,-0.360320
4.600000,-0.377696,-0.351330
4.700000,-0.388585,-0.341647
4.800000,-0.396878,-0.330826
4.900000,-0.406591,-0.320769
5.000000,-0.414423,-0.310036
5.100000,-0.422838,-0.299004
5.200000,-0.431317,-0.287901
5.300000,-0.439033,-0.276901
5.400000,-0.445739,-0.264891
5.500000,-0.452952,-0.253460
5.600000,-0.460847,-0.242502
5.700000,-0.469162,-0.231066
5.800000,-0.477151,-0.220182
5.900000,-0.484844,-0.208990
6.000000,-0.492255,-0.196801
6.100000,-0.499297,-0.184728
6.200000,-0.506139,-0.172915
6.300000,-0.511718,-0.160248
6.400000,-0.517107,-0.148052
6.500000,-0.521384,-0.134906
6.600000,-0.524923,-0.122134
6.700000,-0.528189,-0.108805
6.800000,-0.531116,-0.095548
6.900000,-0.532417,-0.081509
