timestep,x_c,y_c,radius,p_current,q_current,beta_current,p_error,q_error,beta_error,vp,vq,vbeta,vx_c,vy_c,jacobian_cond
0,0.492499999999042,0.5009852813733798,0.7025258017694588,0.33000000000000007,0.33,60.00000001518812,-5.551115123125783e-17,0.0,-1.5188128214830185e-08,-2.7755575615628914e-17,0.0,-2.6508284456383536e-12,-0.2500000000317645,0.03284271244596344,10.674428169842715
1,0.4797900305050448,0.5026451710149834,0.6948745507764073,0.33,0.3299999999999963,60.00000001519381,0.0,3.7192471324942744e-15,-1.519381504660064e-08,0.0,1.8596235662471372e-15,-2.6518209850223684e-12,-0.24866564977738892,0.032339756007888465,10.674428169325367
2,0.463498855213706,0.504750402375203,0.6852767014004966,0.32999999999999996,0.32999999999998997,60.00000001520348,5.551115123125783e-17,1.0047518372857667e-14,-1.520348393283229e-08,2.7755575615628914e-17,5.023759186428833e-15,-2.6535085240197987e-12,-0.24647322151786244,0.03144362036986624,10.674428169325564
3,0.44478136815723657,0.5071303992167592,0.6745455561113517,0.32999999999999996,0.32999999999998164,60.000000015215925,5.551115123125783e-17,1.837419105754634e-14,-1.5215926262746174e-08,2.7755575615628914e-17,9.18709552877317e-15,-2.6556801202559656e-12,-0.24378881175091058,0.030211162980056758,10.674428168800139
4,0.42445281970923476,0.5096565794516033,0.6632571334990891,0.32999999999999996,0.3299999999999719,60.00000001523027,5.551115123125783e-17,2.808864252301646e-14,-1.523027692546894e-08,2.7755575615628914e-17,1.404432126150823e-14,-2.6581847833995197e-12,-0.24087691694894708,0.0286727481917977,10.674428169572955
5,0.40308526768287783,0.512230258378958,0.6518109930201785,0.3299999999999999,0.329999999999961,60.00000001524601,1.1102230246251565e-16,3.902433931557425e-14,-1.524601431003282e-08,5.551115123125783e-17,1.9512169657787126e-14,-2.6609314751624425e-12,-0.2379189370916962,0.026845092098764234,10.674428169167271
6,0.381077009245018,0.5147739712422452,0.640477890675111,0.32999999999999996,0.3299999999999493,60.00000001526265,5.551115123125783e-17,5.0737192225369654e-14,-1.5262654972126235e-08,2.7755575615628914e-17,2.5368596112684827e-14,-2.663835818594862e-12,-0.2350324006468454,0.02473792047127568,10.67442816932676
7,0.3587025994077166,0.5172252970263992,0.6294359083384897,0.32999999999999985,0.32999999999993673,60.00000001527995,1.6653345369377348e-16,6.328271240363392e-14,-1.5279957189593398e-08,8.326672684688674e-17,3.164135620181696e-14,-2.6668556252218424e-12,-0.23228763102649524,0.022357559328408938,10.674428169392543
8,0.3361488805445221,0.5195324921976952,0.6187972853370347,0.3299999999999999,0.3299999999999235,60.000000015297665,1.1102230246251565e-16,7.649436639667329e-14,-1.5297666518059788e-08,5.551115123125783e-17,3.824718319833664e-14,-2.669946486122399e-12,-0.22972106590262859,0.01970890407958578,10.674428169056824
9,0.31354091469222173,0.5216514237214445,0.6086280580589799,0.3299999999999999,0.32999999999990964,60.00000001531571,1.1102230246251565e-16,9.037215420448774e-14,-1.5315719346431773e-08,5.551115123125783e-17,4.518607710224387e-14,-2.6730972990662848e-12,-0.22734542160198917,0.01679649679472056,10.674428169122601
