timestep,x_c,y_c,radius,p_current,q_current,beta_current,p_error,q_error,beta_error,vp,vq,vbeta,vx_c,vy_c,jacobian_cond
0,0.4915360478971104,0.49973503886541976,0.7009584834012161,0.33000000000000007,0.33,60.00000001518812,-5.551115123125783e-17,0.0,-1.5188128214830185e-08,-2.7755575615628914e-17,0.0,-2.6508284456383536e-12,-0.2821317367627991,-0.008832037819333144,10.674428169842715
1,0.47727997044253107,0.49931121721826055,0.690729948551244,0.3300000000000001,0.32999999999999585,60.00000001519395,-1.1102230246251565e-16,4.163336342344337e-15,-1.5193954991006624e-08,-5.551115123125783e-17,2.0816681711721685e-15,-2.6518454099289102e-12,-0.27771036608503363,-0.0079449617650936,10.67442816864871
2,0.4591778683314584,0.49882201979288027,0.6779879956132489,0.3300000000000002,0.3299999999999887,60.000000015203824,-1.6653345369377348e-16,1.1324274851176597e-14,-1.5203827432737886e-08,-8.326672684688674e-17,5.662137425588298e-15,-2.6535684760631285e-12,-0.2707615964287259,-0.006417409078954911,10.674428169796984
3,0.43862338016359054,0.4983463747661629,0.6638822025545726,0.3300000000000001,0.32999999999997937,60.000000015216536,-1.1102230246251565e-16,2.0650148258027912e-14,-1.5216536929245016e-08,-5.551115123125783e-17,1.0325074129013956e-14,-2.6557867016663295e-12,-0.26276722300372374,-0.004440227631700849,10.6744281698433
4,0.4165946728723247,0.49794918897886414,0.6492337916885625,0.3300000000000002,0.32999999999996865,60.00000001523119,-1.6653345369377348e-16,3.136380044566067e-14,-1.52311929252172e-08,-8.326672684688674e-17,1.5681900222830336e-14,-2.658344655515066e-12,-0.2546855191251057,-0.0021411422865491164,10.674428169732119
5,0.39376370114374754,0.49768453921686234,0.6346178006595176,0.33000000000000024,0.32999999999995694,60.00000001524714,-2.220446049250313e-16,4.3076653355456074e-14,-1.524714658749942e-08,-1.1102230246251565e-16,2.1538326677728037e-14,-2.6611290948608257e-12,-0.24702922082287596,0.0004460096369083705,10.674428169732424
6,0.3705814375021667,0.49759916986039504,0.6204317332849172,0.3300000000000003,0.32999999999994434,60.000000015264014,-2.7755575615628914e-16,5.56776846849516e-14,-1.5264016249529903e-08,-1.3877787807814457e-16,2.78388423424758e-14,-2.6640734063221316e-12,-0.24001944771906636,0.0033295158977968142,10.674428169056108
7,0.3473420010721184,0.4977330891591088,0.6069470271388211,0.3300000000000003,0.3299999999999311,60.00000001528148,-2.7755575615628914e-16,6.888933867799096e-14,-1.52814838558405e-08,-1.3877787807814457e-16,3.444466933899548e-14,-2.6671220787477522e-12,-0.23372839603123413,0.006455928274687703,10.674428168650463
8,0.3242290847152041,0.4981157215148729,0.5943431428018173,0.3300000000000003,0.32999999999991725,60.00000001529936,-2.7755575615628914e-16,8.276712648580542e-14,-1.5299358573150325e-08,-1.3877787807814457e-16,4.138356324290271e-14,-2.670241805446949e-12,-0.22817702852919677,0.009629628222139808,10.674428168716238
9,0.30134881068403035,0.4987593469891409,0.5827280599985843,0.3300000000000003,0.329999999999903,60.00000001531748,-2.7755575615628914e-16,9.703349235223868e-14,-1.531748773483467e-08,-1.3877787807814457e-16,4.851674617611934e-14,-2.673405941067131e-12,-0.2233744193776427,0.01252609417442166,10.674428169057174
10,0.2787529976310324,0.4996532898452493,0.5721508924588575,0.33000000000000035,0.32999999999988816,60.00000001533578,-3.3306690738754696e-16,1.1185496973098452e-13,-1.5335782285362444e-08,-1.6653345369377348e-16,5.592748486549226e-14,-2.6765989424859526e-12,-0.2193207077057296,0.014780167470683905,10.674428170251664
11,0.25645617270284593,0.5007619658650883,0.5626120465955735,0.33000000000000035,0.3299999999998728,60.00000001535416,-3.3306690738754696e-16,1.2723155862204294e-13,-1.5354165891421305e-08,-1.6653345369377348e-16,6.361577931102147e-14,-2.6798074870271195e-12,-0.21599185970278822,0.016097200685417673,10.674428169799954
12,0.23444864804503363,0.5020283738050555,0.5540745948656124,0.3300000000000004,0.3299999999998569,60.00000001537262,-3.885780586188048e-16,1.4310774787418268e-13,-1.5372625830792518e-08,-1.942890293094024e-16,7.155387393709134e-14,-2.6830293542445817e-12,-0.21332490693591616,0.016344490869316677,10.674428169394313
13,0.2127068922775123,0.503382489265588,0.5464779524569835,0.3300000000000004,0.3299999999998404,60.000000015391116,-3.885780586188048e-16,1.5959455978986625e-13,-1.539112393681991e-08,-1.942890293094024e-16,7.979727989493313e-14,-2.6862578828001915e-12,-0.21121628356828426,0.015587663418499459,10.674428169576073
14,0.1912014451536792,0.5047520587541693,0.5397523816023675,0.3300000000000004,0.3299999999998233,60.00000001540964,-3.885780586188048e-16,1.7669199436909366e-13,-1.5409647487284754e-08,-1.942890293094024e-16,8.834599718454683e-14,-2.6894908522479e-12,-0.2095406028854643,0.014056288873599367,10.67442816905892
15,0.16990221636314087,0.5060723422477245,0.5338314141310958,0.33000000000000046,0.32999999999980556,60.00000001542816,-4.440892098500626e-16,1.9445556276309617e-13,-1.5428158315530872e-08,-2.220446049250313e-16,9.722778138154808e-14,-2.6927216012495593e-12,-0.20818052679503296,0.012052828384936001,10.674428170524058
16,0.14878120918383833,0.507291987506812,0.5286596341643806,0.33000000000000046,0.329999999999787,60.000000015446716,-4.440892098500626e-16,2.1299628727433628e-13,-1.5446720032651892e-08,-2.220446049250313e-16,1.0649814363716814e-13,-2.6959612320354155e-12,-0.20705156753072,0.009848227119951307,10.6744281691711
17,0.12781324093621874,0.5083738921528681,0.5241948481063848,0.3300000000000005,0.3299999999997678,60.000000015465226,-4.996003610813204e-16,2.322031456003515e-13,-1.546523086089801e-08,-2.498001805406602e-16,1.1610157280017575e-13,-2.6991919810370746e-12,-0.2061087740701227,0.0076050988231495115,10.674428169396
18,0.10697553466741307,0.5092913597943541,0.5204050866186467,0.3300000000000005,0.32999999999974783,60.000000015483785,-4.996003610813204e-16,2.521871600436043e-13,-1.5483792578019033e-08,-2.498001805406602e-16,1.2609358002180215e-13,-2.702431611822931e-12,-0.20533761651559515,0.005337812974894281,10.674428169577736
19,0.08624704750778095,0.5100205397880003,0.5172615433312752,0.3300000000000005,0.3299999999997269,60.000000015502366,-4.996003610813204e-16,2.731148640577885e-13,-1.550236701735878e-08,-2.498001805406602e-16,1.3655743202889425e-13,-2.7056734630548363e-12,-0.2047364257154686,0.002898421486854791,10.674428169060562
20,0.06560825465741459,0.510530042407798,0.5147284403256732,0.3300000000000005,0.32999999999970514,60.00000001552094,-4.996003610813204e-16,2.948752353404416e-13,-1.5520941456698524e-08,-2.498001805406602e-16,1.474376176702208e-13,-2.708915314286742e-12,-0.2042950612873263,-3.077919181897204e-05,10.674428169578366
