config_name,robot_type,series,desired_radius,analytical_avg_radius,analytical_std_radius,analytical_radius_error,analytical_avg_x_est,analytical_avg_y_est,analytical_std_x_est,analytical_std_y_est,analytical_avg_center_error,analytical_std_center_error,analytical_rmse,nn_avg_radius,nn_std_radius,nn_radius_error,nn_avg_x_est,nn_avg_y_est,nn_std_x_est,nn_std_y_est,nn_avg_center_error,nn_std_center_error,nn_rmse,rbf_avg_radius,rbf_std_radius,rbf_radius_error,rbf_avg_x_est,rbf_avg_y_est,rbf_std_x_est,rbf_std_y_est,rbf_avg_center_error,rbf_std_center_error,rbf_rmse,real_avg_radius,real_std_radius,real_radius_error,real_avg_x_est,real_avg_y_est,real_std_x_est,real_std_y_est,real_avg_center_error,real_std_center_error,real_rmse,nn_vs_analytical,rbf_vs_analytical,analytical_vs_real,nn_vs_real,rbf_vs_real
orbit001,3-robot,0XX,0.010000,0.155948,0.000003,0.145948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.155948,0.160097,0.014721,0.150097,0.012747,-0.007607,0.013082,0.016955,0.023159,0.011943,0.160773,0.094081,0.026314,0.084081,0.026113,-0.023617,0.073667,0.055815,0.062649,0.076530,0.097692,0.274361,0.019522,0.264361,-0.020166,-0.014346,0.143509,0.152443,0.209838,0.020357,0.275055,0.004149,-0.061867,-0.118413,-0.114264,-0.180280
orbit010,3-robot,0XX,0.100000,0.208803,0.000007,0.108803,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.208803,0.208847,0.013212,0.108847,0.007952,-0.008767,0.020304,0.020365,0.027687,0.014159,0.209265,0.224564,0.027719,0.124564,0.018253,-0.011391,0.046911,0.066035,0.060883,0.057597,0.226268,0.292892,0.010732,0.192892,0.002618,0.001272,0.167708,0.166840,0.236479,0.006912,0.293089,0.000044,0.015761,-0.084089,-0.084045,-0.068328
orbit020,3-robot,0XX,0.200000,0.280816,0.000012,0.080816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280816,0.304165,0.014113,0.104165,0.008533,-0.012082,0.020989,0.029925,0.034122,0.019762,0.304493,0.293315,0.020789,0.093315,0.011040,-0.007374,0.058013,0.085094,0.078232,0.068282,0.294051,0.348840,0.014232,0.148840,-0.002910,-0.016587,0.206686,0.211111,0.295578,0.014292,0.349130,0.023349,0.012499,-0.068024,-0.044675,-0.055525
orbit030,3-robot,0XX,0.300000,0.362561,0.000014,0.062561,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.362561,0.394045,0.018327,0.094045,0.016598,-0.008612,0.034303,0.044191,0.051977,0.027884,0.394471,0.348344,0.025328,0.048344,0.020615,0.001038,0.150321,0.288838,0.121999,0.302599,0.349263,0.390706,0.012508,0.090706,0.050299,0.001488,0.235547,0.244960,0.343381,0.010456,0.390906,0.031483,-0.014218,-0.028145,0.003339,-0.042362
orbit040,3-robot,0XX,0.400000,0.450352,0.000015,0.050352,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.450352,0.467475,0.025826,0.067475,0.022512,-0.001371,0.044308,0.063816,0.064434,0.048915,0.468187,0.476708,0.050990,0.076708,0.030826,0.021894,0.108647,0.120924,0.127996,0.107115,0.479427,0.436909,0.017701,0.036909,0.025783,-0.008128,0.289909,0.269376,0.396457,0.012793,0.437267,0.017123,0.026357,0.013443,0.030566,0.039799
orbit050,3-robot,0XX,0.500000,0.541843,0.000015,0.041843,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.541843,0.526647,0.038488,0.026647,0.031641,-0.000778,0.060861,0.095470,0.086178,0.079961,0.528051,0.556012,0.061412,0.056012,0.046784,-0.000758,0.307204,0.292560,0.216209,0.367979,0.559393,0.467997,0.023118,-0.032003,0.032028,0.017130,0.305458,0.296527,0.426819,0.019431,0.468568,-0.015196,0.014169,0.073846,0.058650,0.088015
orbit060,3-robot,0XX,0.600000,0.635663,0.000014,0.035663,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.635663,0.581459,0.050472,-0.018541,0.036415,-0.006340,0.079280,0.113584,0.099034,0.103658,0.583646,0.631763,0.077218,0.031763,0.049366,-0.040231,2.008099,3.686343,0.792365,4.122839,0.636465,0.534593,0.037636,-0.065407,0.054016,0.008369,0.338850,0.365598,0.500305,0.034117,0.535916,-0.054204,-0.003900,0.101071,0.046867,0.097171
orbit070,3-robot,0XX,0.700000,0.731010,0.000013,0.031010,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.731010,0.633212,0.060151,-0.066788,0.026488,0.007678,0.101807,0.166730,0.130448,0.148012,0.636063,0.828808,0.010647,0.128808,-14.836562,7.449228,46.859276,20.762602,25.525068,47.444313,0.828876,0.577242,0.038644,-0.122758,-0.007458,-0.043551,0.391050,0.370068,0.539451,0.028557,0.578534,-0.097797,0.097798,0.153768,0.055971,0.251566
orbit101,4-robot-square,1XX,0.010000,0.155948,0.000003,0.145948,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.155948,0.152089,0.015679,0.142089,0.015496,-0.009107,0.016178,0.022630,0.029434,0.015183,0.152895,0.154571,0.032441,0.144571,0.033611,-0.011972,0.041393,0.046551,0.054215,0.047055,0.157939,0.273839,0.010623,0.263839,0.008411,0.007055,0.149780,0.140228,0.205346,0.007177,0.274045,-0.003859,-0.001378,-0.117890,-0.121749,-0.119268
orbit110,4-robot-square,1XX,0.100000,0.208803,0.000007,0.108803,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.208803,0.214036,0.018915,0.114036,0.014031,-0.021021,0.012499,0.013559,0.028620,0.012640,0.214870,0.234482,0.031013,0.134482,0.061610,-0.031487,0.456546,0.583824,0.129158,0.733069,0.236524,0.313292,0.019738,0.213292,0.002985,-0.022016,0.179231,0.179500,0.254178,0.015198,0.313913,0.005233,0.025679,-0.104489,-0.099256,-0.078810
