config_name,robot_type,series,radius_m,control_primitive,avg_dist_origin,std_dist_origin,avg_dist_center,std_dist_center,avg_x_est,std_x_est,avg_y_est,std_y_est,rmse,real_avg_dist,real_center_x,real_center_y
orbit001,3-robot,0XX,0.01,critical_point_orbiter_plane_fitting,0.1559484096715766,3.3428640764283004e-06,0.15589726877487933,0.002317349495857347,0.0017763564529742198,0.0,-0.0027244316595736464,0.0,0.15594840970740492,0.2743614263973251,-0.006994109780439119,-0.008418039920159676
orbit010,3-robot,0XX,0.1,critical_point_orbiter_plane_fitting,0.20880295844815489,7.020566070915801e-06,0.20857721332314008,0.005570532457083708,0.0026523416031387923,0.0,0.007493720071393896,0.0,0.20880295856618092,0.29289226294530174,0.012318938123752484,0.0081236866267465
orbit020,3-robot,0XX,0.2,critical_point_orbiter_plane_fitting,0.2808160592506921,1.1776660791486355e-05,0.28033310604777434,0.00941288845466369,-0.00025580634440173,0.0,-0.013503370669558801,0.0,0.28081605949763266,0.34884026220334263,0.017506788423153688,0.0007431317365269417
orbit030,3-robot,0XX,0.3,critical_point_orbiter_plane_fitting,0.3625614995909325,1.4470760309833806e-05,0.36128311542257985,0.017648048293853188,-0.01149843630349509,0.0,0.021947301874622946,0.0,0.3625614998797151,0.3907061817560579,0.036876928143712566,-0.0028463912175648682
orbit040,3-robot,0XX,0.4,critical_point_orbiter_plane_fitting,0.4503515918458352,1.50848717644914e-05,0.4476603151459882,0.028149309815984885,0.007812063306413984,0.0,0.03953968604839758,0.0,0.45035159209847486,0.43690890299734975,0.044197876247505,-0.018920105788423146
orbit050,3-robot,0XX,0.5,critical_point_orbiter_plane_fitting,0.5418427418172032,1.4588736581019331e-05,0.5416648961381485,0.007955064895633893,-0.0033963409578599197,0.0,0.010857217648576974,0.0,0.5418427420135989,0.46799705657396,0.053414381237524955,0.03717187824351298
orbit060,3-robot,0XX,0.6,critical_point_orbiter_plane_fitting,0.6356633501637514,1.3661582526034222e-05,0.6279956986639322,0.056226828499164834,0.08073543439516263,0.0,-0.003103349415138517,0.0,0.6356633503105577,0.5345925211208575,0.010284730538922156,0.0029957664670658777
orbit070,3-robot,0XX,0.7,critical_point_orbiter_plane_fitting,0.7310096900814922,1.2633470915499818e-05,0.7276601348128261,0.041105386132197975,0.005418914049407064,0.0,-0.05627502073097247,0.0,0.7310096901906592,0.577241665748625,0.016367990019960085,-0.00577429740518963
orbit101,4-robot-square,1XX,0.01,center_orbiter_quad,0.15594840964815337,3.3428624188007884e-06,0.15589726875088059,0.002317349507785323,0.0017763564969044436,0.0,-0.002724431653277113,0.0,0.1559484096839817,0.273838527345695,0.004995025948103792,-0.009961658682634728
orbit110,4-robot-square,1XX,0.1,center_orbiter_quad,0.20880295843174718,7.0205644310377095e-06,0.20857721330685372,0.005570532450361326,0.002652341596731113,0.0,0.0074937200747843295,0.0,0.20880295854977307,0.3132916905475874,0.0056303333333333335,-0.03629436526946108
orbit120,4-robot-square,1XX,0.2,center_orbiter_quad,0.28081605924244285,1.1776663129858156e-05,0.28033310603981615,0.009412888451505277,-0.00025580632065932464,0.0,-0.01350337066587257,0.0,0.2808160594893835,0.3369129976982478,-0.011587283433133738,-0.033653355289421163
orbit130,4-robot-square,1XX,0.3,center_orbiter_quad,0.36256149958537026,1.447076147746944e-05,0.361283115417417,0.017648048294614686,-0.011498436300044256,0.0,0.021947301868920573,0.0,0.36256149987415287,0.4099297238600289,0.019223950099800408,-0.06033221756487026
orbit140,4-robot-square,1XX,0.4,center_orbiter_quad,0.4503515918425347,1.5084869622460756e-05,0.4476603151430662,0.02814930981516588,0.007812063308813926,0.0,0.039539686043996845,0.0,0.45035159209517434,0.45418857852094485,0.023888191616766464,-0.08576059481037925
orbit150,4-robot-square,1XX,0.5,center_orbiter_quad,0.5418427418148829,1.4588735750670207e-05,0.5416648961360102,0.00795506489434465,-0.00339634095310722,0.0,0.010857217641886244,0.0,0.5418427420112786,0.4627909876960804,0.07078174850299401,-0.06447813173652692
orbit160,4-robot-square,1XX,0.6,center_orbiter_quad,0.6356633501623584,1.3661581840662929e-05,0.6279956986622146,0.05622682849845042,0.08073543439796839,0.0,-0.003103349417333817,0.0,0.6356633503091647,0.4980622234736338,0.08292473253493013,0.011725209580838324
orbit201,4-robot-advanced,2XX,0.01,center_orbiter_quad_advanced,0.06039232250743433,0.0008543434215431307,0.0013180203569558842,0.0009437557485908374,0.012213748873167318,0.0,0.05912832659912462,0.0,0.06039836521400138,0.12147302134567267,-0.002032499001996009,-0.004878413173652695
orbit210,4-robot-advanced,2XX,0.1,center_orbiter_quad_advanced,0.11116824647824515,0.0026293391007198258,0.0021473065448519854,0.0015228821821116549,-0.09154715847027206,0.0,0.0630672667049649,0.0,0.11119933654997424,0.12573815408743122,-0.009740568862275449,-0.005222808383233533
orbit220,4-robot-advanced,2XX,0.2,center_orbiter_quad_advanced,0.20269278949147929,0.0022558588575162073,0.20217302767069317,0.008573818263107342,-0.011907481256025627,0.0,0.00047352298350695587,0.0,0.2027053423346858,0.329083714600111,0.02427146107784431,0.005088081836327343
orbit230,4-robot-advanced,2XX,0.3,center_orbiter_quad_advanced,0.34732607927076875,0.00037265986303196876,0.3472010906448919,0.005480842210131024,0.007009271372209942,0.0,0.0027887910416082976,0.0,0.3473262791914511,0.4387138164145949,0.0022652674650698547,-0.01627288223552895
orbit233,4-robot-advanced,2XX,0.33,center_orbiter_quad_advanced,0.37923467768023195,0.00030017605846018687,0.37904386905893805,0.006866246082966427,-0.008741253802563765,0.0,0.004606662177044555,0.0,0.3792347964795629,0.4797452348019616,0.15825992415169662,0.01852252295409183
orbit240,4-robot-advanced,2XX,0.4,center_orbiter_quad_advanced,0.4498450537989693,0.00021560580506043846,0.4471161477607191,0.028381858544207262,0.02280623031491292,0.0,0.033497989331828494,0.0,0.4498451054677162,0.5102683473992534,0.03601092015968064,-0.00886962075848303
orbit250,4-robot-advanced,2XX,0.5,center_orbiter_quad_advanced,0.541835694581205,4.1788496603377514e-05,0.5416578591414799,0.007950364064843929,-0.0007823791231662583,0.0,0.011351867378901509,0.0,0.5418356961926515,0.5921537530237362,0.11884463473053895,0.02075058483033935
