Environment,Primitive,NumRobots,SuccessfulTrials,FailedTrials,SuccessRate,AvgX,AvgY,StdX,StdY,RadialStd,RMSE
sink1,critical_point_plane_fitting,3,100,0,100.00,-0.000704,0.001939,0.011281,0.014447,0.018329,0.018445
sink1,four_planar_center_finder,4,100,0,100.00,-0.000645,0.001758,0.010071,0.010345,0.014438,0.014559
sink1,dual_jacobian_center_finder_advanced,4,100,0,100.00,0.003252,-0.000480,0.005930,0.007018,0.009188,0.009758
source1,critical_point_plane_fitting,3,100,0,100.00,0.001343,-0.000096,0.009220,0.012249,0.015332,0.015391
source1,four_planar_center_finder,4,100,0,100.00,0.000145,0.000531,0.008873,0.011653,0.014646,0.014657
source1,dual_jacobian_center_finder_advanced,4,100,0,100.00,0.002223,0.001500,0.005674,0.006075,0.008312,0.008734
vortex1,critical_point_plane_fitting,3,100,0,100.00,-0.001328,0.000053,0.009220,0.008627,0.012627,0.012697
vortex1,four_planar_center_finder,4,100,0,100.00,-0.000765,0.000456,0.009380,0.009582,0.013409,0.013439
vortex1,dual_jacobian_center_finder_advanced,4,100,0,100.00,0.002571,-0.000472,0.005679,0.007228,0.009192,0.009557
sinking_vortex1,critical_point_plane_fitting,3,100,0,100.00,-0.000277,-0.000500,0.010354,0.014053,0.017455,0.017465
sinking_vortex1,four_planar_center_finder,4,100,0,100.00,0.000004,-0.000997,0.010765,0.009257,0.014197,0.014232
sinking_vortex1,dual_jacobian_center_finder_advanced,4,100,0,100.00,0.002946,0.000544,0.006533,0.006622,0.009303,0.009773
spewing_vortex1,critical_point_plane_fitting,3,100,0,100.00,-0.000183,-0.000016,0.010403,0.011775,0.015713,0.015714
spewing_vortex1,four_planar_center_finder,4,100,0,100.00,-0.000048,-0.001243,0.009624,0.009862,0.013780,0.013836
spewing_vortex1,dual_jacobian_center_finder_advanced,4,100,0,100.00,0.002763,-0.000678,0.005618,0.007261,0.009181,0.009612
saddle1,critical_point_plane_fitting,3,100,0,100.00,0.000924,0.001291,0.009154,0.008585,0.012550,0.012650
saddle1,four_planar_center_finder,4,100,0,100.00,-0.000180,0.000125,0.009843,0.011946,0.015478,0.015480
saddle1,dual_jacobian_center_finder_advanced,4,100,0,100.00,0.003598,0.000171,0.006403,0.006983,0.009474,0.010136
