time_s,x_m,y_m
0.000000,0.351717,0.074235
0.100000,0.351717,0.074235
0.200000,0.352172,0.071425
0.300000,0.353895,0.053458
0.400000,0.355955,0.037940
0.500000,0.356920,0.024070
0.600000,0.358585,0.010015
0.700000,0.358799,-0.005933
0.800000,0.359422,-0.018496
0.900000,0.358774,-0.031413
1.000000,0.359147,-0.046908
1.100000,0.361617,-0.059750
1.200000,0.358784,-0.073731
1.300000,0.354382,-0.088103
1.400000,0.351741,-0.100616
1.500000,0.350146,-0.114599
1.600000,0.347167,-0.129355
1.700000,0.344031,-0.142147
1.800000,0.340424,-0.155556
1.900000,0.335058,-0.170267
2.000000,0.329282,-0.181980
2.100000,0.322251,-0.194738
2.200000,0.314365,-0.208242
2.300000,0.307436,-0.218971
2.400000,0.299756,-0.230461
2.500000,0.289293,-0.242244
2.600000,0.279874,-0.250431
2.700000,0.269782,-0.259933
2.800000,0.258842,-0.270134
2.900000,0.249474,-0.278548
3.000000,0.238408,-0.287053
3.100000,0.226744,-0.296428
3.200000,0.215516,-0.302882
3.300000,0.204080,-0.310669
3.400000,0.191137,-0.318171
3.500000,0.179266,-0.322569
3.600000,0.168941,-0.331722
3.700000,0.156883,-0.341108
3.800000,0.146640,-0.347545
3.900000,0.134570,-0.354817
4.000000,0.120053,-0.361533
4.100000,0.108400,-0.366196
4.200000,0.095350,-0.370268
4.300000,0.080347,-0.373865
4.400000,0.067907,-0.375493
4.500000,0.053900,-0.376793
4.600000,0.037848,-0.376734
4.700000,0.024906,-0.376737
4.800000,0.010038,-0.376135
4.900000,-0.005518,-0.375328
5.000000,-0.018123,-0.373873
5.100000,-0.032279,-0.372589
5.200000,-0.046839,-0.370229
5.300000,-0.059034,-0.368260
5.400000,-0.072481,-0.365247
5.500000,-0.087846,-0.360573
5.600000,-0.100128,-0.356420
5.700000,-0.113208,-0.351195
5.800000,-0.126692,-0.345854
5.900000,-0.133826,-0.341527
6.000000,-0.146241,-0.333915
6.100000,-0.161260,-0.325991
6.200000,-0.172410,-0.320294
6.300000,-0.184284,-0.312710
6.400000,-0.196638,-0.304294
6.500000,-0.206731,-0.296927
6.600000,-0.218835,-0.289500
6.700000,-0.230936,-0.279854
6.800000,-0.240275,-0.272121
6.900000,-0.251036,-0.262656
7.000000,-0.263366,-0.252277
7.100000,-0.272933,-0.243313
7.200000,-0.282175,-0.233037
7.300000,-0.291736,-0.220502
7.400000,-0.298524,-0.209826
7.500000,-0.306548,-0.196971
7.600000,-0.314719,-0.184192
7.700000,-0.321468,-0.172743
7.800000,-0.328945,-0.160534
7.900000,-0.335654,-0.147464
8.000000,-0.340674,-0.133965
8.100000,-0.346258,-0.120832
8.200000,-0.351403,-0.105852
8.300000,-0.355588,-0.093391
8.400000,-0.359897,-0.079513
8.500000,-0.363287,-0.065317
8.600000,-0.365593,-0.050711
8.700000,-0.366825,-0.036900
8.800000,-0.366132,-0.021117
8.900000,-0.363940,-0.007874
9.000000,-0.363397,0.006635
9.100000,-0.358652,0.020236
9.200000,-0.353023,0.033818
9.300000,-0.349300,0.047772
9.400000,-0.348636,0.063534
9.500000,-0.344494,0.074310
9.600000,-0.341359,0.087254
9.700000,-0.337196,0.099300
9.800000,-0.334083,0.112863
9.900000,-0.331472,0.126359
10.000000,-0.329894,0.141119
10.100000,-0.326036,0.155055
10.200000,-0.322419,0.169418
10.300000,-0.318072,0.182301
10.400000,-0.312384,0.195756
10.500000,-0.306815,0.208785
10.600000,-0.301739,0.222284
10.700000,-0.295260,0.234804
10.800000,-0.288928,0.247248
10.900000,-0.278487,0.257197
11.000000,-0.270768,0.268765
11.100000,-0.260011,0.278748
11.200000,-0.248975,0.287309
11.300000,-0.237611,0.294073
11.400000,-0.230143,0.299650
11.500000,-0.219114,0.305610
11.600000,-0.211790,0.310840
11.700000,-0.199462,0.318704
11.800000,-0.186821,0.326993
11.900000,-0.175422,0.333738
12.000000,-0.167028,0.338104
12.100000,-0.153881,0.344715
12.200000,-0.140312,0.350931
12.300000,-0.126942,0.356661
12.400000,-0.112961,0.363139
12.500000,-0.100681,0.369289
12.600000,-0.087810,0.374651
12.700000,-0.074094,0.379921
12.800000,-0.061138,0.382126
12.900000,-0.051723,0.383423
13.000000,-0.037672,0.385563
13.100000,-0.022782,0.387805
13.200000,-0.007959,0.389660
13.300000,0.005910,0.390721
13.400000,0.020629,0.391020
13.500000,0.034673,0.389739
13.600000,0.049111,0.388452
13.700000,0.063445,0.386048
13.800000,0.077772,0.383505
13.900000,0.093772,0.381766
14.000000,0.106185,0.379967
14.100000,0.119925,0.375290
14.200000,0.133365,0.370123
14.300000,0.146576,0.365373
14.400000,0.160936,0.362261
14.500000,0.174138,0.356972
14.600000,0.187590,0.351394
14.700000,0.200034,0.344380
14.800000,0.211786,0.336382
14.900000,0.225162,0.330453
15.000000,0.238080,0.323585
15.100000,0.249381,0.315271
15.200000,0.260101,0.306606
15.300000,0.270345,0.297206
15.400000,0.282995,0.289443
15.500000,0.294885,0.281279
15.600000,0.306222,0.272489
15.700000,0.316902,0.263324
15.800000,0.325393,0.251334
15.900000,0.333396,0.239497
16.000000,0.342594,0.228774
16.100000,0.350998,0.217320
16.200000,0.358534,0.205023
16.300000,0.366161,0.192414
16.400000,0.371437,0.181150
16.500000,0.374649,0.172879
16.600000,0.378209,0.158562
16.700000,0.381470,0.143622
16.800000,0.383521,0.129101
16.900000,0.385902,0.115140
17.000000,0.387692,0.100360
17.100000,0.389916,0.086296
17.200000,0.391530,0.071913
17.300000,0.392736,0.058312
17.400000,0.392072,0.043948
17.500000,0.390189,0.030184
17.600000,0.388368,0.016674
17.700000,0.388522,0.002485
17.800000,0.388596,-0.011584
17.900000,0.388091,-0.025316
18.000000,0.387285,-0.038933
18.100000,0.384028,-0.052305
18.200000,0.380758,-0.065622
18.300000,0.378184,-0.079628
18.400000,0.374789,-0.092987
18.500000,0.370078,-0.106270
18.600000,0.365411,-0.119188
18.700000,0.361509,-0.132840
18.800000,0.356978,-0.146274
18.900000,0.353452,-0.159420
19.000000,0.349364,-0.173203
19.100000,0.344213,-0.186053
19.200000,0.337810,-0.198458
19.300000,0.330830,-0.210425
19.400000,0.324168,-0.221405
19.500000,0.312880,-0.232420
19.600000,0.303266,-0.242998
19.700000,0.293697,-0.253267
19.800000,0.283362,-0.262387
19.900000,0.273086,-0.271236
20.000000,0.264808,-0.279738
20.100000,0.253897,-0.290470
20.200000,0.243403,-0.298173
20.300000,0.232279,-0.306581
20.400000,0.221789,-0.315098
20.500000,0.210051,-0.323008
20.600000,0.200055,-0.329196
20.700000,0.188749,-0.336245
20.800000,0.177249,-0.344519
20.900000,0.167192,-0.351787
21.000000,0.155671,-0.359363
21.100000,0.142194,-0.366678
21.200000,0.131283,-0.373196
21.300000,0.118659,-0.380341
21.400000,0.103618,-0.384986
21.500000,0.091252,-0.387647
21.600000,0.078715,-0.390222
21.700000,0.071132,-0.390756
21.800000,0.062074,-0.391374
21.900000,0.048379,-0.390966
22.000000,0.036069,-0.390786
22.100000,0.021363,-0.391522
22.200000,0.008269,-0.391109
22.300000,-0.006659,-0.391117
22.400000,-0.017566,-0.389918
22.500000,-0.026539,-0.388935
22.600000,-0.040619,-0.386663
22.700000,-0.049301,-0.386377
22.800000,-0.062953,-0.384642
22.900000,-0.073014,-0.383211
23.000000,-0.086731,-0.379229
23.100000,-0.101109,-0.374389
23.200000,-0.114107,-0.367809
23.300000,-0.120289,-0.363774
23.400000,-0.130527,-0.356690
23.500000,-0.139515,-0.352895
23.600000,-0.149433,-0.347036
23.700000,-0.157616,-0.342844
23.800000,-0.171369,-0.335503
23.900000,-0.183247,-0.329817
24.000000,-0.195932,-0.322372
24.100000,-0.209288,-0.313829
24.200000,-0.220156,-0.306449
24.300000,-0.230225,-0.296737
24.400000,-0.242148,-0.286720
