time_s,x_m,y_m
0.000000,0.467407,-0.111521
0.100000,0.467338,-0.111514
0.200000,0.466052,-0.118586
0.300000,0.463405,-0.134073
0.400000,0.461607,-0.150246
0.500000,0.460676,-0.162695
0.600000,0.460743,-0.177087
0.700000,0.458439,-0.191406
0.800000,0.454653,-0.206123
0.900000,0.452097,-0.218448
1.000000,0.446346,-0.231841
1.100000,0.438990,-0.244166
1.200000,0.431827,-0.256853
1.300000,0.423926,-0.268247
1.400000,0.418196,-0.280988
1.500000,0.412437,-0.292669
1.600000,0.403343,-0.307263
1.700000,0.393878,-0.316244
1.800000,0.381231,-0.324528
1.900000,0.371884,-0.334754
2.000000,0.362441,-0.345613
2.100000,0.351508,-0.355392
2.200000,0.341096,-0.364075
2.300000,0.330609,-0.373537
2.400000,0.320200,-0.383156
2.500000,0.309316,-0.392864
2.600000,0.299441,-0.402409
2.700000,0.288481,-0.412448
2.800000,0.277095,-0.421515
2.900000,0.265746,-0.429833
3.000000,0.255388,-0.436971
3.100000,0.240894,-0.443845
3.200000,0.226989,-0.448725
3.300000,0.213896,-0.452271
3.400000,0.199365,-0.454308
3.500000,0.186845,-0.457477
3.600000,0.173056,-0.461518
3.700000,0.157066,-0.464298
3.800000,0.144680,-0.467711
3.900000,0.130712,-0.472167
4.000000,0.115859,-0.476569
4.100000,0.103861,-0.479972
4.200000,0.089042,-0.482420
4.300000,0.073311,-0.484588
4.400000,0.060271,-0.485318
4.500000,0.045916,-0.486284
4.600000,0.030287,-0.487598
4.700000,0.017993,-0.488419
4.800000,0.003150,-0.489042
4.900000,-0.012723,-0.489661
5.000000,-0.025990,-0.489183
5.100000,-0.040575,-0.489312
5.200000,-0.056281,-0.489986
5.300000,-0.068266,-0.490097
5.400000,-0.082021,-0.489635
5.500000,-0.097483,-0.487174
5.600000,-0.109977,-0.485874
5.700000,-0.124327,-0.484163
5.800000,-0.140160,-0.480648
5.900000,-0.152863,-0.477121
6.000000,-0.166125,-0.471304
6.100000,-0.179436,-0.463949
6.200000,-0.191549,-0.456142
6.300000,-0.202659,-0.449017
6.400000,-0.214225,-0.437773
6.500000,-0.222688,-0.426869
6.600000,-0.233545,-0.418337
6.700000,-0.246567,-0.408365
6.800000,-0.256797,-0.399894
6.900000,-0.267938,-0.391365
7.000000,-0.279471,-0.382804
7.100000,-0.285229,-0.378583
7.200000,-0.295815,-0.370023
7.300000,-0.308274,-0.362748
7.400000,-0.313393,-0.358047
7.500000,-0.322860,-0.350579
7.600000,-0.327400,-0.346566
7.700000,-0.330894,-0.344325
7.800000,-0.334230,-0.343096
7.900000,-0.339723,-0.337574
8.000000,-0.350255,-0.329685
8.100000,-0.361768,-0.319894
8.200000,-0.372033,-0.308220
8.300000,-0.379766,-0.297738
8.400000,-0.389954,-0.286501
8.500000,-0.401529,-0.276482
8.600000,-0.410414,-0.267371
8.700000,-0.420688,-0.256648
8.800000,-0.432077,-0.246006
8.900000,-0.440743,-0.236141
9.000000,-0.448120,-0.224419
9.100000,-0.457110,-0.211310
9.200000,-0.464002,-0.200757
9.300000,-0.469272,-0.189644
9.400000,-0.473478,-0.181028
9.500000,-0.480372,-0.169172
9.600000,-0.482364,-0.154784
9.700000,-0.488480,-0.139765
9.800000,-0.491604,-0.126975
9.900000,-0.494446,-0.115209
10.000000,-0.493959,-0.108465
10.100000,-0.496412,-0.095594
10.200000,-0.499255,-0.080794
10.300000,-0.499789,-0.066247
10.400000,-0.498997,-0.060103
10.500000,-0.499833,-0.047955
10.600000,-0.499961,-0.038845
10.700000,-0.499488,-0.026341
10.800000,-0.497094,-0.011369
10.900000,-0.495872,0.004107
11.000000,-0.495641,0.017583
11.100000,-0.493223,0.031691
11.200000,-0.491691,0.047301
11.300000,-0.489234,0.060343
11.400000,-0.486488,0.073668
11.500000,-0.486424,0.089264
11.600000,-0.488711,0.101703
11.700000,-0.483519,0.114505
11.800000,-0.480198,0.123815
11.900000,-0.475267,0.136058
12.000000,-0.468064,0.148479
12.100000,-0.456878,0.161945
12.200000,-0.448775,0.171424
12.300000,-0.442316,0.183794
12.400000,-0.436019,0.191432
12.500000,-0.429597,0.200891
12.600000,-0.424152,0.207981
12.700000,-0.416211,0.221163
12.800000,-0.408161,0.232114
12.900000,-0.399782,0.244381
13.000000,-0.391132,0.258352
13.100000,-0.384362,0.269397
13.200000,-0.375430,0.281325
13.300000,-0.365562,0.293503
13.400000,-0.357464,0.303390
13.500000,-0.344548,0.309605
13.600000,-0.330592,0.318089
13.700000,-0.320819,0.326554
13.800000,-0.309809,0.336620
13.900000,-0.297849,0.347292
14.000000,-0.291096,0.357715
14.100000,-0.283218,0.367816
14.200000,-0.275515,0.375405
14.300000,-0.266380,0.384711
14.400000,-0.253859,0.393820
14.500000,-0.242880,0.402800
14.600000,-0.231718,0.412330
14.700000,-0.221124,0.421443
14.800000,-0.209424,0.432049
14.900000,-0.199156,0.439304
15.000000,-0.191846,0.444118
15.100000,-0.179424,0.453651
15.200000,-0.167811,0.461028
15.300000,-0.154926,0.468850
15.400000,-0.140926,0.476304
15.500000,-0.128900,0.481348
15.600000,-0.115329,0.487830
15.700000,-0.101459,0.492822
15.800000,-0.088092,0.499445
15.900000,-0.074241,0.504748
16.000000,-0.059383,0.512015
16.100000,-0.047290,0.517817
16.200000,-0.033126,0.522959
16.300000,-0.017383,0.526909
16.400000,-0.004270,0.528426
16.500000,0.009656,0.529671
16.600000,0.024716,0.530562
16.700000,0.038125,0.529822
16.800000,0.053923,0.530161
16.900000,0.068336,0.530107
17.000000,0.082903,0.530792
17.100000,0.097221,0.530461
17.200000,0.113491,0.529756
17.300000,0.125744,0.528289
17.400000,0.139332,0.524720
17.500000,0.153744,0.523158
17.600000,0.167655,0.519674
17.700000,0.181563,0.515742
17.800000,0.194754,0.512157
17.900000,0.206703,0.504005
18.000000,0.220165,0.497476
18.100000,0.233326,0.490106
18.200000,0.244592,0.483491
18.300000,0.256248,0.478364
18.400000,0.264995,0.472532
18.500000,0.277016,0.467030
18.600000,0.289921,0.459562
18.700000,0.304769,0.453825
18.800000,0.316904,0.449800
18.900000,0.330552,0.444252
19.000000,0.344748,0.437748
19.100000,0.356682,0.431922
19.200000,0.368694,0.425099
19.300000,0.381337,0.416129
19.400000,0.390558,0.407624
19.500000,0.398115,0.395508
19.600000,0.406724,0.384221
19.700000,0.417011,0.374225
19.800000,0.423941,0.361539
19.900000,0.430444,0.349403
20.000000,0.435424,0.335986
20.100000,0.445577,0.325648
20.200000,0.453793,0.314322
20.300000,0.458358,0.301014
20.400000,0.467501,0.290403
20.500000,0.476084,0.279717
20.600000,0.484865,0.269017
20.700000,0.492646,0.258006
20.800000,0.499747,0.245797
20.900000,0.504478,0.232524
21.000000,0.509461,0.219176
21.100000,0.513182,0.205450
21.200000,0.517170,0.191933
21.300000,0.520553,0.179096
21.400000,0.526206,0.164194
21.500000,0.529455,0.152654
21.600000,0.531369,0.138904
21.700000,0.535171,0.125277
21.800000,0.536609,0.111603
21.900000,0.538964,0.097841
22.000000,0.537616,0.083213
22.100000,0.536729,0.069525
22.200000,0.533269,0.055910
