x1,y1,theta1,hue1,sat1,x2,y2,theta2,hue2,sat2,x3,y3,theta3,hue3,sat3
0.425432,0.456954,-0.555489,0.868828,0.269295,0.273860,0.233041,-0.150559,0.883952,0.243220,0.511388,0.239817,-0.312899,0.788036,0.249941
0.425432,0.456954,-0.555489,0.868828,0.269295,0.273860,0.233041,-0.150559,0.883952,0.243220,0.511388,0.239817,-0.312899,0.788036,0.249941
0.424944,0.459795,-0.557517,0.869300,0.269665,0.274502,0.237450,-0.146848,0.884153,0.243016,0.511958,0.244515,-0.304895,0.786887,0.249519
0.422661,0.467417,-0.560552,0.867499,0.274482,0.274947,0.247858,-0.140360,0.909323,0.247763,0.513638,0.255006,-0.300913,0.794595,0.268747
0.421227,0.474470,-0.565235,0.869984,0.269808,0.276410,0.254670,-0.142188,0.909323,0.247763,0.514914,0.262707,-0.294706,0.794595,0.268747
0.420040,0.480214,-0.566148,0.876014,0.259861,0.277091,0.260589,-0.139825,0.908153,0.243305,0.515377,0.269233,-0.295950,0.790597,0.252259
0.418804,0.483576,-0.564060,0.875292,0.257626,0.277710,0.264924,-0.135255,0.908153,0.243305,0.515561,0.273997,-0.294750,0.790597,0.252259
0.417619,0.488313,-0.569977,0.875373,0.256880,0.278279,0.270558,-0.132027,0.894179,0.250154,0.516616,0.279253,-0.288244,0.787472,0.253502
0.417567,0.491337,-0.575581,0.875946,0.257250,0.279729,0.274413,-0.129792,0.894179,0.250154,0.516888,0.283709,-0.281106,0.787088,0.257776
0.417118,0.493950,-0.578911,0.873346,0.261208,0.279541,0.278077,-0.125379,0.894537,0.255355,0.516687,0.287976,-0.273325,0.787999,0.251366
0.416423,0.497346,-0.584865,0.876459,0.261520,0.279992,0.281676,-0.124737,0.889292,0.265581,0.517107,0.291147,-0.261616,0.792432,0.248809
0.415018,0.500337,-0.594303,0.876602,0.256879,0.279872,0.284372,-0.125470,0.889292,0.265581,0.517465,0.293075,-0.252926,0.792432,0.248809
0.414370,0.502445,-0.604435,0.879216,0.253708,0.279762,0.287456,-0.118074,0.882197,0.279967,0.517622,0.295287,-0.245569,0.792930,0.254096
0.414148,0.503569,-0.607249,0.876985,0.257111,0.279237,0.290411,-0.112568,0.882197,0.279967,0.517925,0.297640,-0.235740,0.794837,0.257985
0.414209,0.504013,-0.607993,0.876985,0.257111,0.279175,0.291854,-0.106798,0.882644,0.276481,0.518192,0.299462,-0.228615,0.794745,0.258232
0.413939,0.504822,-0.611682,0.876895,0.257846,0.279593,0.293673,-0.095554,0.878863,0.281630,0.518340,0.301672,-0.217897,0.793429,0.257200
0.413662,0.505571,-0.614345,0.877310,0.259265,0.279709,0.295251,-0.085382,0.878863,0.281630,0.518412,0.303483,-0.210869,0.793429,0.257200
0.413466,0.506151,-0.618076,0.875857,0.260112,0.279843,0.296689,-0.076082,0.880771,0.281001,0.518586,0.305186,-0.203444,0.795420,0.258688
0.413180,0.506721,-0.621325,0.875457,0.260990,0.279931,0.297823,-0.071739,0.883888,0.276201,0.518884,0.306993,-0.197273,0.795420,0.258688
0.412876,0.507192,-0.622495,0.876023,0.261824,0.279765,0.299020,-0.065365,0.885906,0.272056,0.519250,0.308813,-0.187659,0.794058,0.255538
0.412860,0.507119,-0.623328,0.874970,0.260975,0.280117,0.299778,-0.064290,0.885874,0.270975,0.519367,0.309870,-0.182816,0.793239,0.248775
0.412986,0.507113,-0.623372,0.874970,0.260975,0.279987,0.300618,-0.063782,0.885874,0.270975,0.519496,0.310763,-0.179542,0.792713,0.245913
0.412883,0.507109,-0.623266,0.875188,0.260820,0.280060,0.301013,-0.061197,0.884324,0.272201,0.519678,0.311592,-0.175772,0.792236,0.245078
0.412990,0.507148,-0.622971,0.875188,0.260820,0.280120,0.301011,-0.060356,0.885369,0.272861,0.519618,0.312271,-0.171426,0.792236,0.245078
0.412873,0.507243,-0.622765,0.875188,0.260820,0.280121,0.301031,-0.059507,0.884324,0.272201,0.519599,0.312286,-0.171866,0.791268,0.245616
0.412953,0.507146,-0.623671,0.874835,0.262062,0.279945,0.301035,-0.060470,0.885359,0.271277,0.519604,0.312261,-0.171603,0.791464,0.245111
0.412835,0.507271,-0.622563,0.874149,0.261905,0.280103,0.301028,-0.060034,0.885359,0.271277,0.519569,0.312357,-0.172552,0.791527,0.244946
0.412823,0.507172,-0.624129,0.874149,0.261905,0.280037,0.301002,-0.060524,0.885727,0.272324,0.519607,0.312264,-0.171494,0.791527,0.244946
0.412838,0.507184,-0.623229,0.874149,0.261905,0.280072,0.301013,-0.060628,0.886183,0.271121,0.519583,0.312318,-0.171935,0.791220,0.243630
0.412873,0.507190,-0.623151,0.874149,0.261905,0.280118,0.300985,-0.060501,0.884683,0.271666,0.519599,0.312258,-0.171723,0.791220,0.243630
0.412860,0.507210,-0.623152,0.874970,0.260975,0.280045,0.301038,-0.061307,0.885718,0.270742,0.519593,0.312314,-0.171874,0.791698,0.244420
0.412878,0.507197,-0.623001,0.874970,0.260975,0.280114,0.301020,-0.060155,0.885898,0.270474,0.519611,0.312275,-0.171803,0.791698,0.244420
0.412834,0.507217,-0.623488,0.874970,0.260975,0.279945,0.301081,-0.060391,0.886722,0.270317,0.519586,0.312319,-0.171622,0.791590,0.244782
0.412841,0.507214,-0.623422,0.874970,0.260975,0.280045,0.300982,-0.060851,0.885800,0.271140,0.519596,0.312308,-0.172126,0.791284,0.243470
0.412959,0.507185,-0.623266,0.874617,0.262220,0.280135,0.301047,-0.060868,0.886259,0.269939,0.519593,0.312314,-0.171901,0.791284,0.243470
0.412215,0.503509,-0.626508,0.876641,0.257425,0.279840,0.298160,-0.052965,0.886439,0.269672,0.520452,0.309215,-0.164149,0.790994,0.244291
