x1,y1,theta1,hue1,sat1,x2,y2,theta2,hue2,sat2,x3,y3,theta3,hue3,sat3
-0.615988,-0.450785,0.089472,0.354621,0.818895,-0.765291,-0.691978,-0.001846,0.352482,0.925679,-0.437968,-0.693611,0.124468,0.410266,0.741366
-0.616109,-0.450762,0.089465,0.354621,0.818895,-0.765433,-0.691879,-0.001768,0.352482,0.925679,-0.438132,-0.693520,0.125578,0.410266,0.741366
-0.613101,-0.447987,0.111215,0.354481,0.820137,-0.757735,-0.686503,0.013516,0.353413,0.926475,-0.434234,-0.689353,0.146015,0.411017,0.737738
-0.593343,-0.429732,0.174581,0.354884,0.819177,-0.735255,-0.665332,0.062172,0.353413,0.926475,-0.417714,-0.669598,0.190466,0.411017,0.737738
-0.566652,-0.406429,0.226508,0.354677,0.815298,-0.711918,-0.636080,0.089284,0.355179,0.896670,-0.399627,-0.646501,0.216802,0.407106,0.729093
-0.539709,-0.382815,0.261988,0.355187,0.796781,-0.686759,-0.607634,0.109131,0.358414,0.879022,-0.379904,-0.624548,0.241102,0.411214,0.722029
-0.511069,-0.359516,0.294339,0.353454,0.743971,-0.660228,-0.580756,0.128499,0.360336,0.865391,-0.359029,-0.601589,0.268832,0.411214,0.722029
-0.483387,-0.335590,0.323153,0.353253,0.738437,-0.634058,-0.553496,0.154313,0.353216,0.837002,-0.337585,-0.579900,0.301959,0.420965,0.661845
-0.453580,-0.309496,0.346150,0.354632,0.680035,-0.604004,-0.523308,0.180886,0.351438,0.839612,-0.313721,-0.555585,0.340932,0.420289,0.654906
-0.428832,-0.287932,0.368994,0.352725,0.653558,-0.579911,-0.498917,0.197972,0.351438,0.839612,-0.294608,-0.534210,0.362453,0.425134,0.638432
-0.401054,-0.264032,0.398331,0.352725,0.653558,-0.552437,-0.473237,0.215964,0.356779,0.808016,-0.273037,-0.511691,0.392795,0.425082,0.649564
-0.374803,-0.240662,0.425224,0.345860,0.610155,-0.527299,-0.445899,0.220799,0.356779,0.808016,-0.251671,-0.488751,0.423474,0.426518,0.605581
-0.350314,-0.218872,0.448595,0.342046,0.596080,-0.503601,-0.422267,0.230331,0.354610,0.779097,-0.231301,-0.468579,0.449630,0.426518,0.605581
-0.324637,-0.195185,0.472573,0.340397,0.574839,-0.478012,-0.395199,0.240694,0.354610,0.779097,-0.208423,-0.446021,0.482814,0.429186,0.589655
-0.297692,-0.171474,0.491529,0.336866,0.546348,-0.451377,-0.368254,0.252313,0.354149,0.716243,-0.185100,-0.422583,0.517415,0.432102,0.538102
-0.272753,-0.147494,0.504513,0.331076,0.521680,-0.426794,-0.340914,0.260388,0.354149,0.716243,-0.165215,-0.398448,0.544368,0.434598,0.539979
-0.245298,-0.120323,0.517372,0.323308,0.490206,-0.399568,-0.312854,0.261454,0.348064,0.668234,-0.140678,-0.373412,0.562407,0.434940,0.518127
-0.223941,-0.099926,0.513003,0.315015,0.436606,-0.379085,-0.294230,0.249660,0.348064,0.668234,-0.120910,-0.355237,0.564054,0.438837,0.495314
-0.203375,-0.080101,0.505185,0.304109,0.425450,-0.359954,-0.273497,0.247423,0.346568,0.635113,-0.100905,-0.334051,0.570376,0.440940,0.467978
-0.187612,-0.063472,0.502603,0.293368,0.391746,-0.345794,-0.259322,0.243841,0.346969,0.627852,-0.085679,-0.315621,0.567605,0.440940,0.467978
-0.175811,-0.049954,0.502582,0.288988,0.397135,-0.332014,-0.246119,0.237675,0.345131,0.595169,-0.071518,-0.302932,0.572581,0.450064,0.467332
-0.166803,-0.039117,0.497718,0.267835,0.381599,-0.320442,-0.235461,0.235096,0.343309,0.616436,-0.061272,-0.290504,0.570782,0.450064,0.467332
-0.154765,-0.027116,0.497567,0.256805,0.359997,-0.306505,-0.222328,0.231298,0.343309,0.616436,-0.048791,-0.275673,0.571066,0.453957,0.452040
-0.145718,-0.015965,0.497046,0.258930,0.357858,-0.296587,-0.211973,0.232159,0.338978,0.581269,-0.037727,-0.263738,0.570880,0.461269,0.417700
-0.139776,-0.005855,0.496664,0.251867,0.338073,-0.288860,-0.202811,0.227238,0.339159,0.589775,-0.029844,-0.251944,0.568455,0.463604,0.419223
-0.132119,0.004844,0.499330,0.235714,0.329509,-0.280855,-0.192078,0.225556,0.336200,0.577940,-0.021907,-0.239819,0.567411,0.469836,0.424690
-0.126762,0.014398,0.493471,0.221105,0.323936,-0.276643,-0.181998,0.224236,0.336872,0.564723,-0.017021,-0.228705,0.567859,0.474789,0.434378
-0.121170,0.023370,0.493376,0.204079,0.325540,-0.270705,-0.172016,0.220743,0.332493,0.574677,-0.011537,-0.215727,0.570122,0.474789,0.434378
-0.114777,0.034528,0.487987,0.179952,0.324974,-0.263427,-0.161284,0.218670,0.325859,0.564708,-0.004494,-0.203919,0.569646,0.478503,0.413501
-0.110358,0.043909,0.484819,0.160777,0.327393,-0.258027,-0.153347,0.218587,0.324687,0.559974,0.001033,-0.194308,0.570929,0.478503,0.413501
-0.105123,0.051216,0.479637,0.160777,0.327393,-0.252034,-0.145521,0.215669,0.322001,0.552288,0.006512,-0.184881,0.571746,0.481842,0.398860
