config_name,robot_type,series,analytical_avg_radius,analytical_std_radius,analytical_radius_error,analytical_est_center_x,analytical_est_center_y,analytical_center_error,analytical_std_x_est,analytical_std_y_est,analytical_rmse,real_avg_radius,real_std_radius,real_radius_error,real_est_center_x,real_est_center_y,real_center_error,real_std_x_est,real_std_y_est,real_rmse,analytical_vs_real_error,std_x_across_modes,std_y_across_modes,desired_radius
orbit001,3-robot,0XX,0.155948,0.000003,0.145948,0.001776,-0.002724,0.003252,0.002507,0.002528,0.155948,0.274361,0.019522,0.264361,-0.006994,-0.008418,0.010944,0.144556,0.151715,0.275055,-0.118413,,,0.010000
orbit010,3-robot,0XX,0.208803,0.000007,0.108803,0.002652,0.007494,0.007949,0.041927,0.041415,0.208803,0.292892,0.010732,0.192892,0.012319,0.008124,0.014756,0.167537,0.167105,0.293089,-0.084089,,,0.100000
orbit020,3-robot,0XX,0.280816,0.000012,0.080816,-0.000256,-0.013503,0.013506,0.107934,0.109963,0.280816,0.348840,0.014232,0.148840,0.017507,0.000743,0.017523,0.206411,0.211216,0.349130,-0.068024,,,0.200000
orbit030,3-robot,0XX,0.362561,0.000014,0.062561,-0.011498,0.021947,0.024777,0.183105,0.181769,0.362561,0.390706,0.012508,0.090706,0.036877,-0.002846,0.036987,0.237323,0.242953,0.390906,-0.028145,,,0.300000
orbit040,3-robot,0XX,0.450352,0.000015,0.050352,0.007812,0.039540,0.040304,0.251534,0.261471,0.450352,0.436909,0.017701,0.036909,0.044198,-0.018920,0.048077,0.289832,0.270041,0.437267,0.013443,,,0.400000
orbit050,3-robot,0XX,0.541843,0.000015,0.041843,-0.003396,0.010857,0.011376,0.337274,0.320691,0.541843,0.467997,0.023118,-0.032003,0.053414,0.037172,0.065076,0.305608,0.296524,0.468568,0.073846,,,0.500000
orbit060,3-robot,0XX,0.635663,0.000014,0.035663,0.080735,-0.003103,0.080795,0.414507,0.390080,0.635663,0.534593,0.037636,-0.065407,0.010285,0.002996,0.010712,0.335582,0.367836,0.535916,0.101071,,,0.600000
orbit070,3-robot,0XX,0.731010,0.000013,0.031010,0.005419,-0.056275,0.056535,0.482304,0.472519,0.731010,0.577242,0.038644,-0.122758,0.016368,-0.005774,0.017357,0.390493,0.368889,0.578534,0.153768,,,0.700000
orbit101,4-robot-square,1XX,0.155948,0.000003,0.145948,0.001776,-0.002724,0.003252,0.002507,0.002528,0.155948,0.273839,0.010623,0.263839,0.004995,-0.009962,0.011144,0.149316,0.140426,0.274045,-0.117890,,,0.010000
orbit110,4-robot-square,1XX,0.208803,0.000007,0.108803,0.002652,0.007494,0.007949,0.041927,0.041415,0.208803,0.313292,0.019738,0.213292,0.005630,-0.036294,0.036728,0.180160,0.178730,0.313913,-0.104489,,,0.100000
orbit120,4-robot-square,1XX,0.280816,0.000012,0.080816,-0.000256,-0.013503,0.013506,0.107934,0.109963,0.280816,0.336913,0.025532,0.136913,-0.011587,-0.033653,0.035592,0.207156,0.191784,0.337879,-0.056097,,,0.200000
orbit130,4-robot-square,1XX,0.362561,0.000014,0.062561,-0.011498,0.021947,0.024777,0.183105,0.181769,0.362561,0.409930,0.036543,0.109930,0.019224,-0.060332,0.063321,0.262416,0.251333,0.411555,-0.047368,,,0.300000
orbit140,4-robot-square,1XX,0.450352,0.000015,0.050352,0.007812,0.039540,0.040304,0.251534,0.261471,0.450352,0.454189,0.041009,0.054189,0.023888,-0.085761,0.089025,0.294848,0.276944,0.456036,-0.003837,,,0.400000
orbit150,4-robot-square,1XX,0.541843,0.000015,0.041843,-0.003396,0.010857,0.011376,0.337274,0.320691,0.541843,0.462791,0.043785,-0.037209,0.070782,-0.064478,0.095747,0.309979,0.274778,0.464858,0.079052,,,0.500000
orbit160,4-robot-square,1XX,0.635663,0.000014,0.035663,0.080735,-0.003103,0.080795,0.414507,0.390080,0.635663,0.498062,0.044063,-0.101938,0.082925,0.011725,0.083750,0.340991,0.302260,0.500008,0.137601,,,0.600000
orbit201,4-robot-advanced,2XX,0.060392,0.000854,0.050392,0.012214,0.059128,0.060377,0.000974,0.000944,0.060398,0.121473,0.006998,0.111473,-0.002032,-0.004878,0.005285,0.015539,0.014482,0.121674,-0.061081,,,0.010000
orbit210,4-robot-advanced,2XX,0.111168,0.002629,0.011168,-0.091547,0.063067,0.111168,0.001763,0.001349,0.111199,0.125738,0.009309,0.025738,-0.009741,-0.005223,0.011052,0.017984,0.017462,0.126082,-0.014570,,,0.100000
orbit220,4-robot-advanced,2XX,0.202693,0.002256,0.002693,-0.011907,0.000474,0.011917,0.081770,0.082877,0.202705,0.329084,0.044781,0.129084,0.024271,0.005088,0.024799,0.201779,0.199844,0.332117,-0.126391,,,0.200000
orbit230,4-robot-advanced,2XX,0.347326,0.000373,0.047326,0.007009,0.002789,0.007544,0.179831,0.185976,0.347326,0.438714,0.038969,0.138714,0.002265,-0.016273,0.016430,0.286099,0.286720,0.440441,-0.091388,,,0.300000
orbit233,4-robot-advanced,2XX,0.379235,0.000300,0.049235,-0.008741,0.004607,0.009881,0.204677,0.205755,0.379235,0.479745,0.087133,0.149745,0.158260,0.018523,0.159340,0.311983,0.284267,0.487594,-0.100511,,,0.330000
orbit240,4-robot-advanced,2XX,0.449845,0.000216,0.049845,0.022806,0.033498,0.040525,0.254980,0.258434,0.449845,0.510268,0.054555,0.110268,0.036011,-0.008870,0.037087,0.353515,0.321484,0.513176,-0.060423,,,0.400000
orbit250,4-robot-advanced,2XX,0.541836,0.000042,0.041836,-0.000782,0.011352,0.011379,0.338732,0.319147,0.541836,0.592154,0.057448,0.092154,0.118845,0.020751,0.120643,0.378995,0.393656,0.594934,-0.050318,,,0.500000
