configuration,commanded_radius,desired_radius,centroid_mean_radius,centroid_std_radius,centroid_radius_error,robot0_mean_radius,robot0_std_radius,robot0_mean_velocity,robot0_max_velocity,robot0_velocity_saturations,robot0_stiction_events,robot0_mean_theoretical_v,robot1_mean_radius,robot1_std_radius,robot1_mean_velocity,robot1_max_velocity,robot1_velocity_saturations,robot1_stiction_events,robot1_mean_theoretical_v,robot2_mean_radius,robot2_std_radius,robot2_mean_velocity,robot2_max_velocity,robot2_velocity_saturations,robot2_stiction_events,robot2_mean_theoretical_v,formation_area_mean,formation_area_std,formation_area_cv,total_velocity_saturations,saturation_rate,theoretical_min_radius,below_theoretical_min,robot3_mean_radius,robot3_std_radius,robot3_mean_velocity,robot3_max_velocity,robot3_velocity_saturations,robot3_stiction_events,robot3_mean_theoretical_v
3-robot,0.010000,0.010000,0.155948,0.000003,0.145948,0.221185,0.102908,0.200415,0.200622,0,0,0.221185,0.224630,0.101162,0.200415,0.200622,0,0,0.224630,0.226426,0.102018,0.200411,0.200557,0,0,0.226426,0.047165,0.000030,0.000641,0,0.000000,0.201000,True,,,,,,,
3-robot,0.100000,0.100000,0.208803,0.000007,0.108803,0.255892,0.122322,0.200243,0.200949,0,0,0.255892,0.260260,0.120125,0.200243,0.200950,0,0,0.260260,0.249595,0.121261,0.200203,0.200566,0,0,0.249595,0.047118,0.000119,0.002521,0,0.000000,0.201000,True,,,,,,,
3-robot,0.200000,0.200000,0.280816,0.000012,0.080816,0.309675,0.129496,0.200072,0.200333,0,0,0.309675,0.309391,0.129221,0.200072,0.200333,0,0,0.309391,0.323281,0.125075,0.200235,0.203047,0,0,0.323281,0.047054,0.000321,0.006830,0,0.000000,0.201000,True,,,,,,,
3-robot,0.300000,0.300000,0.362561,0.000014,0.062561,0.398377,0.130328,0.200175,0.202982,0,0,0.398377,0.388965,0.129164,0.200175,0.202981,0,0,0.388965,0.376484,0.132225,0.199879,0.200541,0,0,0.376484,0.046994,0.000511,0.010874,0,0.000000,0.201000,False,,,,,,,
3-robot,0.400000,0.400000,0.450352,0.000015,0.050352,0.475957,0.132032,0.200191,0.204368,0,0,0.475957,0.481527,0.130735,0.200191,0.204367,0,0,0.481527,0.454614,0.131433,0.199766,0.200472,0,0,0.454614,0.046943,0.000674,0.014366,0,0.000000,0.201000,False,,,,,,,
3-robot,0.500000,0.500000,0.541843,0.000015,0.041843,0.562050,0.132966,0.200051,0.200795,0,0,0.562050,0.559639,0.133966,0.200051,0.200796,0,0,0.559639,0.554238,0.131205,0.200008,0.206507,0,0,0.554238,0.046901,0.000808,0.017223,0,0.000000,0.201000,False,,,,,,,
3-robot,0.600000,0.600000,0.635663,0.000014,0.035663,0.628342,0.132799,0.199995,0.202942,0,0,0.628342,0.669729,0.130290,0.199995,0.202948,0,0,0.669729,0.651928,0.132282,0.200096,0.201622,0,0,0.651928,0.046868,0.000913,0.019475,0,0.000000,0.201000,False,,,,,,,
3-robot,0.700000,0.700000,0.731010,0.000013,0.031010,0.735902,0.131744,0.199865,0.200247,0,0,0.735902,0.738404,0.130394,0.199865,0.200247,0,0,0.738404,0.756226,0.135317,0.200332,0.212651,0,0,0.756226,0.046842,0.000994,0.021217,0,0.000000,0.201000,False,,,,,,,
4-robot-square,0.010000,0.010000,0.155948,0.000003,0.145948,0.196506,0.093479,0.200414,0.200414,0,0,0.196506,0.197045,0.093864,0.200414,0.200414,0,0,0.197045,0.193755,0.093520,0.200414,0.200414,0,0,0.193755,0.045000,0.000000,0.000000,0,0.000000,0.201000,True,0.192515,0.094554,0.200414,0.200414,0.000000,0.000000,0.192515
4-robot-square,0.100000,0.100000,0.208803,0.000007,0.108803,0.238260,0.100630,0.200230,0.200230,0,0,0.238260,0.232034,0.100055,0.200230,0.200230,0,0,0.232034,0.234675,0.101146,0.200230,0.200230,0,0,0.234675,0.045000,0.000000,0.000000,0,0.000000,0.201000,True,0.242015,0.098871,0.200230,0.200230,0.000000,0.000000,0.242015
4-robot-square,0.200000,0.200000,0.280816,0.000012,0.080816,0.300624,0.104432,0.200127,0.200127,0,0,0.300624,0.308619,0.100812,0.200127,0.200127,0,0,0.308619,0.300887,0.104409,0.200127,0.200127,0,0,0.300887,0.045000,0.000000,0.000000,0,0.000000,0.201000,True,0.294729,0.102185,0.200127,0.200127,0.000000,0.000000,0.294729
