configuration,radius,param_set,momentum_alpha,max_velocity,mean_radius,std_radius,radius_error,max_commanded_velocity,mean_velocity,max_velocity_achieved,saturation_rate
3-robot,0.010000,Baseline,0.700000,0.300000,0.155749,0.000474,0.145749,0.212897,0.200326,0.200414,0.000000
3-robot,0.100000,Baseline,0.700000,0.300000,0.208525,0.000619,0.108525,0.207267,0.200151,0.200230,0.000000
3-robot,0.300000,Baseline,0.700000,0.300000,0.362212,0.000711,0.062212,0.202432,0.200029,0.200076,0.000000
3-robot,0.500000,Baseline,0.700000,0.300000,0.541543,0.000588,0.041543,0.201091,0.200009,0.200034,0.000000
3-robot,0.010000,No_Momentum,0.000000,0.300000,0.155749,0.000474,0.145749,0.212897,0.200326,0.200414,0.000000
3-robot,0.100000,No_Momentum,0.000000,0.300000,0.208525,0.000619,0.108525,0.207267,0.200151,0.200230,0.000000
3-robot,0.300000,No_Momentum,0.000000,0.300000,0.362212,0.000711,0.062212,0.202432,0.200029,0.200076,0.000000
3-robot,0.500000,No_Momentum,0.000000,0.300000,0.541543,0.000588,0.041543,0.201091,0.200009,0.200034,0.000000
3-robot,0.010000,Low_Momentum,0.300000,0.300000,0.155749,0.000474,0.145749,0.212897,0.200326,0.200414,0.000000
3-robot,0.100000,Low_Momentum,0.300000,0.300000,0.208525,0.000619,0.108525,0.207267,0.200151,0.200230,0.000000
3-robot,0.300000,Low_Momentum,0.300000,0.300000,0.362212,0.000711,0.062212,0.202432,0.200029,0.200076,0.000000
3-robot,0.500000,Low_Momentum,0.300000,0.300000,0.541543,0.000588,0.041543,0.201091,0.200009,0.200034,0.000000
3-robot,0.010000,No_Vel_Limit,0.700000,10.000000,0.155749,0.000474,0.145749,0.212897,0.200326,0.200414,0.000000
3-robot,0.100000,No_Vel_Limit,0.700000,10.000000,0.208525,0.000619,0.108525,0.207267,0.200151,0.200230,0.000000
3-robot,0.300000,No_Vel_Limit,0.700000,10.000000,0.362212,0.000711,0.062212,0.202432,0.200029,0.200076,0.000000
