# generated_by: experiments/basin_map.py
# git_commit: 148df0a
# date: 2026-07-17T07:58:13.104293+00:00
# mode: grid_heading0_relaxed  max_steps: 800  x_exit: 1.1  y_exit: 0.6
# grid: 200x100 over [-1.0,1.0]x[-0.5,0.5]  subsample: 20x10x10
# controller: separatrix_logic_c_step (Logic C), zero noise
# collapse_rms: 0.3  saddle_contact_d: 0.06
# core_park: final_D > 0.0 and final_gradD < 0.5
sigma_uv,sigma_p,seed,start_x,start_y,heading,steps,success_traverse,collapsed,final_x,final_y,final_D,final_gradD,dist_core,min_d_top,min_d_bot,outcome
0.0,0.0,1000064,-0.995,0.14500000000000002,0.0,40,0,0,-1.1023434097105553,0.4967340270621488,-0.8767132209884863,1.8360694991355175,0.7807446937783935,0.9997928853149259,1.18576979216035,EXIT
0.0,0.0,1000065,-0.995,0.15500000000000003,0.0,222,1,0,-1.4367093457053523e-08,-0.4513857201573545,-0.9515460455316997,0.9202770473577285,0.6736089770741482,0.009252939795959748,0.060614279672656736,TRAVERSE
0.0,0.0,1000066,-0.995,0.16500000000000004,0.0,86,0,0,-1.1072876894391566,0.5171503698532485,-0.864731378940405,1.938324973600596,0.7976483202412584,0.9912685502235412,1.1967664768032233,EXIT
0.0,0.0,1000067,-0.995,0.17500000000000004,0.0,209,1,0,-1.4513338290426484e-08,-0.44051688954509455,-0.9404687711478485,1.1172869566582107,0.6663746059545989,0.011194297884730604,0.07148311020883549,TRAVERSE
0.0,0.0,1000068,-0.995,0.18500000000000005,0.0,128,0,0,-1.1084695067713808,0.5758645076377372,-0.8109962424896361,2.384991679910383,0.8377679104784695,0.9117394175764493,1.2079942052841148,EXIT
0.0,0.0,1000069,-0.995,0.19499999999999995,0.0,136,0,0,-1.1077186733463265,0.49630070453698244,-0.8666002192954865,1.9179643587019923,0.7846249902072481,0.9572225843266211,1.2136927123452625,EXIT
0.0,0.0,1000070,-0.995,0.20499999999999996,0.0,36,0,0,-1.1091941463826835,0.4946372419945482,-0.86361108218729,1.9414182242354192,0.7847187452552027,0.9988341528064523,1.2194465957966343,EXIT
0.0,0.0,1000071,-0.995,0.21499999999999997,0.0,87,0,0,-1.1047552692264315,0.5099946883065952,-0.8713853761096615,1.881721822145131,0.7910900819489995,0.9869431693037315,1.2252550754842846,EXIT
0.0,0.0,1000072,-0.995,0.22499999999999998,0.0,113,0,0,-1.1068910685488493,0.5129065771084026,-0.8667122596231819,1.9202817491781548,0.7946004819564495,0.9381883744816011,1.2311173786442948,EXIT
0.0,0.0,1000073,-0.995,0.235,0.0,227,1,0,-2.2097094922364963e-08,-0.44637873517623144,-0.9467091484262703,1.0116233621542012,0.6702640920715042,0.009807786981618953,0.06562126465792496,TRAVERSE
0.0,0.0,1000074,-0.995,0.245,0.0,86,0,0,-1.1097278700353534,0.5930392102264365,-0.7819731580658413,2.5770605022217197,0.8505666231188739,0.9934738551259522,1.2430004022525496,EXIT
0.0,0.0,1000075,-0.995,0.255,0.0,31,0,0,-1.1008725585426833,0.49611988427108544,-0.8793533540673443,1.813819343927257,0.7792193344487709,0.9994797565735077,1.2490196155385231,EXIT
0.0,0.0,1000076,-0.995,0.265,0.0,37,0,0,-1.107755975750034,0.5123389459101112,-0.8651972934636184,1.9317990163170837,0.7948952896804456,0.9983293306578038,1.2550896382330627,EXIT
0.0,0.0,1000077,-0.995,0.275,0.0,192,1,0,-1.1023940639972215e-08,-0.4443445827894393,-0.9446138651984,1.048453079375899,0.6689111280509394,0.011178876840468328,0.06765541704337788,TRAVERSE
0.0,0.0,1000078,-0.995,0.28500000000000003,0.0,46,0,0,-1.1091148425997863,0.4972834510394555,-0.8639702960821221,1.9382028286973076,0.7863279990901209,0.9674560702014728,1.2673791855636576,EXIT
