# generated_by: experiments/estimator_accuracy_sweep.py
# git_commit: beb0a89
# date: 2026-07-03 01:09 UTC
# seed: 20260702  n_draws: 200000
# formation: config/formations/pentagon_small.yaml
location,sigma_uv,quantity,mean,median,q25,q75,p95,truncation_only,truth_magnitude
strain_region,0.001,detJ,1.282941e-02,1.218920e-02,6.626852e-03,1.814088e-02,2.672978e-02,1.210882e-02,4.367835e-01
strain_region,0.001,gradD,4.931618e-01,4.548589e-01,2.893696e-01,6.550060e-01,9.956821e-01,1.773311e-01,3.820980e+00
strain_region,0.001,hessD,1.206687e+01,1.200544e+01,1.122925e+01,1.284009e+01,1.415308e+01,1.173309e+01,1.276851e+01
strain_region,0.005,detJ,3.713839e-02,3.155959e-02,1.485804e-02,5.380860e-02,9.057592e-02,1.210882e-02,4.367835e-01
strain_region,0.005,gradD,2.351572e+00,2.172252e+00,1.388409e+00,3.117793e+00,4.732479e+00,1.773311e-01,3.820980e+00
strain_region,0.005,hessD,2.100652e+01,1.861261e+01,1.377489e+01,2.583059e+01,4.073242e+01,1.173309e+01,1.276851e+01
strain_region,0.01,detJ,7.228531e-02,6.145677e-02,2.910138e-02,1.042788e-01,1.762388e-01,1.210882e-02,4.367835e-01
strain_region,0.01,gradD,4.709579e+00,4.335292e+00,2.751199e+00,6.245146e+00,9.564511e+00,1.773311e-01,3.820980e+00
strain_region,0.01,hessD,5.180173e+01,4.312054e+01,2.610771e+01,6.836308e+01,1.204635e+02,1.173309e+01,1.276851e+01
strain_region,0.02,detJ,1.458976e-01,1.238165e-01,5.839499e-02,2.091799e-01,3.557753e-01,1.210882e-02,4.367835e-01
strain_region,0.02,gradD,9.699943e+00,8.791433e+00,5.532359e+00,1.285935e+01,2.021270e+01,1.773311e-01,3.820980e+00
strain_region,0.02,hessD,1.807725e+02,1.496345e+02,8.544121e+01,2.429636e+02,4.342300e+02,1.173309e+01,1.276851e+01
strain_region,0.05,detJ,3.946730e-01,3.225112e-01,1.555228e-01,5.422263e-01,1.026193e+00,1.210882e-02,4.367835e-01
strain_region,0.05,gradD,2.856242e+01,2.478139e+01,1.490190e+01,3.805992e+01,6.424844e+01,1.773311e-01,3.820980e+00
strain_region,0.05,hessD,1.085989e+03,9.023790e+02,5.121835e+02,1.458114e+03,2.618172e+03,1.173309e+01,1.276851e+01
strain_region,0.1,detJ,9.863301e-01,7.180537e-01,3.440935e-01,1.348002e+00,2.813508e+00,1.210882e-02,4.367835e-01
strain_region,0.1,gradD,8.243839e+01,7.002096e+01,4.097564e+01,1.102253e+02,1.917399e+02,1.773311e-01,3.820980e+00
strain_region,0.1,hessD,4.327313e+03,3.577506e+03,2.032030e+03,5.810417e+03,1.047505e+04,1.173309e+01,1.276851e+01
separatrix,0.001,detJ,1.362376e-02,1.328215e-02,7.859147e-03,1.882397e-02,2.663288e-02,1.323425e-02,4.870455e-01
separatrix,0.001,gradD,4.377295e-01,4.112180e-01,2.641250e-01,5.814293e-01,8.566156e-01,5.140906e-02,3.060197e+00
separatrix,0.001,hessD,1.450198e+01,1.447853e+01,1.350543e+01,1.547231e+01,1.696855e+01,1.414545e+01,1.922778e+01
separatrix,0.005,detJ,3.476121e-02,2.978471e-02,1.412367e-02,5.017342e-02,8.422280e-02,1.323425e-02,4.870455e-01
separatrix,0.005,gradD,2.178033e+00,2.039363e+00,1.311163e+00,2.898401e+00,4.274725e+00,5.140906e-02,3.060197e+00
separatrix,0.005,hessD,2.374961e+01,2.149485e+01,1.655047e+01,2.869597e+01,4.447856e+01,1.414545e+01,1.922778e+01
separatrix,0.01,detJ,6.735005e-02,5.756636e-02,2.737244e-02,9.744627e-02,1.628160e-01,1.323425e-02,4.870455e-01
separatrix,0.01,gradD,4.397756e+00,4.101117e+00,2.631258e+00,5.835991e+00,8.710297e+00,5.140906e-02,3.060197e+00
separatrix,0.01,hessD,5.483634e+01,4.588195e+01,2.870425e+01,7.129090e+01,1.253216e+02,1.414545e+01,1.922778e+01
separatrix,0.02,detJ,1.356643e-01,1.162284e-01,5.551130e-02,1.947443e-01,3.255700e-01,1.323425e-02,4.870455e-01
separatrix,0.02,gradD,9.055353e+00,8.277761e+00,5.236782e+00,1.200353e+01,1.862247e+01,5.140906e-02,3.060197e+00
separatrix,0.02,hessD,1.832580e+02,1.515878e+02,8.686187e+01,2.455644e+02,4.406484e+02,1.414545e+01,1.922778e+01
separatrix,0.05,detJ,3.739617e-01,3.135306e-01,1.522228e-01,5.111607e-01,9.452455e-01,1.323425e-02,4.870455e-01
separatrix,0.05,gradD,2.706426e+01,2.347186e+01,1.403743e+01,3.611773e+01,6.103800e+01,5.140906e-02,3.060197e+00
separatrix,0.05,hessD,1.089089e+03,9.036572e+02,5.138220e+02,1.462925e+03,2.635612e+03,1.414545e+01,1.922778e+01
separatrix,0.1,detJ,9.513805e-01,6.978699e-01,3.397757e-01,1.291789e+00,2.699635e+00,1.323425e-02,4.870455e-01
separatrix,0.1,gradD,8.064308e+01,6.815413e+01,4.010016e+01,1.076396e+02,1.883767e+02,5.140906e-02,3.060197e+00
separatrix,0.1,hessD,4.341895e+03,3.595939e+03,2.045901e+03,5.836341e+03,1.049112e+04,1.414545e+01,1.922778e+01
