# generated_by: experiments/estimator_accuracy_sweep.py
# git_commit: beb0a89
# date: 2026-07-03 01:09 UTC
# seed: 20260702  n_draws: 200000
# formation: config/formations/pentagon_small.yaml
# location: strain_region (-0.35, -0.2)
# n_draws: 20000
robot,sigma_p,empirical_std_u,empirical_std_v,pred_std_u,pred_std_v
0,0.005,3.752651e-03,3.773987e-03,3.793121e-03,3.793121e-03
1,0.005,3.314464e-03,3.308422e-03,3.325138e-03,3.325138e-03
2,0.005,4.240342e-03,4.258787e-03,4.279328e-03,4.279328e-03
3,0.005,3.730608e-03,3.711233e-03,3.738194e-03,3.738194e-03
4,0.005,3.547551e-03,3.542600e-03,3.541479e-03,3.541479e-03
5,0.005,3.879794e-03,3.861928e-03,3.854979e-03,3.854979e-03
0,0.01,7.573845e-03,7.569955e-03,7.586241e-03,7.586241e-03
1,0.01,6.640246e-03,6.625133e-03,6.650275e-03,6.650275e-03
2,0.01,8.506436e-03,8.597614e-03,8.558656e-03,8.558656e-03
3,0.01,7.503407e-03,7.472556e-03,7.476388e-03,7.476388e-03
4,0.01,7.051832e-03,7.079776e-03,7.082958e-03,7.082958e-03
5,0.01,7.691397e-03,7.715650e-03,7.709959e-03,7.709959e-03
