# generated_by: experiments/estimator_accuracy_sweep.py
# git_commit: 641664d
# date: 2026-07-03 00:06 UTC
# seed: 20260702  n_draws: 200000
# formation: config/formations/pentagon_small.yaml
# sigma_uv fixed: 0.01
# location: strain_region (-0.35, -0.2)
scale,rho,sigma_uv,quantity,mean,median,q25,q75,p95,truncation_only,truth_magnitude
0.25,0.018750,0.01,detJ,3.084532e-01,2.546181e-01,1.220410e-01,4.299864e-01,7.861460e-01,7.592013e-04,4.367835e-01
0.25,0.018750,0.01,gradD,8.632609e+01,7.577670e+01,4.626841e+01,1.150305e+02,1.906064e+02,3.109020e-02,3.820980e+00
0.25,0.018750,0.01,hessD,1.109824e+04,9.213119e+03,5.222187e+03,1.492560e+04,2.682925e+04,1.206855e+01,1.276851e+01
0.5,0.037500,0.01,detJ,1.466983e-01,1.234415e-01,5.840083e-02,2.099490e-01,3.617813e-01,3.038064e-03,4.367835e-01
0.5,0.037500,0.01,gradD,1.952095e+01,1.768517e+01,1.116545e+01,2.586561e+01,4.076117e+01,7.087454e-02,3.820980e+00
0.5,0.037500,0.01,hessD,7.005544e+02,5.806353e+02,3.283926e+02,9.427522e+02,1.693886e+03,1.194977e+01,1.276851e+01
0.7,0.052500,0.01,detJ,1.039420e-01,8.781390e-02,4.160660e-02,1.495956e-01,2.544825e-01,5.950291e-03,4.367835e-01
0.7,0.052500,0.01,gradD,9.778803e+00,8.955543e+00,5.654200e+00,1.297921e+01,2.004984e+01,1.091573e-01,3.820980e+00
0.7,0.052500,0.01,hessD,1.877393e+02,1.556400e+02,8.908751e+01,2.518659e+02,4.503117e+02,1.185950e+01,1.276851e+01
1.0,0.075000,0.01,detJ,7.232943e-02,6.142222e-02,2.901246e-02,1.041282e-01,1.770579e-01,1.210882e-02,4.367835e-01
1.0,0.075000,0.01,gradD,4.724895e+00,4.343273e+00,2.760063e+00,6.277374e+00,9.601896e+00,1.773311e-01,3.820980e+00
1.0,0.075000,0.01,hessD,5.184688e+01,4.326930e+01,2.622227e+01,6.820128e+01,1.202249e+02,1.173309e+01,1.276851e+01
1.5,0.112500,0.01,detJ,5.208144e-02,4.484715e-02,2.132915e-02,7.550036e-02,1.250477e-01,2.698725e-02,4.367835e-01
1.5,0.112500,0.01,gradD,2.072906e+00,1.911429e+00,1.221499e+00,2.748026e+00,4.181490e+00,3.186292e-01,3.820980e+00
1.5,0.112500,0.01,hessD,1.873418e+01,1.683257e+01,1.300720e+01,2.261914e+01,3.469587e+01,1.154973e+01,1.276851e+01
2.0,0.150001,0.01,detJ,5.357215e-02,4.956103e-02,2.530467e-02,7.695530e-02,1.167469e-01,4.724164e-02,4.367835e-01
2.0,0.150001,0.01,gradD,1.209686e+00,1.115453e+00,7.088650e-01,1.605678e+00,2.450234e+00,4.917272e-01,3.820980e+00
2.0,0.150001,0.01,hessD,1.351736e+01,1.304465e+01,1.131963e+01,1.529324e+01,1.963372e+01,1.140468e+01,1.276851e+01
3.0,0.225001,0.01,detJ,1.012705e-01,1.016471e-01,8.364517e-02,1.193908e-01,1.444255e-01,1.012283e-01,4.367835e-01
3.0,0.225001,0.01,gradD,9.819911e-01,9.685281e-01,6.889875e-01,1.255220e+00,1.675810e+00,9.152232e-01,3.820980e+00
3.0,0.225001,0.01,hessD,1.160212e+01,1.153609e+01,1.079890e+01,1.234041e+01,1.365125e+01,1.123904e+01,1.276851e+01
4.0,0.300001,0.01,detJ,1.673435e-01,1.675087e-01,1.553803e-01,1.795404e-01,1.964152e-01,1.673508e-01,4.367835e-01
4.0,0.300001,0.01,gradD,1.414210e+00,1.415518e+00,1.259511e+00,1.569623e+00,1.790438e+00,1.405306e+00,3.820980e+00
4.0,0.300001,0.01,hessD,1.133375e+01,1.131606e+01,1.091055e+01,1.173737e+01,1.238378e+01,1.123453e+01,1.276851e+01
