# generated_by: experiments/mc_sweep_acquisition.py
# git_commit: 148df0a
# date: 2026-07-17T07:41:51.448245+00:00
# trials_per_cell: 4
# steps: 500
# controller: separatrix_logic_c_step (Logic C)
# start_mode: fixed  start_S1: (-0.45, 0.3)  seed_offset: 23
# band_x: 0.05  collapse_rms: 0.3  saddle_contact_d: 0.06
sigma_uv,sigma_p,success_traverse,success_band,success_straddle,track_mean,track_p95
0,0,0.25,0.5,0.25,0.113624,0.228527
0,0.01,0.5,1,0.5,0.0874716,0.285194
0.001,0,0.25,0.5,0.25,0.127702,0.235025
0.001,0.01,0,1,0,0.179241,0.59606
0.005,0,0.5,0.75,0.5,0.0684034,0.151281
0.005,0.01,0.25,1,0.25,0.0633663,0.240069
0.01,0,0.25,1,0.25,0.187499,0.521853
0.01,0.01,0.5,1,0.5,0.121948,0.385031
0.02,0,0,0,0,0.760331,0.856297
0.02,0.01,0,0.5,0,0.413793,0.605485
0.05,0,0,0.25,0,0.485978,0.608119
0.05,0.01,0,0,0,0.482958,0.596181
0.1,0,0,0,0,0.477541,0.56621
0.1,0.01,0,0.25,0,0.440195,0.504619
