# generated_by: experiments/mc_sweep_acquisition.py
# git_commit: 148df0a
# date: 2026-07-17T07:53:14.458518+00:00
# trials_per_cell: 1000
# variant: relaxed  max_steps: 800  x_exit: 1.1  y_exit: 0.6
# controller: separatrix_logic_c_step (Logic C)
# start_mode: fixed  start_S1: (-0.45, 0.3)  seed_offset: 23
# band_x: 0.05  collapse_rms: 0.3  saddle_contact_d: 0.06
sigma_uv,sigma_p,success_traverse,success_band,success_straddle,track_mean,track_p95,reach_network
0,0,0.396,1,0.384,0.0105256,0.0315589,1
0,0.01,0.408,0.919,0.338,0.231979,0.537256,1
0.001,0,0.517,0.98,0.517,0.0163434,0.0404267,1
0.001,0.01,0.411,0.927,0.355,0.226571,0.537106,1
0.005,0,0.449,0.889,0.386,0.151311,0.373242,1
0.005,0.01,0.401,0.929,0.34,0.256401,0.588828,1
0.01,0,0.424,0.94,0.363,0.265475,0.578267,1
0.01,0.01,0.364,0.905,0.318,0.300702,0.634928,1
0.02,0,0.187,0.6,0.144,0.461125,0.734447,1
0.02,0.01,0.173,0.574,0.137,0.459781,0.738502,1
0.05,0,0.055,0.245,0.036,0.495706,0.719279,0.994
0.05,0.01,0.063,0.26,0.041,0.497994,0.706747,0.999
0.1,0,0.028,0.143,0.017,0.511433,0.689063,0.968
0.1,0.01,0.044,0.161,0.02,0.492347,0.67056,0.961
