# generated_by: experiments/mc_sweep_acquisition.py
# git_commit: 148df0a
# date: 2026-07-17T07:50:08.219136+00:00
# trials_per_cell: 1000
# variant: strict  max_steps: 500  x_exit: 1.0  y_exit: 0.52
# controller: separatrix_logic_c_step (Logic C)
# start_mode: fixed  start_S1: (-0.45, 0.3)  seed_offset: 23
# band_x: 0.05  collapse_rms: 0.3  saddle_contact_d: 0.06
sigma_uv,sigma_p,success_traverse,success_band,success_straddle,track_mean,track_p95,reach_network
0,0,0.35,0.531,0.345,0.10788,0.213785,1
0,0.01,0.406,0.922,0.338,0.110973,0.314727,1
0.001,0,0.429,0.496,0.429,0.136969,0.232767,1
0.001,0.01,0.406,0.928,0.354,0.109511,0.313177,1
0.005,0,0.44,0.78,0.377,0.106864,0.258564,1
0.005,0.01,0.397,0.979,0.34,0.110249,0.32156,1
0.01,0,0.42,0.985,0.363,0.104786,0.288314,1
0.01,0.01,0.362,0.969,0.318,0.134137,0.344301,1
0.02,0,0.179,0.618,0.142,0.34717,0.554563,1
0.02,0.01,0.166,0.591,0.136,0.358229,0.561487,1
0.05,0,0.044,0.253,0.033,0.509318,0.65568,0.975
0.05,0.01,0.053,0.251,0.039,0.484745,0.629973,0.976
0.1,0,0.022,0.168,0.015,0.482467,0.588151,0.834
0.1,0.01,0.033,0.189,0.019,0.483537,0.592184,0.836
