# generated_by: experiments/mc_sweep_acquisition.py
# git_commit: 148df0a
# date: 2026-07-17T07:41:52.855301+00:00
# trials_per_cell: 4
# steps: 500
# controller: separatrix_logic_c_step (Logic C)
# start_mode: fixed  start_S6: (-0.2, -0.3)  seed_offset: 29
# band_x: 0.05  collapse_rms: 0.3  saddle_contact_d: 0.06
sigma_uv,sigma_p,success_traverse,success_band,success_straddle,track_mean,track_p95
0,0,0,0,0,0.732681,0.983582
0,0.01,0,0,0,0.770727,0.958161
0.001,0,0,0,0,0.614516,0.873874
0.001,0.01,0,0,0,0.609571,0.771185
0.005,0,0,0,0,0.594901,0.83247
0.005,0.01,0,0,0,0.457809,0.690995
0.01,0,0,0,0,0.586718,0.776158
0.01,0.01,0,0,0,0.565558,0.693265
0.02,0,0,0.25,0,0.37747,0.475823
0.02,0.01,0,0,0,0.892895,0.960464
0.05,0,0,0.5,0,0.382797,0.645806
0.05,0.01,0,0.25,0,0.577151,0.854529
0.1,0,0,0.5,0,0.552318,0.689346
0.1,0.01,0,0.5,0,0.451552,0.73834
