# generated_by: experiments/mc_sweep_acquisition.py
# git_commit: 148df0a
# date: 2026-07-17T07:55:06.849172+00:00
# trials_per_cell: 1000
# variant: relaxed  max_steps: 800  x_exit: 1.1  y_exit: 0.6
# controller: separatrix_logic_c_step (Logic C)
# start_mode: fixed  start_S6: (-0.2, -0.3)  seed_offset: 29
# band_x: 0.05  collapse_rms: 0.3  saddle_contact_d: 0.06
sigma_uv,sigma_p,success_traverse,success_band,success_straddle,track_mean,track_p95,reach_network
0,0,0.286,0.233,0.278,0.515366,0.600322,1
0,0.01,0.054,0.149,0.047,0.708217,0.857043,1
0.001,0,0.138,0.252,0.136,0.672961,0.772408,1
0.001,0.01,0.054,0.131,0.047,0.71001,0.858709,1
0.005,0,0.061,0.155,0.053,0.721225,0.845594,1
0.005,0.01,0.051,0.133,0.042,0.715514,0.863195,1
0.01,0,0.062,0.16,0.053,0.678208,0.824228,1
0.01,0.01,0.047,0.121,0.041,0.690401,0.839763,1
0.02,0,0.045,0.164,0.039,0.661785,0.826776,1
0.02,0.01,0.049,0.147,0.036,0.664235,0.823578,1
0.05,0,0.063,0.228,0.047,0.552755,0.752107,1
0.05,0.01,0.058,0.226,0.045,0.56744,0.776278,0.999
0.1,0,0.05,0.171,0.027,0.553999,0.730927,0.992
0.1,0.01,0.036,0.149,0.028,0.577282,0.749858,0.99
