# generated_by: experiments/mc_sweep_acquisition.py
# git_commit: 148df0a
# date: 2026-07-17T07:51:10.500718+00:00
# trials_per_cell: 1000
# variant: strict  max_steps: 500  x_exit: 1.0  y_exit: 0.52
# controller: separatrix_logic_c_step (Logic C)
# start_mode: fixed  start_S6: (-0.2, -0.3)  seed_offset: 29
# band_x: 0.05  collapse_rms: 0.3  saddle_contact_d: 0.06
sigma_uv,sigma_p,success_traverse,success_band,success_straddle,track_mean,track_p95,reach_network
0,0,0.241,0,0.241,0.589392,0.792185,1
0,0.01,0,0,0,0.644493,0.826212,1
0.001,0,0.01,0,0.01,0.692688,0.939395,1
0.001,0.01,0,0,0,0.646646,0.826388,1
0.005,0,0,0,0,0.571852,0.755888,1
0.005,0.01,0,0,0,0.622504,0.795377,1
0.01,0,0,0,0,0.62275,0.786017,1
0.01,0.01,0,0.003,0,0.638809,0.794971,1
0.02,0,0.014,0.05,0.01,0.710074,0.842614,1
0.02,0.01,0.016,0.054,0.01,0.718785,0.849498,1
0.05,0,0.036,0.175,0.027,0.631538,0.789016,0.987
0.05,0.01,0.04,0.184,0.033,0.632906,0.79386,0.994
0.1,0,0.039,0.192,0.021,0.600891,0.73158,0.935
0.1,0.01,0.029,0.17,0.022,0.629415,0.757967,0.938
