# generated_by: experiments/mc_sweep_acquisition.py
# git_commit: 148df0a
# date: 2026-07-17T07:41:52.855301+00:00
# trials_per_cell: 4
# steps: 500
# controller: separatrix_logic_c_step (Logic C)
# start_mode: fixed  start_S6: (-0.2, -0.3)  seed_offset: 29
# band_x: 0.05  collapse_rms: 0.3  saddle_contact_d: 0.06
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y,min_gradD_path
0.0,0.0,29,-0.2,-0.3,0.3144543887975381,-1,68,0,0,0,-1,0,0.7049710251716013,0.969548813697276,2.080708571926119e-10,0.9145589710502274,-1.000447663849713,-0.5034554782091324,0.17841046366913277
0.0,0.0,7948,-0.2,-0.3,0.8016895482183213,-1,76,0,0,0,-1,0,0.754144790445247,0.9914125280279111,2.5688896734214026e-10,1.0192013560501525,-0.9824768955683916,-0.5249606291859502,0.01127504574415001
0.0,0.0,15867,-0.2,-0.3,4.6591332218087524,-1,77,0,0,0,-1,0,0.7551962763075721,0.9919783052168705,2.568912794862019e-10,1.0325508642629853,-0.9775595768182089,-0.5216483654715565,0.033018960177459596
0.0,0.0,23786,-0.2,-0.3,4.248282352572753,-1,70,0,0,0,-1,0,0.7164115229624731,0.9813902931285083,2.0806728119164698e-10,0.9360744873952542,-1.0024468329389489,-0.4806268409454413,0.14435077672444677
0.0,0.01,10029,-0.2,-0.3,0.32463428884117124,-1,91,0,0,0,-1,0,0.8280083975140096,0.9976303084677838,3.700077689457287e-10,1.335011425975223,-1.004247574018393,-0.39316175327883657,0.16577343049996102
0.0,0.01,17948,-0.2,-0.3,3.6905006988130937,-1,84,0,0,0,-1,0,0.6728809620695207,0.9333740904437429,2.7721852604966624e-10,1.2227192314936886,-0.9408553534964135,-0.5218189787581599,0.10902526734160507
0.0,0.01,25867,-0.2,-0.3,6.178580223592924,-1,94,0,0,0,-1,0,0.6647256373990424,0.9039918643973756,3.2547105749651077e-10,1.3324490732914231,-0.9236912999263621,-0.5203983925518604,0.11255428208614464
0.0,0.01,33786,-0.2,-0.3,0.43487774871260076,-1,112,0,0,0,-1,0,0.9172915551708901,0.9976496693409533,4.548610668689049e-10,1.6493678558643412,-1.002539023183508,-0.27099708737955286,0.07384803159540257
0.001,0.0,1000029,-0.2,-0.3,5.821696134717398,-1,77,0,0,0,-1,0,0.7350620630795622,0.9809926093232821,2.568887419733854e-10,1.1127280691813475,-1.0118347115849384,-0.4791075164664811,0.11082742043452683
0.001,0.0,1007948,-0.2,-0.3,3.9081490899904563,-1,59,0,0,0,-1,0,0.5426466893394575,0.8079036391320238,1.6377347937881516e-10,0.8328964873765253,-0.8378152567390925,-0.5219835829949712,0.007892176047957722
0.001,0.0,1015867,-0.2,-0.3,4.751334297278048,-1,64,0,0,0,-1,0,0.6199860192854876,0.8826112933542445,2.0806820636796072e-10,0.9075738660915372,-0.9089515618175751,-0.5212405390016143,0.13214875852411445
0.001,0.0,1023786,-0.2,-0.3,1.3726549716496235,-1,62,0,0,0,-1,0,0.5603685265064487,0.8239876218004589,2.080675464330729e-10,0.8924047803820516,-0.8528836187390597,-0.5218605234933277,0.12296676615615616
0.001,0.01,1010029,-0.2,-0.3,0.25482977215761426,-1,80,0,0,0,-1,0,0.5852848841841068,0.8390921981813141,2.2668696429332096e-10,1.1602578815994593,-0.8634956092296807,-0.5229056799372388,0.1114390353023071
0.001,0.01,1017948,-0.2,-0.3,2.2064654577598266,-1,92,0,0,0,-1,0,0.8211510047052109,0.9915973473103619,3.699933016134375e-10,1.3625827125332592,-1.0027449489306057,-0.45691037019338837,0.02057860337148961
0.001,0.01,1025867,-0.2,-0.3,4.754214507598479,-1,108,0,0,0,-1,0,0.7862453307129451,0.9565682633259903,3.752087644700543e-10,1.508560510465123,-0.9620488846805783,-0.5245525634937422,0.08589049634008396
