# generated_by: experiments/mc_sweep_oecs.py
# git_commit: 17a2c72
# date: 2026-07-09 23:00 UTC
# trials_per_cell: 1000  steps: 500  controller: oecs_trap_step (core-seek)
# g_perp: 1.0  s_trim: 0.05  s_capture: -0.9  target: (0.0, 0.5)
# start: (0.0, 0.35)  band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,success_core,success_band,success_straddle,track_mean,track_p95
0.0,0.0,1.0000,1.0000,1.0000,0.00801,0.01135
0.0,0.005,0.9860,0.9250,0.9220,0.01939,0.03367
0.0,0.01,0.9430,0.9340,0.7490,0.02817,0.04999
0.0,0.02,0.8760,0.9540,0.5350,0.03857,0.07141
0.0,0.05,0.7960,0.9650,0.3340,0.05335,0.10170
0.001,0.0,1.0000,0.9870,0.9980,0.01213,0.02108
0.001,0.005,0.9840,0.9290,0.9020,0.01985,0.03455
0.001,0.01,0.9460,0.9240,0.7430,0.02814,0.05047
0.001,0.02,0.8880,0.9530,0.5330,0.03905,0.07151
0.001,0.05,0.8120,0.9600,0.3680,0.05027,0.09495
0.005,0.0,0.9770,0.9370,0.8940,0.02046,0.03589
0.005,0.005,0.9580,0.9210,0.8290,0.02414,0.04239
0.005,0.01,0.9350,0.9390,0.7220,0.02934,0.05305
0.005,0.02,0.8710,0.9460,0.5110,0.03887,0.07174
0.005,0.05,0.8000,0.9640,0.3560,0.05211,0.09973
0.01,0.0,0.9430,0.9330,0.7190,0.02921,0.05259
0.01,0.005,0.9270,0.9390,0.6730,0.03158,0.05758
0.01,0.01,0.8980,0.9310,0.6250,0.03409,0.06176
0.01,0.02,0.8540,0.9590,0.4810,0.04033,0.07655
0.01,0.05,0.8040,0.9670,0.3450,0.05189,0.09836
0.02,0.0,0.8460,0.9580,0.4830,0.04179,0.07778
0.02,0.005,0.8600,0.9440,0.5120,0.04087,0.07558
0.02,0.01,0.8490,0.9630,0.4410,0.04390,0.08230
0.02,0.02,0.8050,0.9580,0.4020,0.04725,0.08851
0.02,0.05,0.7500,0.9600,0.3190,0.05645,0.10766
0.05,0.0,0.7060,0.9640,0.2710,0.06249,0.11917
0.05,0.005,0.7020,0.9650,0.2810,0.06265,0.11865
0.05,0.01,0.6780,0.9600,0.2840,0.06722,0.12522
0.05,0.02,0.6850,0.9640,0.2680,0.06503,0.12302
0.05,0.05,0.6530,0.9640,0.2250,0.06945,0.13060
0.1,0.0,0.5190,0.9630,0.1890,0.08459,0.16200
0.1,0.005,0.4810,0.9690,0.1860,0.08641,0.16578
0.1,0.01,0.5390,0.9690,0.1990,0.08381,0.15969
0.1,0.02,0.5130,0.9690,0.1740,0.08709,0.16595
0.1,0.05,0.5040,0.9790,0.1670,0.08905,0.16984
0.2,0.0,0.4010,0.9750,0.1370,0.09998,0.19131
0.2,0.005,0.4090,0.9740,0.1630,0.09223,0.17814
0.2,0.01,0.3770,0.9780,0.1380,0.09693,0.18778
0.2,0.02,0.4260,0.9720,0.1790,0.09431,0.17953
0.2,0.05,0.4260,0.9670,0.1540,0.09575,0.18078
0.4,0.0,0.3650,0.9700,0.1390,0.09882,0.18923
0.4,0.005,0.3560,0.9730,0.1240,0.09852,0.18830
0.4,0.01,0.3690,0.9730,0.1430,0.10184,0.19386
0.4,0.02,0.3800,0.9700,0.1480,0.09968,0.18907
0.4,0.05,0.3650,0.9760,0.1390,0.09934,0.18974
0.8,0.0,0.3450,0.9850,0.1420,0.10171,0.19382
0.8,0.005,0.3550,0.9690,0.1450,0.09956,0.18901
0.8,0.01,0.3400,0.9830,0.1400,0.10106,0.19482
0.8,0.02,0.3710,0.9760,0.1510,0.09905,0.19169
0.8,0.05,0.3630,0.9730,0.1480,0.10288,0.19398
