# generated_by: experiments/mc_sweep_oecs.py
# git_commit: 17a2c72
# date: 2026-07-09 23:00 UTC
# trials_per_cell: 1000  steps: 500  controller: oecs_trap_step (core-seek)
# g_perp: 1.0  s_trim: 0.05  s_capture: -0.9  target: (0.0, 0.5)
# start: (0.0, 0.35)  band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y
0,0,126704,0,0.35,3.74207,0,10,1,1,1,0,0,0.00188234,0.00270601,8.08805e-13,0.121569,-0.00194013,0.442791
0,0,134623,0,0.35,4.92419,0,10,1,1,1,0,0,0.00642076,0.00914737,8.08774e-13,0.131332,-0.00711123,0.442791
0,0,142542,0,0.35,0.569046,0,10,1,1,1,0,0,0.00382022,0.00536761,8.08784e-13,0.125596,0.00403383,0.442791
0,0,150461,0,0.35,3.40193,0,10,1,1,1,0,0,0.01171,0.0164785,8.08777e-13,0.142241,-0.0132914,0.44279
0,0,158380,0,0.35,5.18493,0,10,1,1,1,0,0,0.00903763,0.0129056,8.08775e-13,0.136613,0.0102466,0.442791
0,0,166299,0,0.35,1.27104,0,10,1,1,1,0,0,0.000979119,0.00141471,8.08775e-13,0.120448,0.00100029,0.442791
0,0,174218,0,0.35,2.7105,0,10,1,1,1,0,0,0.0104039,0.0147967,8.08795e-13,0.139435,0.0118034,0.44279
0,0,182137,0,0.35,6.19911,0,10,1,1,1,0,0,0.00540648,0.00765059,8.08785e-13,0.129059,-0.00589945,0.442791
0,0,190056,0,0.35,6.27394,0,10,1,1,1,0,0,0.000628819,0.000909575,8.08775e-13,0.120187,-0.000641111,0.442791
0,0,197975,0,0.35,0.433034,0,10,1,1,1,0,0,0.0102095,0.01448,8.08776e-13,0.139142,0.0116857,0.44279
0,0,205894,0,0.35,1.71535,0,10,1,1,1,0,0,0.00932288,0.0132358,8.08776e-13,0.137332,0.0106666,0.442791
0,0,213813,0,0.35,3.30573,0,10,1,1,1,0,0,0.00911365,0.0129357,8.08786e-13,0.136918,-0.0104191,0.442791
0,0,221732,0,0.35,4.51846,0,10,1,1,1,0,0,0.00718917,0.0101768,8.08773e-13,0.133197,-0.0080716,0.442791
0,0,229651,0,0.35,2.38609,0,10,1,1,1,0,0,0.00767228,0.0109607,8.08778e-13,0.133919,-0.00862048,0.442791
0,0,237570,0,0.35,1.42951,0,10,1,1,1,0,0,0.00959199,0.0136877,8.08794e-13,0.137736,0.0108887,0.442791
0,0,245489,0,0.35,4.19055,0,10,1,1,1,0,0,0.0105793,0.0149812,8.08792e-13,0.139916,0.0120955,0.44279
0,0,253408,0,0.35,1.66764,0,10,1,1,1,0,0,0.0108402,0.0153264,8.088e-13,0.140463,0.012379,0.44279
0,0,261327,0,0.35,5.3726,0,10,1,1,1,0,0,0.0119685,0.0169113,8.08806e-13,0.142735,0.0135497,0.44279
0,0,269246,0,0.35,2.72309,0,10,1,1,1,0,0,0.0107631,0.0152686,8.08795e-13,0.140199,0.0121988,0.44279
0,0,277165,0,0.35,2.3717,0,10,1,1,1,0,0,0.00833085,0.011894,8.08817e-13,0.135216,-0.00941067,0.442791
0,0,285084,0,0.35,4.55036,0,10,1,1,1,0,0,0.00863049,0.0122369,8.08794e-13,0.135979,-0.00983935,0.442791
0,0,293003,0,0.35,4.60916,0,10,1,1,1,0,0,0.0106702,0.0151023,8.08815e-13,0.140106,-0.0121947,0.44279
0,0,300922,0,0.35,3.90049,0,10,1,1,1,0,0,0.00783218,0.0111887,8.08798e-13,0.134236,0.00881298,0.442791
0,0,308841,0,0.35,3.01758,0,10,1,1,1,0,0,0.00737174,0.0104412,8.08821e-13,0.133559,0.00829673,0.442791
0,0,316760,0,0.35,4.37768,0,10,1,1,1,0,0,0.00135667,0.00195227,8.08811e-13,0.120888,0.00137267,0.442791
0,0,324679,0,0.35,0.052358,0,10,1,1,1,0,0,0.00348242,0.00492218,8.08835e-13,0.124643,0.00367787,0.442791
0,0,332598,0,0.35,6.19887,0,10,1,1,1,0,0,0.00542033,0.0076711,8.08791e-13,0.129091,-0.00591584,0.442791
0,0,340517,0,0.35,5.70624,0,10,1,1,1,0,0,0.00333264,0.00471383,8.08782e-13,0.124492,-0.00348411,0.442791
0,0,348436,0,0.35,0.78643,0,10,1,1,1,0,0,0.00887529,0.0125917,8.08792e-13,0.136452,-0.0101344,0.442791
0,0,356355,0,0.35,3.055,0,10,1,1,1,0,0,0.00542406,0.00758157,8.08823e-13,0.12937,0.00591538,0.442791
0,0,364274,0,0.35,5.19467,0,10,1,1,1,0,0,0.00941566,0.0134407,8.08799e-13,0.137375,0.0106859,0.442791
0,0,372193,0,0.35,3.8902,0,10,1,1,1,0,0,0.00733914,0.0104827,8.08769e-13,0.133252,0.00821873,0.442791
0,0,0,0,0.35,4.00215,0,10,1,1,1,0,0,0.0112986,0.0159444,8.08798e-13,0.141334,0.0127806,0.44279
0,0,7919,0,0.35,3.90662,0,10,1,1,1,0,0,0.00811378,0.0115881,8.08798e-13,0.13479,0.00915108,0.442791
0,0,15838,0,0.35,0.467598,0,10,1,1,1,0,0,0.00897943,0.0127423,8.08783e-13,0.136655,0.0102592,0.442791
0,0,23757,0,0.35,4.00528,0,10,1,1,1,0,0,0.0113626,0.0160227,8.08791e-13,0.141468,0.0128498,0.44279
0,0,31676,0,0.35,5.6229,0,10,1,1,1,0,0,0.00209996,0.00300765,8.0879e-13,0.122013,0.00214636,0.442791
0,0,39595,0,0.35,4.48403,0,10,1,1,1,0,0,0.00537964,0.00751574,8.08792e-13,0.129267,-0.005862,0.442791
0,0,47514,0,0.35,2.77224,0,10,1,1,1,0,0,0.0117615,0.0166117,8.08799e-13,0.142287,0.0132806,0.44279
0,0,55433,0,0.35,4.39601,0,10,1,1,1,0,0,0.00014697,0.000212194,8.08786e-13,0.120011,0.000147555,0.442791
0,0,63352,0,0.35,1.67358,0,10,1,1,1,0,0,0.0106825,0.0151186,8.08802e-13,0.140132,0.0122081,0.44279
0,0,71271,0,0.35,4.22858,0,10,1,1,1,0,0,0.00932441,0.013238,8.088e-13,0.137335,0.0106684,0.442791
0,0,79190,0,0.35,0.229004,0,10,1,1,1,0,0,0.0112296,0.0158594,8.08768e-13,0.141188,0.0127058,0.44279
0,0,87109,0,0.35,3.23207,0,10,1,1,1,0,0,0.00564047,0.00790222,8.08802e-13,0.12987,-0.00617627,0.442791
0,0,95028,0,0.35,5.63328,0,10,1,1,1,0,0,0.00142475,0.00204954,8.08785e-13,0.120975,0.00144268,0.442791
0,0,102947,0,0.35,5.40967,0,10,1,1,1,0,0,0.0114587,0.0161123,8.08785e-13,0.14174,0.0130334,0.44279
0,0,110866,0,0.35,4.86266,0,10,1,1,1,0,0,0.00925492,0.0132141,8.08773e-13,0.137049,-0.0104999,0.442791
0,0,118785,0,0.35,5.82208,0,10,1,1,1,0,0,0.00923177,0.0131054,8.0879e-13,0.137151,-0.0105592,0.442791
0,0,380112,0,0.35,5.15873,0,10,1,1,1,0,0,0.00790627,0.0112941,8.08799e-13,0.134382,0.00890205,0.442791
0,0,388031,0,0.35,2.07657,0,10,1,1,1,0,0,0.0100924,0.0143188,8.08831e-13,0.138899,-0.0115541,0.44279
0,0,395950,0,0.35,5.87084,0,10,1,1,1,0,0,0.0108049,0.0152801,8.08809e-13,0.140389,-0.0123409,0.44279
0,0,403869,0,0.35,0.559812,0,10,1,1,1,0,0,0.00437735,0.00609577,8.0882e-13,0.126901,0.00467561,0.442791
0,0,411788,0,0.35,2.67487,0,10,1,1,1,0,0,0.00916484,0.0130865,8.08811e-13,0.136868,0.0103951,0.442791
