# generated_by: experiments/mc_sweep_ow.py
# git_commit: 148df0a
# date: 2026-07-16 21:21 UTC
# trials_per_cell: 10000  steps: 500  controller: logic_g_newton_contour_pentagon
# start_mode: fixed  fixed_start: (-0.5, 0.25)
# D_on: 0.02  D_stay: 0.1  collapse_rms: 0.3
sigma_uv,sigma_p,success_track,d_mean,d_p95
0.0,0.0,1.0000,0.00078,0.00512
0.0,0.005,1.0000,0.00348,0.01004
0.0,0.01,0.9998,0.00624,0.01763
0.0,0.02,0.9861,0.01284,0.03895
0.0,0.05,0.0955,0.14232,0.41367
0.001,0.0,1.0000,0.00290,0.00847
0.001,0.005,1.0000,0.00429,0.01218
0.001,0.01,1.0000,0.00672,0.01897
0.001,0.02,0.9801,0.01338,0.04081
0.001,0.05,0.0889,0.14138,0.41025
0.005,0.0,0.9456,0.01544,0.04810
0.005,0.005,0.9360,0.01618,0.05111
0.005,0.01,0.9074,0.01855,0.06068
0.005,0.02,0.7123,0.02885,0.10067
0.005,0.05,0.0912,0.14964,0.42220
0.01,0.0,0.2081,0.05312,0.17732
0.01,0.005,0.1942,0.05439,0.18039
0.01,0.01,0.1727,0.05878,0.19620
0.01,0.02,0.1288,0.07838,0.25830
0.01,0.05,0.0772,0.16821,0.45175
0.02,0.0,0.0826,0.13981,0.39627
0.02,0.005,0.0824,0.14159,0.40151
0.02,0.01,0.0781,0.14562,0.40905
0.02,0.02,0.0785,0.15788,0.43302
0.02,0.05,0.0683,0.19052,0.48076
0.05,0.0,0.0592,0.21622,0.50980
0.05,0.005,0.0560,0.21559,0.51539
0.05,0.01,0.0525,0.21635,0.51010
0.05,0.02,0.0586,0.21772,0.51011
0.05,0.05,0.0545,0.22277,0.51322
0.1,0.0,0.0443,0.21971,0.48934
0.1,0.005,0.0419,0.22149,0.49614
0.1,0.01,0.0431,0.21974,0.49152
0.1,0.02,0.0378,0.22269,0.49836
0.1,0.05,0.0471,0.21883,0.48359
