# generated_by: experiments/mc_sweep_ow.py
# git_commit: 16a1a35
# date: 2026-07-03 10:36 UTC
# trials_per_cell: 1000  steps: 500  controller: logic_g_newton_contour_pentagon
# start_mode: fixed  fixed_start: (-0.5, 0.25)
# D_on: 0.02  D_stay: 0.1  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_lock,steps,success_track,exited_domain,collapsed,d_mean,d_p95,shape_rms_max,effort,final_x,final_y
0,0,253425,-0.5,0.25,5.00179,22,115,1,1,0,0.000789402,0.00507344,5.07445e-10,1.43879,0.520597,-0.520548
0,0,261344,-0.5,0.25,0.0984193,22,116,1,1,0,0.000743828,0.00526567,5.07454e-10,1.4507,0.526755,-0.526736
0,0,269263,-0.5,0.25,1.63595,22,116,1,1,0,0.000796089,0.00549567,5.07446e-10,1.45084,0.525492,-0.525563
0,0,277182,-0.5,0.25,2.42333,22,115,1,1,0,0.000802823,0.00495988,5.07425e-10,1.43887,0.521903,-0.521845
0,0,285101,-0.5,0.25,6.27106,22,115,1,1,0,0.000786059,0.00509635,5.07541e-10,1.43877,0.520342,-0.520295
0,0,293020,-0.5,0.25,0.494175,22,116,1,1,0,0.000808856,0.00540675,5.07415e-10,1.45098,0.527185,-0.527245
0,0,300939,-0.5,0.25,5.7738,22,115,1,1,0,0.000760127,0.00490526,5.07495e-10,1.43926,0.523765,-0.523777
0,0,308858,-0.5,0.25,5.15012,22,116,1,1,0,0.000737953,0.0053049,5.07339e-10,1.45069,0.526359,-0.526348
0,0,316777,-0.5,0.25,1.9843,22,115,1,1,0,0.000767327,0.00494707,5.0734e-10,1.43924,0.523454,-0.523472
0,0,324696,-0.5,0.25,0.733229,22,115,1,1,0,0.000765266,0.00493492,5.07487e-10,1.43925,0.523545,-0.523562
0,0,332615,-0.5,0.25,4.09066,22,116,1,1,0,0.000779817,0.00549578,5.07401e-10,1.45078,0.525117,-0.525155
0,0,340534,-0.5,0.25,5.4363,22,116,1,1,0,0.000808708,0.00548343,5.07494e-10,1.45087,0.525826,-0.525887
0,0,348453,-0.5,0.25,5.38786,22,116,1,1,0,0.000791004,0.00549895,5.07485e-10,1.45082,0.525356,-0.525384
0,0,356372,-0.5,0.25,5.06403,22,116,1,1,0,0.000763063,0.00516413,5.07434e-10,1.45073,0.527847,-0.527812
0,0,364291,-0.5,0.25,1.28531,22,116,1,1,0,0.000765893,0.00514901,5.07523e-10,1.45074,0.528017,-0.52798
0,0,372210,-0.5,0.25,1.62108,22,116,1,1,0,0.000791694,0.0054986,5.07457e-10,1.45082,0.525387,-0.525403
0,0,380129,-0.5,0.25,1.08056,22,115,1,1,0,0.000809066,0.00483161,5.07395e-10,1.439,0.523443,-0.523381
0,0,388048,-0.5,0.25,6.03615,22,115,1,1,0,0.000803654,0.00473969,5.07382e-10,1.43911,0.524384,-0.524326
0,0,395967,-0.5,0.25,2.24738,22,115,1,1,0,0.000800679,0.0047239,5.07493e-10,1.43914,0.524567,-0.524511
0,0,403886,-0.5,0.25,2.77577,22,116,1,1,0,0.000760452,0.0054669,5.07527e-10,1.45073,0.52509,-0.525116
0,0,411805,-0.5,0.25,4.6865,22,115,1,1,0,0.000785919,0.00470285,5.07401e-10,1.43922,0.52496,-0.524917
0,0,419724,-0.5,0.25,0.556176,22,115,1,1,0,0.000813358,0.00532395,5.07551e-10,1.43906,0.51996,-0.520016
0,0,427643,-0.5,0.25,5.61859,22,115,1,1,0,0.000807515,0.00525677,5.07522e-10,1.43911,0.520737,-0.520787
0,0,435562,-0.5,0.25,0.922163,22,115,1,1,0,0.000787201,0.00470203,5.07352e-10,1.43922,0.524949,-0.524905
0,0,443481,-0.5,0.25,3.71628,22,115,1,1,0,0.000796183,0.00502189,5.07207e-10,1.43882,0.521181,-0.521128
0,0,451400,-0.5,0.25,4.94765,22,115,1,1,0,0.000801039,0.00497831,5.07421e-10,1.43886,0.521686,-0.521629
0,0,459319,-0.5,0.25,0.253415,22,116,1,1,0,0.000757214,0.00545999,5.07437e-10,1.45072,0.525118,-0.525141
0,0,467238,-0.5,0.25,5.09021,22,116,1,1,0,0.000754691,0.00520859,5.07483e-10,1.45071,0.527358,-0.52733
0,0,475157,-0.5,0.25,1.9552,22,115,1,1,0,0.000777688,0.00501351,5.07382e-10,1.43922,0.522942,-0.522969
0,0,483076,-0.5,0.25,2.91362,22,116,1,1,0,0.000802741,0.00548811,5.07388e-10,1.45086,0.525719,-0.52578
0,0,490995,-0.5,0.25,5.18835,22,116,1,1,0,0.000732429,0.00535992,5.07504e-10,1.45069,0.52584,-0.525842
0,0,498914,-0.5,0.25,4.32015,22,116,1,1,0,0.00080575,0.00532513,5.07445e-10,1.45105,0.528319,-0.528375
0,0,17,-0.5,0.25,5.30976,22,116,1,1,0,0.000767669,0.00548029,5.07473e-10,1.45075,0.525059,-0.525089
0,0,7936,-0.5,0.25,0.656453,22,115,1,1,0,0.000791336,0.00511567,5.07544e-10,1.43918,0.522115,-0.522152
0,0,15855,-0.5,0.25,4.99572,22,115,1,1,0,0.000790929,0.0050625,5.0752e-10,1.43879,0.52072,-0.52067
0,0,23774,-0.5,0.25,0.391938,22,116,1,1,0,0.0007996,0.00549161,5.07576e-10,1.45085,0.525625,-0.525688
0,0,31693,-0.5,0.25,1.5154,22,116,1,1,0,0.000759126,0.00546413,5.07269e-10,1.45073,0.525101,-0.525125
0,0,39612,-0.5,0.25,2.82856,22,116,1,1,0,0.000778144,0.00549426,5.07412e-10,1.45077,0.525099,-0.525137
0,0,47531,-0.5,0.25,1.05518,22,115,1,1,0,0.000808213,0.00479331,5.07448e-10,1.43904,0.523822,-0.523761
0,0,55450,-0.5,0.25,5.94191,22,115,1,1,0,0.000785634,0.00470307,5.0749e-10,1.43922,0.524962,-0.524919
0,0,63369,-0.5,0.25,3.67668,22,115,1,1,0,0.000803313,0.00495447,5.074e-10,1.43888,0.521967,-0.521909
0,0,71288,-0.5,0.25,5.90727,22,115,1,1,0,0.000777195,0.0047175,5.07265e-10,1.43925,0.52495,-0.524917
0,0,79207,-0.5,0.25,1.7658,22,116,1,1,0,0.000808682,0.00538707,5.0756e-10,1.451,0.527474,-0.527534
0,0,87126,-0.5,0.25,1.23738,22,115,1,1,0,0.000787976,0.00508339,5.07306e-10,1.43878,0.520486,-0.520438
0,0,95045,-0.5,0.25,1.41496,22,116,1,1,0,0.00073504,0.00535518,5.07522e-10,1.45069,0.525879,-0.525879
0,0,102964,-0.5,0.25,3.34222,22,115,1,1,0,0.000761898,0.00476705,5.07462e-10,1.43927,0.524699,-0.524684
0,0,110883,-0.5,0.25,2.4766,22,115,1,1,0,0.00079235,0.005052,5.07544e-10,1.4388,0.520838,-0.520787
0,0,118802,-0.5,0.25,1.99507,22,115,1,1,0,0.000763367,0.00492376,5.07304e-10,1.43925,0.523628,-0.523643
