# generated_by: experiments/mc_sweep_separatrix.py
# git_commit: 148df0a
# date: 2026-07-16 19:17 UTC
# trials_per_cell: 10000  steps: 500  controller: separatrix_logic_c_step
# start_mode: fixed  fixed_start: (0.0, 0.35)  start_box: (-0.8, 0.8, -0.4, 0.4)
# band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,success_traverse,success_band,success_straddle,track_mean,track_p95
0.0,0.0,1.0000,1.0000,1.0000,0.00159,0.00390
0.0,0.005,0.6568,1.0000,0.6385,0.05822,0.19028
0.0,0.01,0.4450,1.0000,0.4120,0.09403,0.29899
0.0,0.02,0.3333,0.9999,0.3090,0.12619,0.38808
0.0,0.05,0.1900,0.9887,0.1721,0.20003,0.54437
0.001,0.0,0.9955,1.0000,0.9955,0.00629,0.01901
0.001,0.005,0.6321,1.0000,0.6117,0.06073,0.19838
0.001,0.01,0.4562,1.0000,0.4212,0.09423,0.29992
0.001,0.02,0.3289,0.9998,0.3044,0.12722,0.39126
0.001,0.05,0.1913,0.9887,0.1731,0.19989,0.54128
0.005,0.0,0.6242,1.0000,0.5893,0.05605,0.18087
0.005,0.005,0.5213,1.0000,0.4800,0.07336,0.23584
0.005,0.01,0.4348,1.0000,0.3908,0.09300,0.29298
0.005,0.02,0.3121,0.9997,0.2850,0.12795,0.39075
0.005,0.05,0.1941,0.9834,0.1781,0.20252,0.54396
0.01,0.0,0.4369,0.9997,0.3886,0.08827,0.27432
0.01,0.005,0.4067,0.9996,0.3653,0.09563,0.29599
0.01,0.01,0.3703,0.9993,0.3338,0.10646,0.32683
0.01,0.02,0.2879,0.9975,0.2629,0.13905,0.41164
0.01,0.05,0.1870,0.9772,0.1689,0.20971,0.55804
0.02,0.0,0.2551,0.9903,0.2200,0.16275,0.45334
0.02,0.005,0.2570,0.9899,0.2214,0.16193,0.45165
0.02,0.01,0.2429,0.9916,0.2076,0.16767,0.46419
0.02,0.02,0.2264,0.9844,0.1983,0.18392,0.49892
0.02,0.05,0.1700,0.9568,0.1505,0.22614,0.58368
0.05,0.0,0.1598,0.9314,0.1355,0.24106,0.60653
0.05,0.005,0.1625,0.9346,0.1385,0.24129,0.60577
0.05,0.01,0.1577,0.9328,0.1322,0.24178,0.60718
0.05,0.02,0.1614,0.9325,0.1351,0.24091,0.60317
0.05,0.05,0.1490,0.9212,0.1226,0.25025,0.62282
0.1,0.0,0.1412,0.9158,0.1151,0.26314,0.63393
0.1,0.005,0.1407,0.9139,0.1138,0.26119,0.63094
0.1,0.01,0.1428,0.9157,0.1139,0.25959,0.62822
0.1,0.02,0.1461,0.9183,0.1140,0.25850,0.62350
0.1,0.05,0.1363,0.9156,0.1078,0.26585,0.63642
0.2,0.0,0.1352,0.9919,0.0682,0.27965,0.62800
0.2,0.005,0.1243,0.9911,0.0627,0.28083,0.63319
0.2,0.01,0.1276,0.9909,0.0660,0.28230,0.63364
0.2,0.02,0.1275,0.9919,0.0680,0.28067,0.63011
0.2,0.05,0.1242,0.9932,0.0649,0.28243,0.63263
0.4,0.0,0.1207,0.9973,0.0175,0.21782,0.54807
0.4,0.005,0.1225,0.9969,0.0161,0.21860,0.54900
0.4,0.01,0.1205,0.9970,0.0178,0.21817,0.54764
0.4,0.02,0.1233,0.9969,0.0186,0.21740,0.54664
0.4,0.05,0.1195,0.9966,0.0172,0.21470,0.54083
0.8,0.0,0.0478,0.9969,0.0010,0.11048,0.25735
0.8,0.005,0.0537,0.9968,0.0013,0.10858,0.25397
0.8,0.01,0.0509,0.9969,0.0009,0.10907,0.25531
0.8,0.02,0.0538,0.9963,0.0017,0.10840,0.25336
0.8,0.05,0.0516,0.9966,0.0012,0.10607,0.24716
