# generated_by: experiments/mc_sweep_oecs.py
# git_commit: 148df0a
# date: 2026-07-16 22:11 UTC
# trials_per_cell: 10000  steps: 500  controller: oecs_trap_step (core-seek)
# g_perp: 1.0  s_trim: 0.05  s_capture: -0.9  target: (0.0, 0.5)
# start: (0.0, 0.35)  band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,success_core,success_band,success_straddle,track_mean,track_p95
0.0,0.0,1.0000,1.0000,1.0000,0.00792,0.01121
0.0,0.005,0.9812,0.9335,0.9040,0.01958,0.03421
0.0,0.01,0.9410,0.9309,0.7414,0.02834,0.05086
0.0,0.02,0.8786,0.9457,0.5343,0.03835,0.07086
0.0,0.05,0.7939,0.9636,0.3357,0.05259,0.10004
0.001,0.0,0.9999,0.9847,0.9969,0.01199,0.02091
0.001,0.005,0.9813,0.9304,0.9022,0.01991,0.03484
0.001,0.01,0.9450,0.9315,0.7489,0.02806,0.05026
0.001,0.02,0.8784,0.9428,0.5349,0.03850,0.07082
0.001,0.05,0.7981,0.9602,0.3409,0.05206,0.09856
0.005,0.0,0.9776,0.9269,0.8904,0.02061,0.03623
0.005,0.005,0.9631,0.9261,0.8244,0.02406,0.04275
0.005,0.01,0.9314,0.9372,0.7046,0.03001,0.05431
0.005,0.02,0.8705,0.9469,0.5247,0.03903,0.07195
0.005,0.05,0.7862,0.9607,0.3361,0.05216,0.09915
0.01,0.0,0.9359,0.9363,0.7121,0.02964,0.05346
0.01,0.005,0.9283,0.9385,0.6797,0.03104,0.05617
0.01,0.01,0.9056,0.9434,0.6223,0.03413,0.06231
0.01,0.02,0.8556,0.9477,0.4909,0.04105,0.07641
0.01,0.05,0.7881,0.9612,0.3375,0.05273,0.09976
0.02,0.0,0.8661,0.9517,0.4969,0.04090,0.07588
0.02,0.005,0.8601,0.9492,0.4914,0.04163,0.07731
0.02,0.01,0.8499,0.9524,0.4697,0.04287,0.07995
0.02,0.02,0.8196,0.9555,0.4197,0.04671,0.08721
0.02,0.05,0.7611,0.9609,0.3178,0.05546,0.10509
0.05,0.0,0.6969,0.9639,0.2710,0.06388,0.12107
0.05,0.005,0.7010,0.9646,0.2731,0.06356,0.12050
0.05,0.01,0.6945,0.9606,0.2692,0.06475,0.12235
0.05,0.02,0.6927,0.9648,0.2690,0.06464,0.12232
0.05,0.05,0.6831,0.9626,0.2516,0.06696,0.12647
0.1,0.0,0.5126,0.9709,0.1859,0.08515,0.16229
0.1,0.005,0.4983,0.9709,0.1890,0.08513,0.16255
0.1,0.01,0.5061,0.9727,0.1869,0.08467,0.16168
0.1,0.02,0.5160,0.9713,0.1850,0.08495,0.16147
0.1,0.05,0.5301,0.9731,0.1942,0.08417,0.16010
0.2,0.0,0.3912,0.9742,0.1456,0.09752,0.18649
0.2,0.005,0.3947,0.9734,0.1484,0.09751,0.18636
0.2,0.01,0.3974,0.9768,0.1536,0.09574,0.18362
0.2,0.02,0.4092,0.9741,0.1555,0.09661,0.18419
0.2,0.05,0.4102,0.9738,0.1523,0.09670,0.18451
0.4,0.0,0.3571,0.9739,0.1416,0.10011,0.19188
0.4,0.005,0.3702,0.9734,0.1423,0.10042,0.19163
0.4,0.01,0.3619,0.9734,0.1438,0.10083,0.19221
0.4,0.02,0.3804,0.9743,0.1435,0.09867,0.18847
0.4,0.05,0.3681,0.9741,0.1457,0.10018,0.19155
0.8,0.0,0.3549,0.9764,0.1389,0.09989,0.19087
0.8,0.005,0.3598,0.9747,0.1422,0.10037,0.19186
0.8,0.01,0.3580,0.9753,0.1417,0.10203,0.19451
0.8,0.02,0.3690,0.9729,0.1436,0.10045,0.19149
0.8,0.05,0.3662,0.9746,0.1401,0.10032,0.19144
