# generated_by: experiments/mc_sweep_flip_resolution.py
# git_commit: 0e2e370
# date: 2026-07-24 22:07 UTC
# trials_per_cell: 500  sigma_p: 0.0  controller: oecs_separatrix_step (Primitive 11)
# target: single far saddle (0.0, -0.5), contact_d=0.06
sigma_uv,sigma_p,success_single_target,far_saddle_sign_rate,success_straddle
0.0015,0.0,0.686,0.686,0.446
0.002,0.0,0.442,0.442,0.238
0.0025,0.0,0.216,0.22,0.078
0.003,0.0,0.064,0.066,0.02
0.0035,0.0,0.014,0.014,0.004
0.004,0.0,0.004,0.004,0.0
0.0045,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0
0.006,0.0,0.0,0.0,0.0
0.007,0.0,0.0,0.0,0.0
0.008,0.0,0.0,0.002,0.0
