# generated_by: experiments/mc_sweep_flip_resolution_sigma_p.py
# git_commit: 0e2e370
# date: 2026-07-24 22:08 UTC
# trials_per_cell: 500  sigma_uv: 0.0  controller: oecs_separatrix_step (Primitive 11)
# target: single far saddle (0.0, -0.5), contact_d=0.06
sigma_uv,sigma_p,success_single_target,far_saddle_sign_rate,success_straddle
0.0,0.0005,0.998,0.998,0.998
0.0,0.001,0.934,0.934,0.912
0.0,0.0015,0.822,0.822,0.746
0.0,0.002,0.614,0.614,0.518
0.0,0.0025,0.442,0.442,0.302
0.0,0.003,0.26,0.264,0.154
0.0,0.0035,0.124,0.124,0.054
0.0,0.004,0.068,0.068,0.03
0.0,0.0045,0.036,0.038,0.012
0.0,0.005,0.01,0.014,0.002
