# generated_by: experiments/mc_sweep_oecs_traverse.py
# git_commit: 0e2e370
# date: 2026-07-24 22:04 UTC
# trials_per_cell: 500  steps: 500  controller: oecs_separatrix_step (Primitive 11)
# g_perp: 1.0  s_trim: 0.05  r_band: 0.05  g_capture: 0.15  target: [(0.0, 0.5), (0.0, -0.5)]
# start: (0.0, 0.35)  band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,success_capture,success_band,success_straddle,track_mean,track_p95
0.0,0.0,1.0000,1.0000,1.0000,0.00762,0.00913
0.0,0.005,0.8540,0.8520,0.4080,0.11881,0.21216
0.0,0.01,0.8160,0.7740,0.2040,0.13792,0.23770
0.0,0.02,0.7000,0.7840,0.0920,0.16175,0.28341
0.0,0.05,0.5220,0.8280,0.0600,0.19099,0.33541
0.001,0.0,0.9960,1.0000,0.7900,0.02070,0.05145
0.001,0.005,0.8500,0.8300,0.3520,0.11625,0.21199
0.001,0.01,0.8320,0.8040,0.2100,0.12429,0.21733
0.001,0.02,0.6820,0.7860,0.0860,0.16080,0.28157
0.001,0.05,0.5660,0.8540,0.0520,0.18176,0.31945
0.005,0.0,0.9080,0.8480,0.3900,0.08780,0.15554
0.005,0.005,0.8640,0.7920,0.2900,0.11714,0.19531
0.005,0.01,0.7920,0.8060,0.1880,0.12613,0.22337
0.005,0.02,0.7100,0.8540,0.1180,0.14372,0.25388
0.005,0.05,0.5440,0.8360,0.0640,0.18740,0.32073
0.01,0.0,0.7760,0.7840,0.2020,0.14509,0.24179
0.01,0.005,0.7800,0.7980,0.1700,0.13737,0.23284
0.01,0.01,0.7120,0.7980,0.1240,0.15730,0.26252
0.01,0.02,0.6920,0.8300,0.1060,0.15908,0.27235
0.01,0.05,0.5260,0.8420,0.0500,0.19463,0.33686
0.02,0.0,0.6340,0.8240,0.1100,0.17033,0.29454
0.02,0.005,0.6540,0.8180,0.1080,0.16840,0.29000
0.02,0.01,0.6060,0.8080,0.0840,0.18441,0.31116
0.02,0.02,0.5780,0.8260,0.0840,0.19290,0.32661
0.02,0.05,0.5020,0.8280,0.0680,0.19045,0.32936
0.05,0.0,0.4920,0.8220,0.0700,0.19769,0.32794
0.05,0.005,0.4840,0.8260,0.0560,0.19370,0.33519
0.05,0.01,0.4760,0.8560,0.0700,0.18168,0.32080
0.05,0.02,0.4580,0.8400,0.0620,0.19987,0.34688
0.05,0.05,0.4720,0.8540,0.0620,0.18602,0.33010
0.1,0.0,0.3840,0.8520,0.0560,0.19100,0.33513
0.1,0.005,0.3860,0.8640,0.0580,0.18950,0.33029
0.1,0.01,0.3700,0.8500,0.0440,0.19577,0.34159
0.1,0.02,0.3720,0.8620,0.0460,0.19362,0.33743
0.1,0.05,0.4180,0.8760,0.0560,0.18351,0.32226
0.2,0.0,0.3440,0.8960,0.0820,0.18383,0.32976
0.2,0.005,0.3900,0.8920,0.0680,0.17284,0.30953
0.2,0.01,0.3760,0.8780,0.0760,0.16993,0.30323
0.2,0.02,0.3560,0.8860,0.0520,0.17319,0.30995
0.2,0.05,0.4020,0.9040,0.0900,0.16258,0.29392
0.4,0.0,0.3800,0.9080,0.0840,0.15699,0.28760
0.4,0.005,0.3500,0.8900,0.0760,0.16582,0.30000
0.4,0.01,0.3840,0.9000,0.0980,0.15540,0.28562
0.4,0.02,0.3800,0.9060,0.0980,0.15769,0.29187
0.4,0.05,0.4140,0.8900,0.1240,0.15725,0.28541
0.8,0.0,0.4100,0.9180,0.1300,0.14429,0.26733
0.8,0.005,0.3920,0.9060,0.1320,0.14593,0.26860
0.8,0.01,0.3900,0.8800,0.1080,0.14599,0.25988
0.8,0.02,0.4240,0.8760,0.1240,0.14798,0.26695
0.8,0.05,0.3920,0.9060,0.1100,0.15195,0.27464
