sigma_uv,sigma_p,success_single_target,success_either_saddle_OLD,far_saddle_sign_rate,success_straddle
0.0,0.0,1.0,1.0,1.0,1.0
0.0,0.005,0.012,0.854,0.012,0.008
0.0,0.01,0.0,0.816,0.01,0.0
0.0,0.02,0.0,0.7,0.018,0.0
0.0,0.05,0.0,0.522,0.054,0.0
0.001,0.0,0.924,0.996,0.924,0.738
0.001,0.005,0.01,0.85,0.014,0.0
0.001,0.01,0.0,0.832,0.004,0.0
0.001,0.02,0.0,0.682,0.022,0.0
0.001,0.05,0.0,0.566,0.042,0.0
0.005,0.0,0.0,0.908,0.0,0.0
0.005,0.005,0.0,0.864,0.0,0.0
0.005,0.01,0.0,0.792,0.002,0.0
0.005,0.02,0.0,0.71,0.004,0.0
0.005,0.05,0.0,0.544,0.042,0.0
0.01,0.0,0.0,0.776,0.01,0.0
0.01,0.005,0.0,0.78,0.006,0.0
0.01,0.01,0.0,0.712,0.012,0.0
0.01,0.02,0.0,0.692,0.018,0.0
0.01,0.05,0.0,0.526,0.05,0.0
0.02,0.0,0.0,0.634,0.014,0.0
0.02,0.005,0.0,0.654,0.018,0.0
0.02,0.01,0.0,0.606,0.018,0.0
0.02,0.02,0.0,0.578,0.026,0.0
0.02,0.05,0.0,0.502,0.054,0.0
0.05,0.0,0.004,0.492,0.044,0.0
0.05,0.005,0.004,0.484,0.046,0.0
0.05,0.01,0.0,0.476,0.046,0.0
0.05,0.02,0.0,0.458,0.074,0.0
0.05,0.05,0.0,0.472,0.052,0.0
0.1,0.0,0.006,0.384,0.072,0.0
0.1,0.005,0.008,0.386,0.122,0.0
0.1,0.01,0.0,0.37,0.076,0.0
0.1,0.02,0.002,0.372,0.092,0.0
0.1,0.05,0.0,0.418,0.084,0.0
0.2,0.0,0.006,0.344,0.12,0.0
0.2,0.005,0.002,0.39,0.096,0.0
0.2,0.01,0.002,0.376,0.13,0.0
0.2,0.02,0.004,0.356,0.122,0.0
0.2,0.05,0.004,0.402,0.094,0.0
0.4,0.0,0.01,0.38,0.12,0.0
0.4,0.005,0.018,0.35,0.16,0.0
0.4,0.01,0.002,0.384,0.142,0.0
0.4,0.02,0.006,0.38,0.144,0.0
0.4,0.05,0.004,0.414,0.13,0.0
0.8,0.0,0.012,0.41,0.142,0.0
0.8,0.005,0.006,0.392,0.136,0.0
0.8,0.01,0.006,0.39,0.114,0.0
0.8,0.02,0.002,0.424,0.122,0.0
0.8,0.05,0.002,0.392,0.128,0.0
