# generated_by: experiments/mc_sweep_flip_resolution.py
# git_commit: fffd635
# date: 2026-07-25 10:51 UTC
# trials_per_cell: 10000  sigma_p: 0.0  controller: oecs_separatrix_step (Primitive 11)
# target: single far saddle (0.0, -0.5), contact_d=0.06
sigma_uv,sigma_p,success_single_target,far_saddle_sign_rate,success_straddle
0.0015,0.0,0.7148,0.7158,0.4758
0.002,0.0,0.4355,0.4376,0.2329
0.0025,0.0,0.2013,0.2027,0.0866
0.003,0.0,0.0669,0.0677,0.019
0.0035,0.0,0.0162,0.017,0.0041
0.004,0.0,0.0027,0.0035,0.0005
0.0045,0.0,0.0007,0.0012,0.0
0.005,0.0,0.0,0.0007,0.0
0.006,0.0,0.0,0.0012,0.0
0.007,0.0,0.0,0.0025,0.0
0.008,0.0,0.0001,0.0035,0.0
