# generated_by: experiments/mc_sweep_flip_resolution_sigma_p.py
# git_commit: fffd635
# date: 2026-07-25 10:56 UTC
# trials_per_cell: 10000  sigma_uv: 0.0  controller: oecs_separatrix_step (Primitive 11)
# target: single far saddle (0.0, -0.5), contact_d=0.06
sigma_uv,sigma_p,success_single_target,far_saddle_sign_rate,success_straddle
0.0,0.0005,0.9984,0.9985,0.9969
0.0,0.001,0.9367,0.9385,0.9119
0.0,0.0015,0.8166,0.8184,0.7404
0.0,0.002,0.6358,0.6373,0.5235
0.0,0.0025,0.4393,0.441,0.3196
0.0,0.003,0.2582,0.2597,0.1585
0.0,0.0035,0.137,0.1379,0.0741
0.0,0.004,0.066,0.0682,0.0287
0.0,0.0045,0.0289,0.03,0.0112
0.0,0.005,0.0149,0.0167,0.0047
