# generated_by: experiments/mc_sweep_oecs_traverse.py
# git_commit: bd6fd0f
# date: 2026-07-25 09:27 UTC
# trials_per_cell: 10000  steps: 500  controller: oecs_separatrix_step (Primitive 11)
# g_perp: 1.0  s_trim: 0.05  r_band: 0.05  g_capture: 0.15  target: [(0.0, 0.5), (0.0, -0.5)]
# start: (0.0, 0.35)  band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,success_capture,success_band,success_straddle,track_mean,track_p95
0.0,0.0,1.0000,1.0000,1.0000,0.00752,0.00901
0.0,0.005,0.8718,0.8646,0.4013,0.10921,0.19701
0.0,0.01,0.8086,0.7995,0.2093,0.13825,0.24052
0.0,0.02,0.7024,0.8037,0.1046,0.16443,0.28281
0.0,0.05,0.5497,0.8329,0.0679,0.18603,0.32259
0.001,0.0,0.9965,0.9999,0.7855,0.02018,0.05085
0.001,0.005,0.8696,0.8607,0.4012,0.11003,0.19844
0.001,0.01,0.8100,0.8049,0.2070,0.13946,0.24161
0.001,0.02,0.7044,0.8080,0.1048,0.16403,0.28118
0.001,0.05,0.5511,0.8371,0.0639,0.18425,0.32101
0.005,0.0,0.9086,0.8373,0.3733,0.09028,0.16062
0.005,0.005,0.8693,0.8173,0.2818,0.10891,0.19137
0.005,0.01,0.7994,0.7903,0.1781,0.13494,0.23266
0.005,0.02,0.6969,0.8145,0.1103,0.15999,0.27655
0.005,0.05,0.5514,0.8308,0.0669,0.18586,0.32160
0.01,0.0,0.7984,0.8050,0.1832,0.13050,0.22509
0.01,0.005,0.7798,0.8056,0.1578,0.13689,0.23653
0.01,0.01,0.7469,0.8033,0.1385,0.14646,0.25281
0.01,0.02,0.6812,0.8250,0.1009,0.16250,0.28099
0.01,0.05,0.5547,0.8306,0.0640,0.18535,0.31960
0.02,0.0,0.6533,0.8231,0.0900,0.16968,0.29196
0.02,0.005,0.6432,0.8157,0.0914,0.17038,0.29227
0.02,0.01,0.6337,0.8278,0.0897,0.17330,0.29817
0.02,0.02,0.6064,0.8344,0.0840,0.17701,0.30638
0.02,0.05,0.5174,0.8327,0.0639,0.19187,0.33221
0.05,0.0,0.4682,0.8365,0.0588,0.19476,0.33777
0.05,0.005,0.4715,0.8390,0.0587,0.19594,0.33999
0.05,0.01,0.4708,0.8429,0.0587,0.19181,0.33489
0.05,0.02,0.4667,0.8392,0.0628,0.19445,0.33694
0.05,0.05,0.4634,0.8443,0.0584,0.19251,0.33552
0.1,0.0,0.3806,0.8541,0.0562,0.19011,0.33462
0.1,0.005,0.3852,0.8513,0.0551,0.19447,0.34049
0.1,0.01,0.3747,0.8529,0.0542,0.19197,0.33601
0.1,0.02,0.3806,0.8611,0.0552,0.19378,0.34065
0.1,0.05,0.4025,0.8621,0.0635,0.18568,0.32658
0.2,0.0,0.3708,0.8858,0.0791,0.17247,0.31133
0.2,0.005,0.3677,0.8824,0.0770,0.17398,0.31251
0.2,0.01,0.3824,0.8759,0.0743,0.17105,0.30776
0.2,0.02,0.3789,0.8829,0.0804,0.17336,0.30945
0.2,0.05,0.3842,0.8857,0.0829,0.16904,0.30486
0.4,0.0,0.3926,0.8958,0.1081,0.15511,0.28275
0.4,0.005,0.3794,0.8931,0.1038,0.15844,0.28887
0.4,0.01,0.3867,0.8978,0.1050,0.15603,0.28556
0.4,0.02,0.3942,0.8992,0.1081,0.15606,0.28587
0.4,0.05,0.3898,0.8972,0.1046,0.15798,0.28773
0.8,0.0,0.4024,0.9129,0.1242,0.14661,0.27133
0.8,0.005,0.4042,0.9081,0.1266,0.14831,0.27336
0.8,0.01,0.3929,0.9055,0.1199,0.15002,0.27528
0.8,0.02,0.4012,0.9048,0.1192,0.14964,0.27447
0.8,0.05,0.4002,0.9064,0.1245,0.14637,0.27109
