# generated_by: experiments/rescore_single_target.py
# git_commit: ec262bf
# date: 2026-07-25 13:49 UTC
# rescored_from: experiments/outputs/mc_oecs_traverse/trials_fixed.csv  trials_per_cell: 10000
# target: single far saddle (0.0, -0.5), contact_d=0.06
sigma_uv,sigma_p,success_single_target,success_either_saddle_OLD,far_saddle_sign_rate,success_straddle
0.0,0.0,1.0,1.0,1.0,1.0
0.0,0.005,0.0129,0.8718,0.0144,0.0045
0.0,0.01,0.0001,0.8086,0.0054,0.0
0.0,0.02,0.0,0.7024,0.0138,0.0
0.0,0.05,0.0002,0.5497,0.0484,0.0
0.001,0.0,0.9177,0.9965,0.919,0.7318
0.001,0.005,0.011,0.8696,0.0124,0.0039
0.001,0.01,0.0001,0.81,0.0053,0.0
0.001,0.02,0.0002,0.7044,0.016,0.0
0.001,0.05,0.0006,0.5511,0.0508,0.0
0.005,0.0,0.0,0.9086,0.0007,0.0
0.005,0.005,0.0,0.8693,0.0013,0.0
0.005,0.01,0.0002,0.7994,0.0039,0.0
0.005,0.02,0.0,0.6969,0.016,0.0
0.005,0.05,0.0003,0.5514,0.0485,0.0
0.01,0.0,0.0002,0.7984,0.0058,0.0
0.01,0.005,0.0001,0.7798,0.0067,0.0
0.01,0.01,0.0002,0.7469,0.0083,0.0
0.01,0.02,0.0002,0.6812,0.017,0.0
0.01,0.05,0.0003,0.5547,0.0448,0.0
0.02,0.0,0.0001,0.6533,0.0163,0.0
0.02,0.005,0.0,0.6432,0.0179,0.0
0.02,0.01,0.0003,0.6337,0.0195,0.0
0.02,0.02,0.0004,0.6064,0.0248,0.0
0.02,0.05,0.0006,0.5174,0.0456,0.0
0.05,0.0,0.0018,0.4682,0.0529,0.0
0.05,0.005,0.0018,0.4715,0.0504,0.0
0.05,0.01,0.0012,0.4708,0.052,0.0
0.05,0.02,0.0013,0.4667,0.0515,0.0
0.05,0.05,0.001,0.4634,0.0624,0.0
0.1,0.0,0.0046,0.3806,0.0911,0.0
0.1,0.005,0.0036,0.3852,0.0925,0.0
0.1,0.01,0.0035,0.3747,0.0927,0.0
0.1,0.02,0.0041,0.3806,0.0914,0.0
0.1,0.05,0.0033,0.4025,0.0942,0.0
0.2,0.0,0.0048,0.3708,0.1143,0.0
0.2,0.005,0.0038,0.3677,0.1238,0.0
0.2,0.01,0.0058,0.3824,0.1174,0.0
0.2,0.02,0.0044,0.3789,0.1134,0.0
0.2,0.05,0.0036,0.3842,0.1129,0.0
0.4,0.0,0.0049,0.3926,0.132,0.0
0.4,0.005,0.0055,0.3794,0.1342,0.0
0.4,0.01,0.0046,0.3867,0.1215,0.0
0.4,0.02,0.0058,0.3942,0.1287,0.0
0.4,0.05,0.0048,0.3898,0.1217,0.0
0.8,0.0,0.0054,0.4024,0.1336,0.0
0.8,0.005,0.007,0.4042,0.1355,0.0
0.8,0.01,0.0043,0.3929,0.1329,0.0
0.8,0.02,0.0061,0.4012,0.134,0.0
0.8,0.05,0.0046,0.4002,0.1291,0.0
