# generated_by: experiments/mc_sweep_ow.py
# git_commit: 638b502
# date: 2026-07-03 06:04 UTC
# trials_per_cell: 5  steps: 500  controller: logic_g_newton_contour_pentagon
# start_mode: fixed  fixed_start: (-0.5, 0.25)
# D_on: 0.02  D_stay: 0.1  collapse_rms: 0.3
sigma_uv,sigma_p,success_track,d_mean,d_p95
0.0,0.0,1.0000,0.00078,0.00532
0.0,0.005,1.0000,0.00340,0.01218
0.0,0.01,1.0000,0.00641,0.01736
0.0,0.02,1.0000,0.01363,0.03848
0.0,0.05,0.0000,0.26772,0.71131
0.001,0.0,1.0000,0.00269,0.00828
0.001,0.005,1.0000,0.00443,0.01298
0.001,0.01,1.0000,0.00763,0.02263
0.001,0.02,1.0000,0.01236,0.04168
0.001,0.05,0.0000,0.16335,0.44772
0.005,0.0,1.0000,0.01433,0.04062
0.005,0.005,1.0000,0.01429,0.03908
0.005,0.01,0.6000,0.01825,0.06509
0.005,0.02,0.6000,0.03702,0.19270
0.005,0.05,0.2000,0.11163,0.30090
0.01,0.0,0.4000,0.06069,0.27054
0.01,0.005,0.2000,0.04733,0.13849
0.01,0.01,0.2000,0.03843,0.11425
0.01,0.02,0.0000,0.07827,0.23833
0.01,0.05,0.0000,0.08372,0.22359
0.02,0.0,0.2000,0.15149,0.33924
0.02,0.005,0.0000,0.16091,0.40613
0.02,0.01,0.0000,0.23320,0.47398
0.02,0.02,0.0000,0.21941,0.53280
0.02,0.05,0.0000,0.21235,0.55368
0.05,0.0,0.4000,0.06075,0.17707
0.05,0.005,0.0000,0.27267,0.67276
0.05,0.01,0.0000,0.26234,0.78973
0.05,0.02,0.0000,0.22330,0.54146
0.05,0.05,0.0000,0.17022,0.35430
0.1,0.0,0.0000,0.28268,0.71437
0.1,0.005,0.0000,0.09338,0.19579
0.1,0.01,0.0000,nan,nan
0.1,0.02,0.0000,0.30573,0.54061
0.1,0.05,0.0000,0.41200,0.83175
