# generated_by: experiments/mc_sweep_ow.py
# git_commit: 638b502
# date: 2026-07-03 06:04 UTC
# trials_per_cell: 5  steps: 500  controller: logic_g_newton_contour_pentagon
# start_mode: fixed  fixed_start: (-0.5, 0.25)
# D_on: 0.02  D_stay: 0.1  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_lock,steps,success_track,exited_domain,collapsed,d_mean,d_p95,shape_rms_max,effort,final_x,final_y
0,0,17,-0.5,0.25,5.30976,22,116,1,1,0,0.000767669,0.00548029,5.07473e-10,1.45075,0.525059,-0.525089
0,0,7936,-0.5,0.25,0.656453,22,115,1,1,0,0.000791336,0.00511567,5.07544e-10,1.43918,0.522115,-0.522152
0,0,15855,-0.5,0.25,4.99572,22,115,1,1,0,0.000790929,0.0050625,5.0752e-10,1.43879,0.52072,-0.52067
0,0,23774,-0.5,0.25,0.391938,22,116,1,1,0,0.0007996,0.00549161,5.07576e-10,1.45085,0.525625,-0.525688
0,0,31693,-0.5,0.25,1.5154,22,116,1,1,0,0.000759126,0.00546413,5.07269e-10,1.45073,0.525101,-0.525125
0,0.005,5017,-0.5,0.25,0.2178,22,117,1,1,0,0.00320666,0.0144416,5.0731e-10,1.46974,0.534518,-0.52616
0,0.005,12936,-0.5,0.25,5.9213,22,178,1,1,0,0.00394689,0.011833,1.10238e-09,2.19416,1.00675,0.00958916
0,0.005,20855,-0.5,0.25,4.52977,23,180,1,1,0,0.0038642,0.0128435,1.11832e-09,2.21874,-1.0039,0.00733097
0,0.005,28774,-0.5,0.25,4.01749,21,119,1,1,0,0.00285681,0.0080832,5.07421e-10,1.49347,0.529033,-0.521972
0,0.005,36693,-0.5,0.25,5.37391,21,119,1,1,0,0.00312236,0.0136886,5.07461e-10,1.4914,0.527189,-0.522689
0,0.01,10017,-0.5,0.25,3.77166,23,130,1,1,0,0.00676396,0.0178343,5.86643e-10,1.61855,0.52922,-0.521289
0,0.01,17936,-0.5,0.25,5.23732,27,115,1,1,0,0.00623311,0.0133286,5.07504e-10,1.44453,0.528946,-0.523501
0,0.01,25855,-0.5,0.25,4.72145,26,115,1,1,0,0.00683874,0.0206716,5.07375e-10,1.45827,0.520774,-0.524391
0,0.01,33774,-0.5,0.25,1.55782,25,117,1,1,0,0.00618121,0.0169602,5.0749e-10,1.49658,-0.535082,-0.524561
0,0.01,41693,-0.5,0.25,2.10775,28,122,1,1,0,0.00604295,0.0179856,5.86897e-10,1.54396,0.52903,-0.522762
0,0.02,20017,-0.5,0.25,2.90614,39,146,1,1,0,0.0177954,0.0526602,7.41719e-10,1.88051,0.546676,-0.522904
0,0.02,27936,-0.5,0.25,0.617108,42,134,1,1,0,0.0096132,0.0274695,6.1142e-10,1.70644,0.549534,-0.526355
0,0.02,35855,-0.5,0.25,3.50428,40,193,1,1,0,0.0136026,0.0353282,1.38452e-09,2.43834,-1.00074,0.0124639
0,0.02,43774,-0.5,0.25,3.43884,32,138,1,1,0,0.0106627,0.0247755,6.74777e-10,1.75794,0.539568,-0.523893
0,0.02,51693,-0.5,0.25,5.31456,34,262,1,1,0,0.016501,0.052162,2.11587e-08,3.30362,-0.471855,0.525162
0,0.05,50017,-0.5,0.25,3.6867,-1,500,0,0,0,nan,nan,0.0488585,6.405,-0.856667,0.423339
0,0.05,57936,-0.5,0.25,0.687389,319,442,0,1,0,0.438392,0.889267,0.0663103,5.73213,0.303141,-0.521881
0,0.05,65855,-0.5,0.25,5.51593,-1,245,0,1,0,nan,nan,4.86071e-09,3.11437,-1.00126,0.0497991
0,0.05,73774,-0.5,0.25,4.37702,229,500,0,0,1,0.185517,0.675645,0.968167,6.50652,0.143046,-0.0149434
0,0.05,81693,-0.5,0.25,3.84197,145,500,0,0,1,0.179251,0.569019,0.430828,6.32009,-0.662485,-0.18359
0.001,0,1000017,-0.5,0.25,1.64464,22,118,1,1,0,0.00160257,0.00500109,5.07495e-10,1.47639,0.532205,-0.522657
0.001,0,1007936,-0.5,0.25,1.93618,22,115,1,1,0,0.00305551,0.0097403,5.0743e-10,1.44119,0.519833,-0.523309
0.001,0,1015855,-0.5,0.25,5.22981,22,117,1,1,0,0.00280138,0.00976191,5.07464e-10,1.4573,0.527303,-0.525476
0.001,0,1023774,-0.5,0.25,0.423073,21,117,1,1,0,0.00230794,0.00638181,5.07257e-10,1.4622,0.523054,-0.521484
0.001,0,1031693,-0.5,0.25,4.75932,22,120,1,1,0,0.0036893,0.0105058,5.07439e-10,1.49298,0.525368,-0.526142
0.001,0.005,1005017,-0.5,0.25,1.8732,22,120,1,1,0,0.00272964,0.00865353,5.07575e-10,1.50059,-0.518722,-0.521236
0.001,0.005,1012936,-0.5,0.25,3.63642,24,114,1,1,0,0.00654808,0.0162116,5.0744e-10,1.43782,0.514273,-0.52147
0.001,0.005,1020855,-0.5,0.25,3.60603,22,121,1,1,0,0.00459799,0.016649,5.87011e-10,1.51958,0.529863,-0.526294
0.001,0.005,1028774,-0.5,0.25,3.55908,21,117,1,1,0,0.00475368,0.0137984,5.07525e-10,1.46713,0.517408,-0.523674
0.001,0.005,1036693,-0.5,0.25,4.12037,22,120,1,1,0,0.0035373,0.00957777,5.07298e-10,1.51234,0.532566,-0.527437
0.001,0.01,1010017,-0.5,0.25,4.96426,22,118,1,1,0,0.00721657,0.0225194,5.07471e-10,1.47212,0.525643,-0.523441
0.001,0.01,1017936,-0.5,0.25,1.06159,21,185,1,1,0,0.00839251,0.0268993,1.29113e-09,2.2981,1.00384,-0.00470276
0.001,0.01,1025855,-0.5,0.25,5.87598,15,175,1,1,0,0.00901399,0.0244378,1.09667e-09,2.18619,1.00456,-0.00634288
0.001,0.01,1033774,-0.5,0.25,4.36295,29,124,1,1,0,0.00798537,0.0210947,5.72898e-10,1.57576,-0.526114,-0.527236
0.001,0.01,1041693,-0.5,0.25,1.90879,24,119,1,1,0,0.00555192,0.0182096,5.07418e-10,1.51294,0.524592,-0.525198
0.001,0.02,1020017,-0.5,0.25,5.47187,48,130,1,1,0,0.0127258,0.0436619,5.691e-10,1.69059,0.535078,-0.524077
