# generated_by: experiments/mc_sweep_separatrix.py
# git_commit: 1fd7b6c
# date: 2026-07-03 10:19 UTC
# trials_per_cell: 1000  steps: 500  controller: separatrix_logic_c_step
# start_mode: fixed  fixed_start: (0.0, 0.35)  start_box: (-0.8, 0.8, -0.4, 0.4)
# band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,success_traverse,success_band,success_straddle,track_mean,track_p95
0.0,0.0,1.0000,1.0000,1.0000,0.00161,0.00394
0.0,0.005,0.6470,1.0000,0.6250,0.06302,0.20413
0.0,0.01,0.4540,1.0000,0.4170,0.09191,0.29162
0.0,0.02,0.3600,1.0000,0.3380,0.11643,0.36373
0.0,0.05,0.1880,0.9860,0.1640,0.19864,0.54051
0.001,0.0,0.9930,1.0000,0.9930,0.00694,0.02111
0.001,0.005,0.6190,1.0000,0.6030,0.05819,0.19114
0.001,0.01,0.4370,1.0000,0.4040,0.09544,0.30474
0.001,0.02,0.3380,1.0000,0.3100,0.12790,0.39627
0.001,0.05,0.1990,0.9850,0.1790,0.19206,0.52158
0.005,0.0,0.6020,1.0000,0.5600,0.05951,0.19015
0.005,0.005,0.5360,1.0000,0.4930,0.07273,0.23286
0.005,0.01,0.4070,1.0000,0.3650,0.09619,0.30243
0.005,0.02,0.2970,1.0000,0.2720,0.13131,0.40168
0.005,0.05,0.1740,0.9860,0.1570,0.19674,0.53675
0.01,0.0,0.4330,0.9990,0.3790,0.08618,0.26912
0.01,0.005,0.4060,0.9990,0.3660,0.09540,0.29838
0.01,0.01,0.3960,0.9990,0.3610,0.10485,0.31745
0.01,0.02,0.2810,0.9980,0.2580,0.13865,0.41198
0.01,0.05,0.1840,0.9740,0.1650,0.21323,0.56751
0.02,0.0,0.2760,0.9910,0.2370,0.15764,0.44394
0.02,0.005,0.2750,0.9910,0.2320,0.16104,0.44624
0.02,0.01,0.2290,0.9930,0.1870,0.17671,0.48975
0.02,0.02,0.2040,0.9890,0.1770,0.18906,0.50865
0.02,0.05,0.1840,0.9670,0.1590,0.22643,0.57989
0.05,0.0,0.1510,0.9410,0.1260,0.24578,0.61961
0.05,0.005,0.1640,0.9370,0.1370,0.24511,0.61574
0.05,0.01,0.1470,0.9270,0.1120,0.24777,0.62404
0.05,0.02,0.1520,0.9290,0.1280,0.23956,0.60112
0.05,0.05,0.1500,0.9260,0.1220,0.24856,0.62277
0.1,0.0,0.1300,0.9080,0.1060,0.26708,0.64150
0.1,0.005,0.1500,0.9190,0.1220,0.26276,0.63113
0.1,0.01,0.1330,0.9160,0.1020,0.26897,0.65097
0.1,0.02,0.1430,0.8970,0.1070,0.25849,0.62281
0.1,0.05,0.1350,0.9090,0.1050,0.27701,0.65775
0.2,0.0,0.1390,0.9900,0.0700,0.27340,0.61665
0.2,0.005,0.1180,0.9900,0.0630,0.28897,0.64779
0.2,0.01,0.1540,0.9940,0.0790,0.27420,0.62435
0.2,0.02,0.1360,0.9940,0.0640,0.27672,0.61916
0.2,0.05,0.1100,0.9940,0.0620,0.28287,0.64020
0.4,0.0,0.1180,0.9950,0.0180,0.21965,0.54354
0.4,0.005,0.1330,0.9970,0.0200,0.21567,0.54588
0.4,0.01,0.1220,0.9960,0.0130,0.21286,0.53995
0.4,0.02,0.1130,0.9930,0.0120,0.22045,0.55369
0.4,0.05,0.1200,0.9960,0.0160,0.21208,0.53413
0.8,0.0,0.0550,1.0000,0.0000,0.11097,0.25658
0.8,0.005,0.0520,0.9980,0.0000,0.11111,0.25876
0.8,0.01,0.0460,0.9970,0.0000,0.10850,0.25176
0.8,0.02,0.0580,0.9970,0.0040,0.10647,0.24652
0.8,0.05,0.0530,0.9970,0.0000,0.10358,0.24286
