# generated_by: experiments/mc_sweep_separatrix.py
# git_commit: 148df0a
# date: 2026-07-16 20:46 UTC
# trials_per_cell: 10000  steps: 500  controller: separatrix_logic_c_step
# start_mode: random  fixed_start: (0.0, 0.35)  start_box: (-0.8, 0.8, -0.4, 0.4)
# band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,success_traverse,success_band,success_straddle,track_mean,track_p95
0.0,0.0,0.4712,0.4688,0.4618,0.33758,0.44278
0.0,0.005,0.2958,0.4484,0.2844,0.39173,0.53857
0.0,0.01,0.1999,0.4327,0.1854,0.42271,0.59247
0.0,0.02,0.1408,0.4281,0.1286,0.46115,0.64822
0.0,0.05,0.0942,0.4426,0.0823,0.48027,0.68616
0.001,0.0,0.4736,0.4527,0.4735,0.34234,0.45180
0.001,0.005,0.2944,0.4563,0.2804,0.38812,0.53979
0.001,0.01,0.2040,0.4442,0.1873,0.42050,0.59130
0.001,0.02,0.1457,0.4295,0.1349,0.45401,0.64059
0.001,0.05,0.0930,0.4503,0.0795,0.47763,0.68453
0.005,0.0,0.2830,0.4407,0.2667,0.38949,0.52444
0.005,0.005,0.2346,0.4439,0.2182,0.40364,0.55307
0.005,0.01,0.1906,0.4400,0.1764,0.42325,0.59034
0.005,0.02,0.1387,0.4327,0.1257,0.45482,0.63915
0.005,0.05,0.0914,0.4398,0.0795,0.48418,0.68835
0.01,0.0,0.1838,0.4305,0.1624,0.42735,0.58263
0.01,0.005,0.1849,0.4406,0.1651,0.42765,0.58408
0.01,0.01,0.1687,0.4471,0.1485,0.43195,0.59585
0.01,0.02,0.1314,0.4433,0.1153,0.45568,0.63774
0.01,0.05,0.0883,0.4263,0.0745,0.48468,0.68749
0.02,0.0,0.1185,0.4289,0.0984,0.46961,0.65255
0.02,0.005,0.1207,0.4307,0.1000,0.46628,0.64819
0.02,0.01,0.1197,0.4307,0.0998,0.46764,0.65074
0.02,0.02,0.1087,0.4319,0.0902,0.47305,0.66300
0.02,0.05,0.0795,0.3972,0.0644,0.48214,0.68128
0.05,0.0,0.0722,0.3354,0.0592,0.47946,0.65903
0.05,0.005,0.0747,0.3342,0.0593,0.48054,0.65509
0.05,0.01,0.0733,0.3278,0.0570,0.48498,0.65752
0.05,0.02,0.0665,0.3317,0.0532,0.47874,0.65804
0.05,0.05,0.0622,0.3232,0.0509,0.48194,0.65497
0.1,0.0,0.0511,0.2618,0.0389,0.48650,0.62921
0.1,0.005,0.0486,0.2579,0.0355,0.48318,0.62731
0.1,0.01,0.0492,0.2646,0.0370,0.48576,0.62968
0.1,0.02,0.0513,0.2723,0.0387,0.47738,0.62372
0.1,0.05,0.0499,0.2594,0.0350,0.47692,0.61667
