# generated_by: experiments/mc_sweep_separatrix.py
# git_commit: ad76bbf
# date: 2026-07-03 05:50 UTC
# trials_per_cell: 1000  steps: 500  controller: separatrix_logic_c_step
# start_box: (-0.8, 0.8, -0.4, 0.4)  band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,success_traverse,success_band,success_straddle,track_mean,track_p95
0.0,0.0,0.4790,0.4660,0.4650,0.33926,0.44389
0.0,0.005,0.3250,0.4650,0.3150,0.38111,0.52340
0.0,0.01,0.1990,0.4480,0.1780,0.41616,0.58847
0.0,0.02,0.1450,0.4110,0.1350,0.45991,0.63881
0.0,0.05,0.0880,0.4420,0.0840,0.47423,0.68583
0.001,0.0,0.4990,0.4760,0.4990,0.31954,0.42588
0.001,0.005,0.3130,0.4940,0.3000,0.36483,0.51724
0.001,0.01,0.2080,0.4410,0.1970,0.42445,0.59534
0.001,0.02,0.1370,0.4440,0.1240,0.44273,0.63255
0.001,0.05,0.0860,0.4730,0.0780,0.46082,0.67107
0.005,0.0,0.2790,0.4280,0.2640,0.40453,0.53923
0.005,0.005,0.2340,0.4480,0.2210,0.40233,0.55614
0.005,0.01,0.1900,0.4350,0.1760,0.41853,0.58243
0.005,0.02,0.1390,0.4360,0.1320,0.46588,0.64755
0.005,0.05,0.0940,0.4360,0.0780,0.48234,0.68572
0.01,0.0,0.1750,0.4190,0.1500,0.43385,0.59132
0.01,0.005,0.1870,0.4210,0.1700,0.42929,0.57503
0.01,0.01,0.1660,0.4320,0.1520,0.44963,0.60548
0.01,0.02,0.1360,0.4660,0.1200,0.44509,0.64080
0.01,0.05,0.0860,0.4470,0.0710,0.47474,0.67605
0.02,0.0,0.1150,0.4250,0.0920,0.47448,0.65850
0.02,0.005,0.1240,0.4510,0.1030,0.46154,0.64076
0.02,0.01,0.1210,0.4490,0.0960,0.46322,0.65144
0.02,0.02,0.1020,0.4290,0.0900,0.47307,0.66973
0.02,0.05,0.0720,0.4030,0.0620,0.48575,0.69319
0.05,0.0,0.0750,0.3400,0.0600,0.47306,0.64867
0.05,0.005,0.0640,0.3100,0.0530,0.50253,0.67585
0.05,0.01,0.0730,0.3200,0.0570,0.48884,0.65431
0.05,0.02,0.0590,0.3240,0.0440,0.48804,0.66949
0.05,0.05,0.0490,0.3310,0.0410,0.47168,0.65629
0.1,0.0,0.0530,0.2570,0.0380,0.48621,0.62879
0.1,0.005,0.0510,0.2640,0.0340,0.47705,0.62542
0.1,0.01,0.0470,0.2690,0.0380,0.48413,0.62990
0.1,0.02,0.0610,0.2930,0.0440,0.45402,0.60092
0.1,0.05,0.0450,0.2470,0.0360,0.49582,0.63738
