# generated_by: experiments/mc_sweep_separatrix.py
# git_commit: 0d6d40e
# date: 2026-07-03 05:56 UTC
# trials_per_cell: 5  steps: 500  controller: separatrix_logic_c_step
# start_mode: fixed  fixed_start: (0.0, 0.35)  start_box: (-0.8, 0.8, -0.4, 0.4)
# band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y
0,0,0,0,0.35,4.00215,0,69,1,1,1,0,0,0.00230049,0.00573722,2.08069e-10,0.830572,0.00606528,-0.450169
0,0,7919,0,0.35,3.90662,0,69,1,1,1,0,0,0.00158941,0.00403691,2.08068e-10,0.829293,0.0043226,-0.450073
0,0,15838,0,0.35,0.467598,0,69,1,1,1,0,0,0.00179234,0.00423151,2.08068e-10,0.82979,0.00423434,-0.450148
0,0,23757,0,0.35,4.00528,0,69,1,1,1,0,0,0.00231557,0.00577401,2.08069e-10,0.830603,0.00609772,-0.450172
0,0,31676,0,0.35,5.6229,0,69,1,1,1,0,0,0.000395471,0.000903494,2.08068e-10,0.828098,0.000891139,-0.450007
0,0.005,5000,0,0.35,0.347751,0,86,1,1,1,0,0,0.0093963,0.0256798,3.107e-10,1.27155,-0.0128665,-0.444933
0,0.005,12919,0,0.35,1.77748,0,74,1,1,1,0,0,0.00940749,0.0277485,2.56886e-10,1.08055,0.019103,-0.449517
0,0.005,20838,0,0.35,3.5583,0,85,1,1,1,0,0,0.0165993,0.0494528,2.8368e-10,1.27265,0.0369663,-0.454127
0,0.005,28757,0,0.35,4.6521,0,88,0,1,0,0,0,0.0360246,0.14902,3.10695e-10,1.29342,0.175158,-0.522951
0,0.005,36676,0,0.35,4.59159,0,186,0,1,0,0,0,0.348497,0.982783,1.27872e-09,2.7652,-1.00384,-0.248569
0,0.01,10000,0,0.35,3.24646,0,158,0,1,0,0,0,0.248738,0.81863,8.77183e-10,2.24977,-0.868039,-0.520232
