# generated_by: experiments/mc_sweep_separatrix.py
# git_commit: ad76bbf
# date: 2026-07-03 05:50 UTC
# trials_per_cell: 1000  steps: 500  controller: separatrix_logic_c_step
# start_box: (-0.8, 0.8, -0.4, 0.4)  band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y
0,0,126704,0.152911,0.213859,1.62772,10,57,1,1,1,9,0,0.00615048,0.0230032,1.63774e-10,0.749104,0.00587413,-0.440516
0,0,134623,0.453935,0.200378,1.52098,35,62,0,1,0,34,0,0.023424,0.0443572,1.93323e-10,1.04059,-0.017025,0.523418
0,0,142542,-0.655094,-0.303353,2.1493,-1,32,0,0,0,-1,0,0.825385,0.990158,8.71269e-11,0.522386,-1.00041,-0.496576
0,0,150461,0.0662943,-0.0886961,4.44136,2,32,1,1,1,0,0,0.00750895,0.037465,8.71268e-11,0.414062,-0.00105966,-0.444881
0,0,158380,0.520333,-0.376133,1.78526,-1,43,0,0,0,-1,0,0.75768,0.983428,1.23587e-10,0.584577,1.00049,-0.493653
0,0,166299,-0.476332,0.132021,4.62878,37,144,1,1,0,36,0,0.022471,0.0839702,7.72277e-10,2.15439,-0.00555481,-0.445082
0,0,174218,-0.109776,0.129927,1.47517,7,50,1,1,1,4,0,0.00576836,0.0210022,1.23587e-10,0.646852,0.00581633,-0.442501
0,0,182137,0.778591,-0.00967406,3.21114,-1,22,0,0,0,-1,0,0.891216,0.995714,5.405e-11,0.358307,1.00244,0.22469
0,0,190056,0.797646,-0.216546,0.629078,-1,21,0,0,0,-1,0,0.904093,0.997664,5.40499e-11,0.335215,1.00238,0.00428997
0,0,197975,-0.689729,0.159167,1.96911,-1,27,0,0,0,-1,0,0.844141,0.990843,5.40501e-11,0.458161,-1.00706,0.431946
0,0,205894,-0.363189,-0.0843181,4.82416,-1,32,1,0,1,27,0,0.193334,0.349169,8.71267e-11,0.543053,-0.0139691,-0.446915
0,0,213813,0.0417977,0.00728235,2.043,0,40,1,1,1,0,0,0.00633894,0.0288572,8.71268e-11,0.494356,-0.00418241,-0.444843
0,0,221732,0.350616,-0.371694,0.00933755,-1,57,0,0,0,-1,0,0.713723,0.978424,1.63772e-10,0.749391,1.00727,-0.51339
0,0,229651,-0.192387,-0.129559,3.55937,14,29,1,1,1,13,0,0.0102452,0.0332729,5.40499e-11,0.460248,-0.0066838,-0.450961
0,0,237570,-0.435979,0.143963,5.5549,-1,41,0,0,0,33,0,0.22082,0.419276,1.23587e-10,0.688674,0.0051347,0.520877
0,0,245489,0.267116,-0.135953,0.309568,-1,27,1,0,1,20,0,0.130251,0.255331,5.40499e-11,0.454071,-0.00194049,-0.441477
0,0,506816,-0.129787,-0.131913,3.12894,8,28,1,1,1,7,0,0.00930124,0.0386837,5.40499e-11,0.409191,0.000155088,-0.440984
0,0,514735,-0.0792343,-0.115122,5.59508,4,30,1,1,1,1,0,0.0070074,0.0313897,5.40499e-11,0.399664,0.00152223,-0.447335
0,0,522654,0.596706,-0.087071,5.626,-1,36,0,0,0,-1,0,0.804537,0.992004,8.71268e-11,0.578503,1.00537,0.261224
0,0,530573,-0.739954,0.286689,4.62443,-1,65,0,0,0,58,0,0.276829,0.541043,2.08069e-10,0.888427,0.00240063,0.523774
0,0,538492,0.563344,-0.203583,5.1682,-1,41,0,0,0,-1,0,0.782679,0.994304,1.23587e-10,0.678902,1.00069,-0.51824
0,0,546411,0.226423,0.349377,4.01554,16,98,1,1,1,15,0,0.00355408,0.00697233,3.70017e-10,1.30849,0.00609359,-0.442172
0,0,554330,-0.0549183,0.349894,2.36538,1,69,1,1,1,0,0,0.00387374,0.0137915,2.08068e-10,0.862819,-0.00456908,-0.447878
0,0,562249,0.616805,-0.169717,3.05497,-1,34,0,0,0,-1,0,0.805318,0.987742,8.71269e-11,0.576991,1.00161,-0.506905
0,0,570168,-0.0874332,-0.257102,6.12712,5,18,1,1,1,3,0,0.0106579,0.0340888,2.4138e-11,0.282976,-0.00189015,-0.445954
0,0,578087,0.582211,0.231513,0.700016,-1,55,0,0,0,45,0,0.248765,0.508273,1.63774e-10,0.807777,0.000559012,0.521608
