# generated_by: experiments/unsteady_gyre_check.py
# git_commit: 148df0a
# date: 2026-07-17T10:36:55.296833+00:00
# eps: 0.1  omega: 0.6283185307179586  A: 0.1  start: (0.0, 0.35)  steps: 600  dt: 0.1
# phase: |y_c| <= 0.45  controller: Logic C, zero noise, no time-derivative term
t,x_c,y_c,x_trench,transverse_dist
0.000000,0.000000,0.346400,-0.000000,0.000000
0.100000,0.002503,0.340281,0.007404,0.004901
0.200000,0.007367,0.332395,0.014748,0.007381
0.300000,0.013968,0.323270,0.021993,0.008024
0.400000,0.021692,0.313273,0.029102,0.007410
0.500000,0.029966,0.302661,0.036042,0.006076
0.600000,0.038255,0.291618,0.042781,0.004527
0.700000,0.046094,0.280273,0.049292,0.003198
0.800000,0.053182,0.268719,0.055549,0.002367
0.900000,0.059411,0.257021,0.061528,0.002117
1.000000,0.064840,0.245223,0.067209,0.002369
1.100000,0.069618,0.233356,0.072574,0.002956
1.200000,0.073913,0.221441,0.077608,0.003694
1.300000,0.077871,0.209493,0.082296,0.004424
1.400000,0.081594,0.197522,0.086627,0.005032
1.500000,0.085141,0.185535,0.090590,0.005449
1.600000,0.088532,0.173538,0.094178,0.005645
1.700000,0.091762,0.161534,0.097383,0.005620
1.800000,0.094809,0.149526,0.100202,0.005393
1.900000,0.097641,0.137517,0.102629,0.004988
2.000000,0.100225,0.125508,0.104663,0.004438
2.100000,0.102531,0.113499,0.106302,0.003771
2.200000,0.104531,0.101491,0.107542,0.003011
2.300000,0.106205,0.089484,0.108388,0.002183
2.400000,0.107535,0.077479,0.108837,0.001302
2.500000,0.108511,0.065476,0.108892,0.000381
2.600000,0.109125,0.053473,0.108554,0.000571
2.700000,0.109370,0.041472,0.107825,0.001546
2.800000,0.109245,0.029471,0.106710,0.002535
2.900000,0.108746,0.017471,0.105211,0.003536
3.000000,0.107873,0.005471,0.103334,0.004539
3.100000,0.106624,-0.006530,0.101082,0.005542
3.200000,0.104997,-0.018531,0.098461,0.006536
3.300000,0.102992,-0.030532,0.095477,0.007515
3.400000,0.100607,-0.042535,0.092137,0.008470
3.500000,0.097841,-0.054539,0.088450,0.009392
3.600000,0.094694,-0.066544,0.084421,0.010273
3.700000,0.091166,-0.078551,0.080062,0.011103
3.800000,0.087256,-0.090559,0.075384,0.011873
3.900000,0.082968,-0.102568,0.070396,0.012572
4.000000,0.078304,-0.114578,0.065114,0.013190
4.100000,0.073268,-0.126590,0.059550,0.013718
4.200000,0.067867,-0.138602,0.053722,0.014144
4.300000,0.062107,-0.150614,0.047645,0.014462
4.400000,0.055999,-0.162627,0.041341,0.014658
4.500000,0.049555,-0.174638,0.034828,0.014727
4.600000,0.042787,-0.186647,0.028130,0.014656
4.700000,0.035712,-0.198655,0.021272,0.014440
4.800000,0.028349,-0.210659,0.014279,0.014070
4.900000,0.020718,-0.222658,0.007178,0.013540
5.000000,0.012845,-0.234652,-0.000000,0.012845
5.100000,0.004757,-0.246640,-0.007226,0.011983
5.200000,-0.003514,-0.258621,-0.014468,0.010955
5.300000,-0.011929,-0.270594,-0.021694,0.009766
5.400000,-0.020443,-0.282557,-0.028871,0.008429
5.500000,-0.029000,-0.294510,-0.035966,0.006966
5.600000,-0.037531,-0.306454,-0.042945,0.005414
5.700000,-0.045946,-0.318387,-0.049776,0.003831
5.800000,-0.054127,-0.330311,-0.056427,0.002300
5.900000,-0.061930,-0.342227,-0.062866,0.000936
6.000000,-0.069181,-0.354139,-0.069063,0.000118
6.100000,-0.075719,-0.366050,-0.074990,0.000730
6.200000,-0.081456,-0.377963,-0.080619,0.000837
6.300000,-0.086457,-0.389878,-0.085926,0.000531
6.400000,-0.090951,-0.401792,-0.090885,0.000066
6.500000,-0.095221,-0.413696,-0.095477,0.000256
6.600000,-0.099352,-0.425587,-0.099680,0.000328
6.700000,-0.103020,-0.437480,-0.103478,0.000458
6.800000,-0.105797,-0.449400,-0.106855,0.001058
