config_name,robot_type,series,analytical_avg_radius,analytical_std_radius,analytical_radius_error,analytical_est_center_x,analytical_est_center_y,analytical_center_error,analytical_std_x_est,analytical_std_y_est,analytical_rmse,nn_avg_radius,nn_std_radius,nn_radius_error,nn_est_center_x,nn_est_center_y,nn_center_error,nn_std_x_est,nn_std_y_est,nn_rmse,rbf_avg_radius,rbf_std_radius,rbf_radius_error,rbf_est_center_x,rbf_est_center_y,rbf_center_error,rbf_std_x_est,rbf_std_y_est,rbf_rmse,real_avg_radius,real_std_radius,real_radius_error,real_est_center_x,real_est_center_y,real_center_error,real_std_x_est,real_std_y_est,real_rmse,nn_vs_analytical_error,rbf_vs_analytical_error,analytical_vs_real_error,nn_vs_real_error,rbf_vs_real_error,std_x_across_modes,std_y_across_modes,desired_radius
orbit001,3-robot,0XX,0.155948,0.000003,0.145948,0.001776,-0.002724,0.003252,0.002507,0.002528,0.155948,0.160097,0.014721,0.150097,0.011391,-0.015582,0.019301,0.000229,0.000261,0.160773,0.094081,0.026314,0.084081,0.021782,-0.028317,0.035725,0.013545,0.012098,0.097692,0.274361,0.019522,0.264361,-0.006994,-0.008418,0.010944,0.144556,0.151715,0.275055,0.004149,-0.061867,-0.118413,-0.114264,-0.180280,0.008170,0.010448,0.010000
orbit010,3-robot,0XX,0.208803,0.000007,0.108803,0.002652,0.007494,0.007949,0.041927,0.041415,0.208803,0.208847,0.013212,0.108847,0.011812,-0.008398,0.014493,0.042290,0.042254,0.209265,0.224564,0.027719,0.124564,0.021740,-0.030483,0.037441,0.055400,0.055754,0.226268,0.292892,0.010732,0.192892,0.012319,0.008124,0.014756,0.167537,0.167105,0.293089,0.000044,0.015761,-0.084089,-0.084045,-0.068328,0.007795,0.015572,0.100000
orbit020,3-robot,0XX,0.280816,0.000012,0.080816,-0.000256,-0.013503,0.013506,0.107934,0.109963,0.280816,0.304165,0.014113,0.104165,-0.000211,-0.009341,0.009343,0.126458,0.134720,0.304493,0.293315,0.020789,0.093315,-0.010591,-0.018081,0.020954,0.122056,0.124195,0.294051,0.348840,0.014232,0.148840,0.017507,0.000743,0.017523,0.206411,0.211216,0.349130,0.023349,0.012499,-0.068024,-0.044675,-0.055525,0.004883,0.003569,0.200000
orbit030,3-robot,0XX,0.362561,0.000014,0.062561,-0.011498,0.021947,0.024777,0.183105,0.181769,0.362561,0.394045,0.018327,0.094045,0.018789,-0.001747,0.018870,0.203097,0.213513,0.394471,0.348344,0.025328,0.048344,-0.012183,0.010817,0.016292,0.176993,0.168897,0.349263,0.390706,0.012508,0.090706,0.036877,-0.002846,0.036987,0.237323,0.242953,0.390906,0.031483,-0.014218,-0.028145,0.003339,-0.042362,0.014442,0.009679,0.300000
orbit040,3-robot,0XX,0.450352,0.000015,0.050352,0.007812,0.039540,0.040304,0.251534,0.261471,0.450352,0.467475,0.025826,0.067475,0.038437,0.044707,0.058958,0.262280,0.273898,0.468187,0.476708,0.050990,0.076708,0.062116,0.085308,0.105526,0.262299,0.277680,0.479427,0.436909,0.017701,0.036909,0.044198,-0.018920,0.048077,0.289832,0.270041,0.437267,0.017123,0.026357,0.013443,0.030566,0.039799,0.022230,0.020466,0.400000
orbit050,3-robot,0XX,0.541843,0.000015,0.041843,-0.003396,0.010857,0.011376,0.337274,0.320691,0.541843,0.526647,0.038488,0.026647,0.029923,0.015036,0.033488,0.310933,0.322968,0.528051,0.556012,0.061412,0.056012,0.061981,0.029513,0.068649,0.335030,0.342205,0.559393,0.467997,0.023118,-0.032003,0.053414,0.037172,0.065076,0.305608,0.296524,0.468568,-0.015196,0.014169,0.073846,0.058650,0.088015,0.026692,0.007994,0.500000
orbit060,3-robot,0XX,0.635663,0.000014,0.035663,0.080735,-0.003103,0.080795,0.414507,0.390080,0.635663,0.581459,0.050472,-0.018541,0.044376,0.074049,0.086328,0.356763,0.358169,0.583646,0.631763,0.077218,0.031763,0.122582,0.058062,0.135638,0.382641,0.396062,0.636465,0.534593,0.037636,-0.065407,0.010285,0.002996,0.010712,0.335582,0.367836,0.535916,-0.054204,-0.003900,0.101071,0.046867,0.097171,0.031954,0.033249,0.600000
orbit070,3-robot,0XX,0.731010,0.000013,0.031010,0.005419,-0.056275,0.056535,0.482304,0.472519,0.731010,0.633212,0.060151,-0.066788,0.105848,0.064690,0.124051,0.402303,0.388363,0.636063,0.828808,0.010647,0.128808,-0.040921,0.827776,0.828787,0.000988,0.000665,0.828876,0.577242,0.038644,-0.122758,0.016368,-0.005774,0.017357,0.390493,0.368889,0.578534,-0.097797,0.097798,0.153768,0.055971,0.251566,0.061260,0.391362,0.700000
orbit101,4-robot-square,1XX,0.155948,0.000003,0.145948,0.001776,-0.002724,0.003252,0.002507,0.002528,0.155948,0.154697,0.016196,0.144697,0.010029,-0.021238,0.023487,0.002153,0.002207,0.155543,0.151109,0.025427,0.141109,0.030579,-0.023030,0.038281,0.006380,0.006565,0.153233,0.273839,0.010623,0.263839,0.004995,-0.009962,0.011144,0.149316,0.140426,0.274045,-0.001251,-0.004840,-0.117890,-0.119141,-0.122730,0.012111,0.009179,0.010000
orbit110,4-robot-square,1XX,0.208803,0.000007,0.108803,0.002652,0.007494,0.007949,0.041927,0.041415,0.208803,0.217705,0.016293,0.117705,0.019769,-0.020031,0.028144,0.048045,0.049808,0.218314,0.210399,0.026151,0.110399,0.009955,-0.024463,0.026411,0.049817,0.050996,0.212017,0.313292,0.019738,0.213292,0.005630,-0.036294,0.036728,0.180160,0.178730,0.313913,0.008902,0.001596,-0.104489,-0.095587,-0.102893,0.007013,0.014136,0.100000
