field_type,robot_type,commanded_radius,actual_radius,radius_error,std_radius
sink,3-robot,0.010000,0.155948,0.145948,0.000003
sink,3-robot,0.100000,0.208803,0.108803,0.000007
sink,3-robot,0.200000,0.280816,0.080816,0.000012
sink,3-robot,0.300000,0.362561,0.062561,0.000014
sink,3-robot,0.400000,0.450352,0.050352,0.000015
sink,3-robot,0.500000,0.541843,0.041843,0.000015
sink,3-robot,0.600000,0.635663,0.035663,0.000014
sink,3-robot,0.700000,0.731010,0.031010,0.000013
source,3-robot,0.010000,0.155948,0.145948,0.000003
source,3-robot,0.100000,0.208803,0.108803,0.000007
source,3-robot,0.200000,0.280816,0.080816,0.000012
source,3-robot,0.300000,0.362561,0.062561,0.000014
source,3-robot,0.400000,0.450352,0.050352,0.000015
source,3-robot,0.500000,0.541843,0.041843,0.000015
source,3-robot,0.600000,0.635663,0.035663,0.000014
source,3-robot,0.700000,0.731010,0.031010,0.000013
vortex,3-robot,0.010000,0.155948,0.145948,0.000003
vortex,3-robot,0.100000,0.208803,0.108803,0.000007
vortex,3-robot,0.200000,0.280816,0.080816,0.000012
vortex,3-robot,0.300000,0.362561,0.062561,0.000014
vortex,3-robot,0.400000,0.450352,0.050352,0.000015
vortex,3-robot,0.500000,0.541843,0.041843,0.000015
vortex,3-robot,0.600000,0.635663,0.035663,0.000014
vortex,3-robot,0.700000,0.731010,0.031010,0.000013
saddle,3-robot,0.010000,0.155948,0.145948,0.000003
saddle,3-robot,0.100000,0.208803,0.108803,0.000007
saddle,3-robot,0.200000,0.280816,0.080816,0.000012
saddle,3-robot,0.300000,0.362561,0.062561,0.000014
saddle,3-robot,0.400000,0.450352,0.050352,0.000015
saddle,3-robot,0.500000,0.541843,0.041843,0.000015
saddle,3-robot,0.600000,0.635663,0.035663,0.000014
saddle,3-robot,0.700000,0.731010,0.031010,0.000013
sinking_vortex,3-robot,0.010000,0.155948,0.145948,0.000003
sinking_vortex,3-robot,0.100000,0.208803,0.108803,0.000007
sinking_vortex,3-robot,0.200000,0.280816,0.080816,0.000012
sinking_vortex,3-robot,0.300000,0.362561,0.062561,0.000014
sinking_vortex,3-robot,0.400000,0.450352,0.050352,0.000015
sinking_vortex,3-robot,0.500000,0.541843,0.041843,0.000015
sinking_vortex,3-robot,0.600000,0.635663,0.035663,0.000014
sinking_vortex,3-robot,0.700000,0.731010,0.031010,0.000013
spewing_vortex,3-robot,0.010000,0.155948,0.145948,0.000003
spewing_vortex,3-robot,0.100000,0.208803,0.108803,0.000007
spewing_vortex,3-robot,0.200000,0.280816,0.080816,0.000012
spewing_vortex,3-robot,0.300000,0.362561,0.062561,0.000014
spewing_vortex,3-robot,0.400000,0.450352,0.050352,0.000015
spewing_vortex,3-robot,0.500000,0.541843,0.041843,0.000015
spewing_vortex,3-robot,0.600000,0.635663,0.035663,0.000014
spewing_vortex,3-robot,0.700000,0.731010,0.031010,0.000013
vortex_rbf,3-robot,0.010000,0.095687,0.085687,0.026547
vortex_rbf,3-robot,0.100000,0.223358,0.123358,0.029914
vortex_rbf,3-robot,0.200000,0.289279,0.089279,0.028239
vortex_rbf,3-robot,0.300000,0.357005,0.057005,0.021962
vortex_rbf,3-robot,0.400000,0.471890,0.071890,0.056193
vortex_rbf,3-robot,0.500000,0.543036,0.043036,0.065067
vortex_rbf,3-robot,0.600000,0.614849,0.014849,0.072430
vortex_rbf,3-robot,0.700000,0.844722,0.144722,0.015632
saddle_rbf,3-robot,0.010000,0.150048,0.140048,0.020467
saddle_rbf,3-robot,0.100000,0.186548,0.086548,0.029434
saddle_rbf,3-robot,0.200000,0.689380,0.489380,0.541475
saddle_rbf,3-robot,0.300000,1.015600,0.715600,0.631235
saddle_rbf,3-robot,0.400000,4.025363,3.625363,2.540570
saddle_rbf,3-robot,0.500000,3.492732,2.992732,2.518484
saddle_rbf,3-robot,0.600000,1.342845,0.742845,0.319176
saddle_rbf,3-robot,0.700000,3.286306,2.586306,2.437913
