field_type,robot_type,commanded_radius,actual_radius,radius_error,std_radius
sink,3-robot,0.010000,0.155948,0.145948,0.000003
sink,3-robot,0.100000,0.208803,0.108803,0.000007
sink,3-robot,0.200000,0.280816,0.080816,0.000012
sink,3-robot,0.300000,0.362561,0.062561,0.000014
sink,3-robot,0.400000,0.450352,0.050352,0.000015
sink,3-robot,0.500000,0.541843,0.041843,0.000015
sink,3-robot,0.600000,0.635663,0.035663,0.000014
sink,3-robot,0.700000,0.731010,0.031010,0.000013
source,3-robot,0.010000,0.155948,0.145948,0.000003
source,3-robot,0.100000,0.208803,0.108803,0.000007
source,3-robot,0.200000,0.280816,0.080816,0.000012
source,3-robot,0.300000,0.362561,0.062561,0.000014
source,3-robot,0.400000,0.450352,0.050352,0.000015
source,3-robot,0.500000,0.541843,0.041843,0.000015
source,3-robot,0.600000,0.635663,0.035663,0.000014
source,3-robot,0.700000,0.731010,0.031010,0.000013
vortex,3-robot,0.010000,0.155948,0.145948,0.000003
vortex,3-robot,0.100000,0.208803,0.108803,0.000007
vortex,3-robot,0.200000,0.280816,0.080816,0.000012
vortex,3-robot,0.300000,0.362561,0.062561,0.000014
vortex,3-robot,0.400000,0.450352,0.050352,0.000015
vortex,3-robot,0.500000,0.541843,0.041843,0.000015
vortex,3-robot,0.600000,0.635663,0.035663,0.000014
vortex,3-robot,0.700000,0.731010,0.031010,0.000013
saddle,3-robot,0.010000,0.155948,0.145948,0.000003
saddle,3-robot,0.100000,0.208803,0.108803,0.000007
saddle,3-robot,0.200000,0.280816,0.080816,0.000012
saddle,3-robot,0.300000,0.362561,0.062561,0.000014
saddle,3-robot,0.400000,0.450352,0.050352,0.000015
saddle,3-robot,0.500000,0.541843,0.041843,0.000015
saddle,3-robot,0.600000,0.635663,0.035663,0.000014
saddle,3-robot,0.700000,0.731010,0.031010,0.000013
sinking_vortex,3-robot,0.010000,0.155948,0.145948,0.000003
sinking_vortex,3-robot,0.100000,0.208803,0.108803,0.000007
sinking_vortex,3-robot,0.200000,0.280816,0.080816,0.000012
sinking_vortex,3-robot,0.300000,0.362561,0.062561,0.000014
sinking_vortex,3-robot,0.400000,0.450352,0.050352,0.000015
sinking_vortex,3-robot,0.500000,0.541843,0.041843,0.000015
sinking_vortex,3-robot,0.600000,0.635663,0.035663,0.000014
sinking_vortex,3-robot,0.700000,0.731010,0.031010,0.000013
spewing_vortex,3-robot,0.010000,0.155948,0.145948,0.000003
spewing_vortex,3-robot,0.100000,0.208803,0.108803,0.000007
spewing_vortex,3-robot,0.200000,0.280816,0.080816,0.000012
spewing_vortex,3-robot,0.300000,0.362561,0.062561,0.000014
spewing_vortex,3-robot,0.400000,0.450352,0.050352,0.000015
spewing_vortex,3-robot,0.500000,0.541843,0.041843,0.000015
spewing_vortex,3-robot,0.600000,0.635663,0.035663,0.000014
spewing_vortex,3-robot,0.700000,0.731010,0.031010,0.000013
vortex_nn,3-robot,0.010000,0.160097,0.150097,0.014721
vortex_nn,3-robot,0.100000,0.208847,0.108847,0.013212
vortex_nn,3-robot,0.200000,0.304165,0.104165,0.014113
vortex_nn,3-robot,0.300000,0.394045,0.094045,0.018327
vortex_nn,3-robot,0.400000,0.467475,0.067475,0.025826
vortex_nn,3-robot,0.500000,0.526647,0.026647,0.038488
vortex_nn,3-robot,0.600000,0.581459,-0.018541,0.050472
vortex_nn,3-robot,0.700000,0.633212,-0.066788,0.060151
saddle_nn,3-robot,0.010000,0.156256,0.146256,0.011604
saddle_nn,3-robot,0.100000,0.198410,0.098410,0.015029
saddle_nn,3-robot,0.200000,0.272340,0.072340,0.024457
saddle_nn,3-robot,0.300000,0.359102,0.059102,0.041830
saddle_nn,3-robot,0.400000,0.434744,0.034744,0.053966
saddle_nn,3-robot,0.500000,0.497083,-0.002917,0.061012
saddle_nn,3-robot,0.600000,0.550750,-0.049250,0.065430
saddle_nn,3-robot,0.700000,0.591862,-0.108138,0.068616
