Environment,Primitive,NumRobots,SuccessfulTrials,FailedTrials,SuccessRate,AvgX,AvgY,StdX,StdY,SystematicBias,Precision,RMSE
sink1,critical_point_plane_fitting,3,100,0,100.00,-0.000041,0.000578,0.011548,0.009600,0.000580,0.015017,0.015028
sink1,four_planar_center_finder,4,100,0,100.00,-0.001426,-0.001624,0.010622,0.010417,0.002161,0.014877,0.015033
source1,critical_point_plane_fitting,3,100,0,100.00,0.000960,0.000449,0.009278,0.009905,0.001060,0.013572,0.013613
source1,four_planar_center_finder,4,100,0,100.00,0.000929,0.001179,0.010336,0.012263,0.001501,0.016038,0.016108
vortex1,critical_point_plane_fitting,3,100,0,100.00,-0.001526,-0.000752,0.009081,0.008883,0.001702,0.012703,0.012816
vortex1,four_planar_center_finder,4,100,0,100.00,-0.000833,-0.000983,0.013358,0.010635,0.001289,0.017074,0.017123
sinking_vortex1,critical_point_plane_fitting,3,100,0,100.00,-0.000392,-0.000374,0.008848,0.010283,0.000541,0.013566,0.013577
sinking_vortex1,four_planar_center_finder,4,100,0,100.00,-0.001370,0.000027,0.008951,0.010880,0.001370,0.014089,0.014155
spewing_vortex1,critical_point_plane_fitting,3,100,0,100.00,0.002181,0.001612,0.012408,0.012159,0.002712,0.017373,0.017583
spewing_vortex1,four_planar_center_finder,4,100,0,100.00,0.000157,0.000764,0.008941,0.009063,0.000779,0.012731,0.012755
saddle1,critical_point_plane_fitting,3,100,0,100.00,-0.001196,-0.001000,0.011045,0.010680,0.001559,0.015364,0.015443
saddle1,four_planar_center_finder,4,100,0,100.00,0.000896,-0.000905,0.013415,0.010757,0.001273,0.017195,0.017242
