time_s,x_m,y_m
0.000000,0.063500,0.454095
0.100000,0.063769,0.454181
0.200000,0.069055,0.452301
0.300000,0.086902,0.445954
0.400000,0.100307,0.440368
0.500000,0.111152,0.432231
0.600000,0.126215,0.422424
0.700000,0.139618,0.418142
0.800000,0.155065,0.415055
0.900000,0.166306,0.410403
1.000000,0.184083,0.398350
1.100000,0.198072,0.388580
1.200000,0.210196,0.380494
1.300000,0.223732,0.376191
1.400000,0.235709,0.372002
1.500000,0.250967,0.367118
1.600000,0.267983,0.361274
1.700000,0.279431,0.356519
1.800000,0.292532,0.349228
1.900000,0.305875,0.346183
2.000000,0.320009,0.348567
2.100000,0.332106,0.341937
2.200000,0.343963,0.335383
2.300000,0.356940,0.330377
2.400000,0.367843,0.321687
2.500000,0.376785,0.312337
2.600000,0.375930,0.304977
2.700000,0.386226,0.293623
2.800000,0.397402,0.283187
2.900000,0.408581,0.274706
3.000000,0.419900,0.266285
3.100000,0.430344,0.256824
3.200000,0.438638,0.245838
3.300000,0.445983,0.233900
3.400000,0.452604,0.220794
3.500000,0.458915,0.208064
3.600000,0.462548,0.194018
3.700000,0.467482,0.179375
3.800000,0.474953,0.167523
3.900000,0.483766,0.157960
4.000000,0.491581,0.146313
4.100000,0.497904,0.134134
4.200000,0.503410,0.120998
4.300000,0.508900,0.107799
4.400000,0.514742,0.094993
4.500000,0.519911,0.082376
4.600000,0.524227,0.069239
4.700000,0.528245,0.055352
4.800000,0.529935,0.041661
4.900000,0.531523,0.027793
5.000000,0.530423,0.013869
5.100000,0.527784,-0.000478
5.200000,0.524503,-0.015648
5.300000,0.522021,-0.027778
5.400000,0.519973,-0.041836
5.500000,0.519711,-0.055863
5.600000,0.518442,-0.069565
5.700000,0.515928,-0.083178
5.800000,0.513910,-0.096959
5.900000,0.510082,-0.109826
6.000000,0.505825,-0.122648
6.100000,0.502257,-0.135866
6.200000,0.497754,-0.149286
6.300000,0.494038,-0.162074
6.400000,0.490008,-0.174221
6.500000,0.486305,-0.186193
6.600000,0.482096,-0.198296
6.700000,0.476028,-0.210784
6.800000,0.469933,-0.222270
6.900000,0.463491,-0.234017
7.000000,0.457447,-0.245744
7.100000,0.450558,-0.257104
7.200000,0.443526,-0.268476
7.300000,0.435582,-0.279870
7.400000,0.428249,-0.290684
7.500000,0.420007,-0.301697
7.600000,0.411763,-0.313106
7.700000,0.403998,-0.324175
7.800000,0.395693,-0.334615
7.900000,0.386573,-0.345593
8.000000,0.377685,-0.355430
8.100000,0.368060,-0.363659
8.200000,0.356570,-0.372378
8.300000,0.345635,-0.380287
8.400000,0.334025,-0.387013
8.500000,0.323093,-0.394457
8.600000,0.311672,-0.401637
8.700000,0.300451,-0.408247
8.800000,0.288964,-0.413910
8.900000,0.276507,-0.419884
9.000000,0.264828,-0.426133
9.100000,0.252536,-0.431579
9.200000,0.239887,-0.436643
9.300000,0.227478,-0.440932
9.400000,0.214205,-0.444968
