time_s,x_m,y_m
0.000000,-0.546906,0.041844
0.100000,-0.546906,0.041844
0.200000,-0.546159,0.046683
0.300000,-0.543750,0.065708
0.400000,-0.544214,0.082446
0.500000,-0.545324,0.093761
0.600000,-0.543199,0.102624
0.700000,-0.542790,0.118208
0.800000,-0.542269,0.132492
0.900000,-0.540690,0.143737
1.000000,-0.538963,0.159230
1.100000,-0.537108,0.172350
1.200000,-0.533636,0.186591
1.300000,-0.526969,0.200557
1.400000,-0.521112,0.212370
1.500000,-0.513613,0.224457
1.600000,-0.506404,0.238320
1.700000,-0.497835,0.248037
1.800000,-0.493520,0.260817
1.900000,-0.483288,0.274336
2.000000,-0.475228,0.283544
2.100000,-0.469828,0.290142
2.200000,-0.457725,0.301271
2.300000,-0.446953,0.306715
2.400000,-0.440342,0.311214
2.500000,-0.431027,0.322228
2.600000,-0.429947,0.328891
2.700000,-0.423052,0.340581
2.800000,-0.413206,0.352260
2.900000,-0.404349,0.364356
3.000000,-0.394546,0.375447
3.100000,-0.385121,0.387356
3.200000,-0.378641,0.396890
3.300000,-0.372027,0.402570
3.400000,-0.360251,0.412470
3.500000,-0.349585,0.420855
3.600000,-0.338191,0.429506
3.700000,-0.326590,0.438873
3.800000,-0.315007,0.446452
3.900000,-0.305280,0.456380
4.000000,-0.291040,0.465250
4.100000,-0.280808,0.473413
4.200000,-0.269434,0.482376
4.300000,-0.255997,0.490816
4.400000,-0.244693,0.497926
4.500000,-0.233192,0.506312
4.600000,-0.221646,0.515365
4.700000,-0.209622,0.523801
4.800000,-0.197334,0.530840
4.900000,-0.185100,0.539989
5.000000,-0.172878,0.547589
5.100000,-0.159837,0.556009
5.200000,-0.145980,0.564664
5.300000,-0.134436,0.571723
5.400000,-0.121778,0.578568
5.500000,-0.107323,0.583612
5.600000,-0.093824,0.588508
5.700000,-0.079885,0.592357
5.800000,-0.066078,0.597290
5.900000,-0.052108,0.602140
6.000000,-0.037369,0.605912
6.100000,-0.023131,0.607357
6.200000,-0.009177,0.610371
6.300000,0.004359,0.612300
6.400000,0.020996,0.613464
6.500000,0.034160,0.616407
6.600000,0.048231,0.617844
6.700000,0.061898,0.618339
6.800000,0.077135,0.618728
6.900000,0.091659,0.619555
7.000000,0.106204,0.618667
7.100000,0.120222,0.616555
7.200000,0.134040,0.614516
7.300000,0.149548,0.611495
7.400000,0.161945,0.607965
7.500000,0.174822,0.603377
7.600000,0.187885,0.598809
7.700000,0.201071,0.593416
7.800000,0.213376,0.586977
7.900000,0.226399,0.581407
8.000000,0.237976,0.573641
8.100000,0.249161,0.564783
8.200000,0.261412,0.557435
8.300000,0.273570,0.549999
8.400000,0.285732,0.542765
8.500000,0.298809,0.536182
8.600000,0.311009,0.528869
8.700000,0.323825,0.522725
8.800000,0.337779,0.514748
8.900000,0.348592,0.508132
9.000000,0.362447,0.503796
9.100000,0.374906,0.496778
9.200000,0.387815,0.491615
9.300000,0.401464,0.487104
9.400000,0.414022,0.480190
9.500000,0.425766,0.472702
9.600000,0.435966,0.465751
9.700000,0.442117,0.460152
9.800000,0.451270,0.449945
9.900000,0.463092,0.441298
10.000000,0.474240,0.432278
10.100000,0.483801,0.422758
10.200000,0.493357,0.412755
10.300000,0.504526,0.404376
10.400000,0.514939,0.396545
10.500000,0.524955,0.384823
10.600000,0.532631,0.373854
10.700000,0.542261,0.364403
10.800000,0.550990,0.353739
10.900000,0.560150,0.343170
11.000000,0.570013,0.333687
11.100000,0.577392,0.321948
11.200000,0.586409,0.312810
11.300000,0.599983,0.307321
11.400000,0.602777,0.292433
11.500000,0.606155,0.278517
11.600000,0.612190,0.266261
11.700000,0.617956,0.253528
11.800000,0.622379,0.240082
11.900000,0.623216,0.225452
12.000000,0.625804,0.211177
12.100000,0.629791,0.197691
12.200000,0.632482,0.183456
12.300000,0.632688,0.168982
12.400000,0.631773,0.154502
