start_lat,start_lon,end_lat,end_lon,branch,dist_ridge_km
34.3500,-120.4400,33.9203,-120.5665,west/offshore,0.710
34.3500,-120.4289,33.9197,-120.5680,west/offshore,0.162
34.3500,-120.4178,34.0906,-120.2260,south/island,0.388
34.3500,-120.4067,34.0410,-120.2625,south/island,1.065
34.3500,-120.3956,34.0409,-120.2628,south/island,2.019
34.3500,-120.3844,34.0411,-120.2621,south/island,2.913
34.3500,-120.3733,34.0017,-120.2445,south/island,3.823
34.3500,-120.3622,33.9701,-120.4923,west/offshore,4.762
34.3500,-120.3511,34.0411,-120.2621,south/island,5.656
34.3500,-120.3400,34.0412,-120.2620,south/island,6.112
34.3611,-120.4400,33.9188,-120.5701,west/offshore,1.201
34.3611,-120.4289,34.1960,-120.6813,west/offshore,0.283
34.3611,-120.4178,34.0411,-120.2621,south/island,0.247
34.3611,-120.4067,34.0409,-120.2628,south/island,0.533
34.3611,-120.3956,34.0017,-120.2445,south/island,1.506
34.3611,-120.3844,34.0413,-120.2615,south/island,2.382
34.3611,-120.3733,34.0412,-120.2617,south/island,3.293
34.3611,-120.3622,34.0411,-120.2621,south/island,4.231
34.3611,-120.3511,34.0906,-120.2262,south/island,4.561
34.3611,-120.3400,34.0404,-120.2647,south/island,5.045
34.3722,-120.4400,34.1321,-120.7117,west/offshore,1.529
34.3722,-120.4289,34.1026,-120.6684,west/offshore,0.630
34.3722,-120.4178,34.0411,-120.2621,south/island,0.082
34.3722,-120.4067,34.0388,-120.2696,south/island,0.009
34.3722,-120.3956,34.0422,-120.2606,south/island,1.015
34.3722,-120.3844,34.0411,-120.2621,south/island,1.851
34.3722,-120.3733,34.0657,-120.1906,south/island,2.765
34.3722,-120.3622,34.0410,-120.2625,south/island,3.059
34.3722,-120.3511,34.0404,-120.2647,south/island,3.462
34.3722,-120.3400,34.0390,-120.2685,south/island,3.927
34.3833,-120.4400,34.1320,-120.7109,west/offshore,2.053
34.3833,-120.4289,34.0389,-120.2689,south/island,1.126
34.3833,-120.4178,34.0798,-120.2380,south/island,0.256
34.3833,-120.4067,34.0411,-120.2622,south/island,0.242
34.3833,-120.3956,34.0658,-120.1907,south/island,0.597
34.3833,-120.3844,34.0659,-120.1908,south/island,1.321
